#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1259--MA0463.1.Bcl6	chr5	144294987	144295000	+	0.000	0.000	Merged-chr5-144295152-24
NR1071--MA0463.1.Bcl6	chr4	46404354	46404367	-	0.000	0.000	Merged-chr4-46404308-42
NR610--MA0731.1.BCL6B	chr16	91035980	91035996	+	0.000	0.000	Merged-chr16-91036080-23
NR963--MA0731.1.BCL6B	chr3	78890029	78890045	-	0.000	0.000	Merged-chr3-78890015-28
NR860--MA0731.1.BCL6B	chr2	112676831	112676847	+	0.000	0.000	Merged-chr2-112676754-32
NR427--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR1301--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR1461--MA0731.1.BCL6B	chr8	13986372	13986388	-	0.000	0.000	Merged-chr8-13986527-3
NR912--MA0463.1.Bcl6	chr2	164081821	164081834	-	0.000	0.000	Merged-chr2-164081803-8
NR1210--MA0463.1.Bcl6	chr5	92964846	92964859	-	0.000	0.000	Merged-chr5-92964665-18
NR784--MA0463.1.Bcl6	chr2	10343658	10343671	-	0.000	0.000	Merged-chr2-10343676-43
NR1242--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR824--MA0731.1.BCL6B	chr2	59441660	59441676	-	0.000	0.000	Merged-chr2-59441702-10
NR79--MA0731.1.BCL6B	chr1	161309642	161309658	+	0.000	0.000	Merged-chr1-161309457-43
NR1114--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR465--MA0463.1.Bcl6	chr14	62928209	62928222	-	0.000	0.000	Merged-chr14-62928345-50
NR468--MA0731.1.BCL6B	chr14	65330861	65330877	+	0.000	0.000	Merged-chr14-65330788-23
NR367--MA0463.1.Bcl6	chr13	22001836	22001849	-	0.000	0.000	Merged-chr13-22001933-23
NR291--MA0463.1.Bcl6	chr12	35799388	35799401	-	0.000	0.000	Merged-chr12-35799508-49
NR466--MA0731.1.BCL6B	chr14	62928209	62928225	+	0.000	0.000	Merged-chr14-62928345-50
NR729--MA0731.1.BCL6B	chr19	3731212	3731228	-	0.000	0.000	Merged-chr19-3731314-18
NR970--MA0463.1.Bcl6	chr3	84749362	84749375	-	0.000	0.000	Merged-chr3-84749364-32
NR818--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR1088--MA0463.1.Bcl6	chr4	89178165	89178178	+	0.000	0.000	Merged-chr4-89178152-23
NR738--MA0463.1.Bcl6	chr19	16255519	16255532	+	0.000	0.000	Merged-chr19-16255427-25
NR1211--MA0731.1.BCL6B	chr5	92964846	92964862	+	0.000	0.000	Merged-chr5-92964665-18
NR242--MA0463.1.Bcl6	chr11	72321044	72321057	+	0.000	0.000	Merged-chr11-72321004-18
NR892--MA0731.1.BCL6B	chr2	145804629	145804645	+	0.000	0.000	Merged-chr2-145804796-32
NR1652--MA0731.1.BCL6B	chrX	113074894	113074910	-	0.000	0.000	Merged-chrX-113075086-29
NR11--MA0463.1.Bcl6	chr1	38777882	38777895	+	0.000	0.000	Merged-chr1-38777708-41
NR632--MA0731.1.BCL6B	chr17	17792161	17792177	+	0.000	0.000	Merged-chr17-17792149-13
NR1422--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
