#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR49949--MA0741.1.KLF16	chr8	95349076	95349086	-	0.000	0.000	Merged-chr8-95348986-27
NR7331--MA0039.3.KLF4	chr11	32087582	32087592	-	0.000	0.000	Merged-chr11-32087638-14
NR32783--MA0741.1.KLF16	chr3	116200271	116200281	+	0.000	0.000	Merged-chr3-116200281-40
NR47723--MA0657.1.KLF13	chr7	136894456	136894473	+	0.000	0.000	Merged-chr7-136894538-85
NR13996--MA1107.1.KLF9	chr13	96700925	96700937	-	0.000	0.000	Merged-chr13-96700841-9
NR27072--MA0740.1.KLF14	chr2	25095285	25095298	+	0.000	0.000	Merged-chr2-25095278-14
NR38660--MA0741.1.KLF16	chr5	89882148	89882158	-	0.000	0.000	Merged-chr5-89882343-19
NR30475--MA0599.1.KLF5	chr2	169398707	169398716	+	0.000	0.000	Merged-chr2-169398588-9
NR48996--MA0599.1.KLF5	chr8	61606944	61606953	+	0.000	0.000	Merged-chr8-61607091-30
NR31792--MA1107.1.KLF9	chr3	84686791	84686803	+	0.000	0.000	Merged-chr3-84686985-16
NR5846--MA1107.1.KLF9	chr10	96656491	96656503	+	0.000	0.000	Merged-chr10-96656400-23
NR45317--MA0741.1.KLF16	chr7	44485360	44485370	-	0.000	0.000	Merged-chr7-44485410-35
NR3935--MA0740.1.KLF14	chr10	25140436	25140449	-	0.000	0.000	Merged-chr10-25140477-16
NR32873--MA1107.1.KLF9	chr3	122474233	122474245	+	0.000	0.000	Merged-chr3-122474297-38
NR34109--MA0740.1.KLF14	chr4	41295618	41295631	+	0.000	0.000	Merged-chr4-41295781-15
NR22698--MA0741.1.KLF16	chr17	73164542	73164552	+	0.000	0.000	Merged-chr17-73164470-6
NR20190--MA0741.1.KLF16	chr16	78595922	78595932	-	0.000	0.000	Merged-chr16-78595924-17
