#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2556--MA0495.2.MAFF	chr12	103341439	103341459	-	0.000	0.000	Merged-chr12-103341437-53
NR10209--MA0591.1.Bach1::Mafk	chr9	21609997	21610011	-	0.000	0.000	Merged-chr9-21610100-42
NR8464--MA0591.1.Bach1::Mafk	chr6	40891144	40891158	-	0.000	0.000	Merged-chr6-40891354-82
NR3293--MA0501.1.MAF::NFE2	chr14	15770028	15770042	+	0.000	0.000	Merged-chr14-15770075-60
NR1153--MA0495.2.MAFF	chr10	68512668	68512688	-	0.000	0.000	Merged-chr10-68512591-23
NR5659--MA0591.1.Bach1::Mafk	chr2	34938706	34938720	-	0.000	0.000	Merged-chr2-34938971-69
NR3433--MA0117.2.Mafb	chr14	54518784	54518795	-	0.000	0.000	Merged-chr14-54518806-37
NR7804--MA0089.1.MAFG::NFE2L1	chr5	23722063	23722068	-	0.000	0.000	Merged-chr5-23722080-21
NR3541--MA0501.1.MAF::NFE2	chr14	73088220	73088234	+	0.000	0.000	Merged-chr14-73088018-78
NR2557--MA0591.1.Bach1::Mafk	chr12	103341442	103341456	+	0.000	0.000	Merged-chr12-103341437-53
NR10210--MA0501.1.MAF::NFE2	chr9	21609994	21610008	-	0.000	0.000	Merged-chr9-21610100-42
NR1235--MA0089.1.MAFG::NFE2L1	chr10	81505459	81505464	-	0.000	0.000	Merged-chr10-81505422-22
NR5260--MA0501.1.MAF::NFE2	chr18	89238551	89238565	-	0.000	0.000	Merged-chr18-89238329-52
NR3118--MA0089.1.MAFG::NFE2L1	chr13	101706695	101706700	+	0.000	0.000	Merged-chr13-101706581-30
NR1078--MA0495.2.MAFF	chr10	44821682	44821702	+	0.000	0.000	Merged-chr10-44821803-43
NR9327--MA0495.2.MAFF	chr7	97042252	97042272	+	0.000	0.000	Merged-chr7-97042218-26
NR6683--MA0089.1.MAFG::NFE2L1	chr3	84126234	84126239	+	0.000	0.000	Merged-chr3-84126096-28
NR5452--MA0591.1.Bach1::Mafk	chr19	45577496	45577510	-	0.000	0.000	Merged-chr19-45577468-39
NR7335--MA0089.1.MAFG::NFE2L1	chr4	63640134	63640139	-	0.000	0.000	Merged-chr4-63640034-20
NR4229--MA0117.2.Mafb	chr16	35984009	35984020	+	0.000	0.000	Merged-chr16-35984000-4
NR750--MA0496.2.MAFK	chr1	180403755	180403773	-	0.000	0.000	Merged-chr1-180403715-60
NR6102--MA0089.1.MAFG::NFE2L1	chr2	128318445	128318450	+	0.000	0.000	Merged-chr2-128318457-15
NR5330--MA0496.2.MAFK	chr19	14668742	14668760	+	0.000	0.000	Merged-chr19-14668781-26
NR5624--MA0591.1.Bach1::Mafk	chr2	27693886	27693900	+	0.000	0.000	Merged-chr2-27693880-30
NR10384--MA0089.1.MAFG::NFE2L1	chr9	69362337	69362342	+	0.000	0.000	Merged-chr9-69362247-25
NR2156--MA0591.1.Bach1::Mafk	chr11	119928415	119928429	+	0.000	0.000	Merged-chr11-119928597-56
NR10211--MA0496.2.MAFK	chr9	21609995	21610013	+	0.000	0.000	Merged-chr9-21610100-42
NR10538--MA0496.2.MAFK	chr9	104269453	104269471	+	0.000	0.000	Merged-chr9-104269530-16
NR5492--MA0501.1.MAF::NFE2	chr19	57131623	57131637	+	0.000	0.000	Merged-chr19-57131601-25
NR4343--MA0089.1.MAFG::NFE2L1	chr16	75921130	75921135	-	0.000	0.000	Merged-chr16-75921068-56
NR2529--MA0117.2.Mafb	chr12	100747307	100747318	-	0.000	0.000	Merged-chr12-100747316-18
NR10812--MA0495.2.MAFF	chrX	142792380	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR10784--MA0089.1.MAFG::NFE2L1	chrX	105716158	105716163	+	0.000	0.000	Merged-chrX-105716099-35
NR9995--MA0089.1.MAFG::NFE2L1	chr8	115112507	115112512	+	0.000	0.000	Merged-chr8-115112311-24
NR3829--MA0089.1.MAFG::NFE2L1	chr15	58649886	58649891	+	0.000	0.000	Merged-chr15-58650001-42
NR2563--MA0496.2.MAFK	chr12	103341440	103341458	-	0.000	0.000	Merged-chr12-103341437-53
NR608--MA0089.1.MAFG::NFE2L1	chr1	160765867	160765872	+	0.000	0.000	Merged-chr1-160765870-25
