#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1024--MA0731.1.BCL6B	chr3	78890029	78890045	-	0.000	0.000	Merged-chr3-78890015-28
NR780--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR701--MA0463.1.Bcl6	chr17	8244736	8244749	-	0.000	0.000	Merged-chr17-8244871-10
NR907--MA0463.1.Bcl6	chr2	76421639	76421652	+	0.000	0.000	Merged-chr2-76421582-29
NR1327--MA0731.1.BCL6B	chr6	22340070	22340086	+	0.000	0.000	Merged-chr6-22340067-27
NR472--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR886--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR321--MA0731.1.BCL6B	chr12	24565591	24565607	-	0.000	0.000	Merged-chr12-24565518-17
NR1228--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR1189--MA0731.1.BCL6B	chr4	144909007	144909023	-	0.000	0.000	Merged-chr4-144908993-28
NR1637--MA0463.1.Bcl6	chr9	70310173	70310186	-	0.000	0.000	Merged-chr9-70310142-32
NR414--MA0463.1.Bcl6	chr13	43173324	43173337	-	0.000	0.000	Merged-chr13-43173435-33
NR450--MA0463.1.Bcl6	chr13	99781060	99781073	-	0.000	0.000	Merged-chr13-99781144-21
NR339--MA0463.1.Bcl6	chr12	73670944	73670957	+	0.000	0.000	Merged-chr12-73670833-29
NR469--MA0463.1.Bcl6	chr13	111655971	111655984	+	0.000	0.000	Merged-chr13-111655949-74
NR1075--MA0463.1.Bcl6	chr3	131014446	131014459	-	0.000	0.000	Merged-chr3-131014308-74
NR1111--MA0731.1.BCL6B	chr4	10770224	10770240	+	0.000	0.000	Merged-chr4-10770192-53
NR962--MA0731.1.BCL6B	chr2	145804629	145804645	+	0.000	0.000	Merged-chr2-145804796-32
NR896--MA0463.1.Bcl6	chr2	65104758	65104771	+	0.000	0.000	Merged-chr2-65104683-25
NR702--MA0731.1.BCL6B	chr17	8251848	8251864	-	0.000	0.000	Merged-chr17-8251885-20
NR880--MA0731.1.BCL6B	chr2	43727980	43727996	+	0.000	0.000	Merged-chr2-43727862-50
NR266--MA0463.1.Bcl6	chr11	82954717	82954730	+	0.000	0.000	Merged-chr11-82954782-27
NR1064--MA0463.1.Bcl6	chr3	108865763	108865776	-	0.000	0.000	Merged-chr3-108865766-27
NR951--MA0463.1.Bcl6	chr2	131145659	131145672	+	0.000	0.000	Merged-chr2-131145703-8
NR808--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR1469--MA0463.1.Bcl6	chr7	99027399	99027412	+	0.000	0.000	Merged-chr7-99027397-37
NR913--MA0463.1.Bcl6	chr2	79698323	79698336	+	0.000	0.000	Merged-chr2-79698404-21
NR1268--MA0463.1.Bcl6	chr5	92964846	92964859	-	0.000	0.000	Merged-chr5-92964665-18
NR829--MA0463.1.Bcl6	chr19	16255519	16255532	+	0.000	0.000	Merged-chr19-16255427-25
NR657--MA0731.1.BCL6B	chr16	51878441	51878457	+	0.000	0.000	Merged-chr16-51878445-21
NR632--MA0463.1.Bcl6	chr16	22526536	22526549	-	0.000	0.000	Merged-chr16-22526487-34
NR507--MA0463.1.Bcl6	chr14	54165193	54165206	+	0.000	0.000	Merged-chr14-54165125-24
NR888--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR543--MA0463.1.Bcl6	chr14	103850544	103850557	+	0.000	0.000	Merged-chr14-103850623-36
NR669--MA0463.1.Bcl6	chr16	89837247	89837260	-	0.000	0.000	Merged-chr16-89837217-58
NR365--MA0463.1.Bcl6	chr12	102581751	102581764	+	0.000	0.000	Merged-chr12-102581960-56
NR1029--MA0463.1.Bcl6	chr3	84749267	84749280	+	0.000	0.000	Merged-chr3-84749364-32
NR1532--MA0731.1.BCL6B	chr8	46543352	46543368	+	0.000	0.000	Merged-chr8-46543326-23
NR984--MA0463.1.Bcl6	chr2	164081821	164081834	-	0.000	0.000	Merged-chr2-164081803-8
NR1341--MA0731.1.BCL6B	chr6	60940372	60940388	+	0.000	0.000	Merged-chr6-60940563-22
NR1335--MA0463.1.Bcl6	chr6	49130519	49130532	+	0.000	0.000	Merged-chr6-49130581-7
NR1250--MA0463.1.Bcl6	chr5	62778951	62778964	-	0.000	0.000	Merged-chr5-62778862-45
NR103--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR52--MA0731.1.BCL6B	chr1	106602917	106602933	+	0.000	0.000	Merged-chr1-106602824-20
NR1552--MA0463.1.Bcl6	chr8	81572813	81572826	-	0.000	0.000	Merged-chr8-81572647-16
NR1269--MA0731.1.BCL6B	chr5	92964846	92964862	+	0.000	0.000	Merged-chr5-92964665-18
NR571--MA0463.1.Bcl6	chr15	55847226	55847239	-	0.000	0.000	Merged-chr15-55847334-38
NR672--MA0731.1.BCL6B	chr16	91035980	91035996	+	0.000	0.000	Merged-chr16-91036080-23
NR890--MA0731.1.BCL6B	chr2	59488243	59488259	+	0.000	0.000	Merged-chr2-59488284-24
NR1099--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR608--MA0731.1.BCL6B	chr15	94565287	94565303	-	0.000	0.000	Merged-chr15-94565077-32
NR486--MA0731.1.BCL6B	chr14	27262546	27262562	-	0.000	0.000	Merged-chr14-27262535-17
NR887--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR529--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR1713--MA0463.1.Bcl6	chrX	159189449	159189462	+	0.000	0.000	Merged-chrX-159189448-11
NR177--MA0463.1.Bcl6	chr10	93985595	93985608	-	0.000	0.000	Merged-chr10-93985650-27
NR80--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR85--MA0463.1.Bcl6	chr1	160307338	160307351	-	0.000	0.000	Merged-chr1-160307254-61
