#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR6376--MA0089.1.MAFG::NFE2L1	chr2	146517123	146517128	+	0.000	0.000	Merged-chr2-146517219-24
NR2421--MA0496.2.MAFK	chr12	91604328	91604346	-	0.000	0.000	Merged-chr12-91604478-1
NR2334--MA0659.1.MAFG	chr12	77666582	77666602	-	0.000	0.000	Merged-chr12-77666709-12
NR5130--MA0089.1.MAFG::NFE2L1	chr18	46013384	46013389	-	0.000	0.000	Merged-chr18-46013388-48
NR8620--MA0496.2.MAFK	chr5	118709907	118709925	-	0.000	0.000	Merged-chr5-118710096-15
NR7110--MA0495.2.MAFF	chr3	108124463	108124483	-	0.000	0.000	Merged-chr3-108124378-33
NR1034--MA0659.1.MAFG	chr10	25140546	25140566	+	0.000	0.000	Merged-chr10-25140477-16
NR4853--MA0591.1.Bach1::Mafk	chr17	70797433	70797447	-	0.000	0.000	Merged-chr17-70797319-37
NR2466--MA0501.1.MAF::NFE2	chr12	102588578	102588592	+	0.000	0.000	Merged-chr12-102588735-27
NR9699--MA0591.1.Bach1::Mafk	chr7	75283132	75283146	-	0.000	0.000	Merged-chr7-75283067-12
NR8157--MA0089.1.MAFG::NFE2L1	chr5	9107393	9107398	+	0.000	0.000	Merged-chr5-9107352-33
NR1108--MA0501.1.MAF::NFE2	chr10	43330942	43330956	+	0.000	0.000	Merged-chr10-43330902-16
NR11355--MA0117.2.Mafb	chrX	114474311	114474322	-	0.000	0.000	Merged-chrX-114474330-36
NR10165--MA0495.2.MAFF	chr8	34208104	34208124	-	0.000	0.000	Merged-chr8-34208072-51
NR3794--MA0495.2.MAFF	chr15	36474672	36474692	-	0.000	0.000	Merged-chr15-36474869-12
NR737--MA0501.1.MAF::NFE2	chr1	165075766	165075780	+	0.000	0.000	Merged-chr1-165075837-38
NR1596--MA0496.2.MAFK	chr11	11497908	11497926	+	0.000	0.000	Merged-chr11-11498094-24
NR3543--MA0496.2.MAFK	chr14	73253943	73253961	-	0.000	0.000	Merged-chr14-73253840-37
NR7590--MA0089.1.MAFG::NFE2L1	chr4	46095679	46095684	+	0.000	0.000	Merged-chr4-46095668-16
NR10643--MA0591.1.Bach1::Mafk	chr9	14559642	14559656	+	0.000	0.000	Merged-chr9-14559722-16
NR2337--MA0496.2.MAFK	chr12	77666583	77666601	-	0.000	0.000	Merged-chr12-77666709-12
NR2263--MA0117.2.Mafb	chr12	53032990	53033001	+	0.000	0.000	Merged-chr12-53032976-31
NR293--MA0495.2.MAFF	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR5532--MA0501.1.MAF::NFE2	chr19	34505418	34505432	-	0.000	0.000	Merged-chr19-34505331-35
NR11265--MA0501.1.MAF::NFE2	chrX	52679494	52679508	-	0.000	0.000	Merged-chrX-52679336-26
NR10160--MA0089.1.MAFG::NFE2L1	chr8	34120559	34120564	+	0.000	0.000	Merged-chr8-34120698-35
NR10850--MA0496.2.MAFK	chr9	61745392	61745410	+	0.000	0.000	Merged-chr9-61745239-9
NR8254--MA0501.1.MAF::NFE2	chr5	34430987	34431001	+	0.000	0.000	Merged-chr5-34430803-28
NR1037--MA0496.2.MAFK	chr10	25140547	25140565	-	0.000	0.000	Merged-chr10-25140477-16
NR2156--MA0117.2.Mafb	chr12	16509400	16509411	+	0.000	0.000	Merged-chr12-16509548-40
