#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1053--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR1640--MA0463.1.Bcl6	chr3	109747809	109747822	+	0.000	0.000	Merged-chr3-109747952-27
NR2740--MA0731.1.BCL6B	chrX	166329004	166329020	-	0.000	0.000	Merged-chrX-166329162-24
NR943--MA0463.1.Bcl6	chr14	121710329	121710342	-	0.000	0.000	Merged-chr14-121710333-21
NR1634--MA0463.1.Bcl6	chr3	108865763	108865776	-	0.000	0.000	Merged-chr3-108865766-27
NR251--MA0463.1.Bcl6	chr10	30538173	30538186	-	0.000	0.000	Merged-chr10-30538265-95
NR2108--MA0463.1.Bcl6	chr6	37564211	37564224	-	0.000	0.000	Merged-chr6-37564158-19
NR1148--MA0463.1.Bcl6	chr17	8228690	8228703	+	0.000	0.000	Merged-chr17-8228766-12
NR252--MA0731.1.BCL6B	chr10	30538173	30538189	+	0.000	0.000	Merged-chr10-30538265-95
NR1735--MA0463.1.Bcl6	chr4	21752100	21752113	+	0.000	0.000	Merged-chr4-21752041-18
NR1140--MA0731.1.BCL6B	chr16	97357118	97357134	+	0.000	0.000	Merged-chr16-97357077-45
NR1316--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR447--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR2107--MA0731.1.BCL6B	chr6	37399061	37399077	+	0.000	0.000	Merged-chr6-37399175-29
NR1670--MA0731.1.BCL6B	chr3	132791402	132791418	-	0.000	0.000	Merged-chr3-132791387-40
NR2264--MA0731.1.BCL6B	chr6	145469503	145469519	+	0.000	0.000	Merged-chr6-145469437-17
NR1988--MA0463.1.Bcl6	chr5	97090395	97090408	+	0.000	0.000	Merged-chr5-97090318-20
NR2028--MA0731.1.BCL6B	chr5	124907218	124907234	+	0.000	0.000	Merged-chr5-124907107-45
NR1534--MA0463.1.Bcl6	chr2	169398595	169398608	+	0.000	0.000	Merged-chr2-169398588-9
NR1664--MA0463.1.Bcl6	chr3	129602473	129602486	-	0.000	0.000	Merged-chr3-129602465-51
NR1570--MA0463.1.Bcl6	chr3	37738412	37738425	+	0.000	0.000	Merged-chr3-37738517-40
NR2638--MA0463.1.Bcl6	chr9	102852685	102852698	-	0.000	0.000	Merged-chr9-102852625-20
NR515--MA0463.1.Bcl6	chr12	8859314	8859327	+	0.000	0.000	Merged-chr12-8859142-27
NR2458--MA0463.1.Bcl6	chr8	53630856	53630869	-	0.000	0.000	Merged-chr8-53630787-29
NR293--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR1405--MA0463.1.Bcl6	chr2	65818623	65818636	-	0.000	0.000	Merged-chr2-65818542-58
NR522--MA0463.1.Bcl6	chr12	28834409	28834422	-	0.000	0.000	Merged-chr12-28834463-43
