#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR3766--MA0591.1.Bach1::Mafk	chr14	59553428	59553442	+	0.000	0.000	Merged-chr14-59553394-22
NR10489--MA0591.1.Bach1::Mafk	chr7	75760652	75760666	+	0.000	0.000	Merged-chr7-75760769-39
NR7000--MA0117.2.Mafb	chr2	158719232	158719243	-	0.000	0.000	Merged-chr2-158719347-62
NR7390--MA0089.1.MAFG::NFE2L1	chr3	68784178	68784183	+	0.000	0.000	Merged-chr3-68784168-43
NR3427--MA0495.2.MAFF	chr13	112396928	112396948	+	0.000	0.000	Merged-chr13-112396740-45
NR7058--MA0591.1.Bach1::Mafk	chr2	166607154	166607168	-	0.000	0.000	Merged-chr2-166607083-27
NR3431--MA0496.2.MAFK	chr13	112396929	112396947	-	0.000	0.000	Merged-chr13-112396740-45
NR10835--MA0591.1.Bach1::Mafk	chr7	128119809	128119823	-	0.000	0.000	Merged-chr7-128119873-66
NR7239--MA0089.1.MAFG::NFE2L1	chr3	9853200	9853205	+	0.000	0.000	Merged-chr3-9853322-69
NR3217--MA0495.2.MAFF	chr13	76129008	76129028	+	0.000	0.000	Merged-chr13-76128854-26
NR2353--MA0089.1.MAFG::NFE2L1	chr12	17511194	17511199	-	0.000	0.000	Merged-chr12-17511273-48
NR7467--MA0591.1.Bach1::Mafk	chr3	84680350	84680364	-	0.000	0.000	Merged-chr3-84680282-50
NR10477--MA0089.1.MAFG::NFE2L1	chr7	74698146	74698151	+	0.000	0.000	Merged-chr7-74698017-54
NR5260--MA0501.1.MAF::NFE2	chr17	71192214	71192228	+	0.000	0.000	Merged-chr17-71192022-46
NR11175--MA0495.2.MAFF	chr8	68212202	68212222	-	0.000	0.000	Merged-chr8-68212337-24
NR11177--MA0659.1.MAFG	chr8	68212202	68212222	+	0.000	0.000	Merged-chr8-68212337-24
NR4725--MA0089.1.MAFG::NFE2L1	chr16	49797156	49797161	-	0.000	0.000	Merged-chr16-49797153-43
NR9786--MA0089.1.MAFG::NFE2L1	chr6	72993388	72993393	-	0.000	0.000	Merged-chr6-72993527-59
NR10665--MA0659.1.MAFG	chr7	108954452	108954472	-	0.000	0.000	Merged-chr7-108954427-29
NR8613--MA0501.1.MAF::NFE2	chr4	150991502	150991516	+	0.000	0.000	Merged-chr4-150991460-24
NR11983--MA0117.2.Mafb	chr9	110641074	110641085	+	0.000	0.000	Merged-chr9-110641188-21
NR6770--MA0089.1.MAFG::NFE2L1	chr2	125735672	125735677	-	0.000	0.000	Merged-chr2-125735684-57
NR11755--MA0117.2.Mafb	chr9	58581043	58581054	+	0.000	0.000	Merged-chr9-58580971-24
