#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR5534--MA0089.1.MAFG::NFE2L1	chr3	133160001	133160006	-	0.000	0.000	Merged-chr3-133159832-24
NR8115--MA0501.1.MAF::NFE2	chr9	52349363	52349377	+	0.000	0.000	Merged-chr9-52349266-37
NR7994--MA0089.1.MAFG::NFE2L1	chr9	15104004	15104009	+	0.000	0.000	Merged-chr9-15103870-28
NR7035--MA0495.2.MAFF	chr6	134282255	134282275	-	0.000	0.000	Merged-chr6-134282243-30
NR4056--MA0089.1.MAFG::NFE2L1	chr18	46447803	46447808	-	0.000	0.000	Merged-chr18-46447727-33
NR396--MA0089.1.MAFG::NFE2L1	chr1	151698037	151698042	+	0.000	0.000	Merged-chr1-151698105-31
NR3527--MA0089.1.MAFG::NFE2L1	chr16	95809046	95809051	+	0.000	0.000	Merged-chr16-95809247-50
NR603--MA0501.1.MAF::NFE2	chr10	7826314	7826328	-	0.000	0.000	Merged-chr10-7826287-40
NR620--MA0659.1.MAFG	chr10	13468997	13469017	+	0.000	0.000	Merged-chr10-13469041-19
NR804--MA0089.1.MAFG::NFE2L1	chr10	76844995	76845000	+	0.000	0.000	Merged-chr10-76844808-11
NR623--MA0496.2.MAFK	chr10	13468998	13469016	-	0.000	0.000	Merged-chr10-13469041-19
NR888--MA0495.2.MAFF	chr10	86794890	86794910	-	0.000	0.000	Merged-chr10-86794881-42
NR892--MA0496.2.MAFK	chr10	86794891	86794909	-	0.000	0.000	Merged-chr10-86794881-42
NR2385--MA0117.2.Mafb	chr13	84791275	84791286	-	0.000	0.000	Merged-chr13-84791325-24
NR5533--MA0089.1.MAFG::NFE2L1	chr3	133159667	133159672	-	0.000	0.000	Merged-chr3-133159832-24
NR6593--MA0089.1.MAFG::NFE2L1	chr5	148994777	148994782	-	0.000	0.000	Merged-chr5-148994646-1
NR4055--MA0089.1.MAFG::NFE2L1	chr18	46447743	46447748	+	0.000	0.000	Merged-chr18-46447727-33
NR621--MA0659.1.MAFG	chr10	13468997	13469017	-	0.000	0.000	Merged-chr10-13469041-19
NR6525--MA0089.1.MAFG::NFE2L1	chr5	140871434	140871439	+	0.000	0.000	Merged-chr5-140871418-38
NR3001--MA0591.1.Bach1::Mafk	chr15	59618586	59618600	-	0.000	0.000	Merged-chr15-59618561-44
NR685--MA0117.2.Mafb	chr10	38884900	38884911	+	0.000	0.000	Merged-chr10-38884993-65
NR3891--MA0117.2.Mafb	chr17	84633524	84633535	-	0.000	0.000	Merged-chr17-84633706-27
NR618--MA0495.2.MAFF	chr10	13468997	13469017	+	0.000	0.000	Merged-chr10-13469041-19
NR887--MA0495.2.MAFF	chr10	86794890	86794910	+	0.000	0.000	Merged-chr10-86794881-42
NR3892--MA0501.1.MAF::NFE2	chr17	84633521	84633535	+	0.000	0.000	Merged-chr17-84633706-27
NR889--MA0659.1.MAFG	chr10	86794890	86794910	+	0.000	0.000	Merged-chr10-86794881-42
NR7033--MA0089.1.MAFG::NFE2L1	chr6	134217897	134217902	-	0.000	0.000	Merged-chr6-134217908-11
NR619--MA0495.2.MAFF	chr10	13468997	13469017	-	0.000	0.000	Merged-chr10-13469041-19
NR8111--MA0501.1.MAF::NFE2	chr9	50733094	50733108	+	0.000	0.000	Merged-chr9-50733086-8
NR164--MA0089.1.MAFG::NFE2L1	chr1	74570399	74570404	-	0.000	0.000	Merged-chr1-74570528-25
NR388--MA0089.1.MAFG::NFE2L1	chr1	151236796	151236801	+	0.000	0.000	Merged-chr1-151236737-36
NR6272--MA0117.2.Mafb	chr5	74476767	74476778	+	0.000	0.000	Merged-chr5-74476772-23
NR7036--MA0591.1.Bach1::Mafk	chr6	134282258	134282272	-	0.000	0.000	Merged-chr6-134282243-30
NR890--MA0659.1.MAFG	chr10	86794890	86794910	-	0.000	0.000	Merged-chr10-86794881-42
NR2384--MA0495.2.MAFF	chr13	84791166	84791186	+	0.000	0.000	Merged-chr13-84791325-24
NR622--MA0496.2.MAFK	chr10	13468998	13469016	+	0.000	0.000	Merged-chr10-13469041-19
NR891--MA0496.2.MAFK	chr10	86794891	86794909	+	0.000	0.000	Merged-chr10-86794881-42
