#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR11827--MA0501.1.MAF::NFE2	chr6	137582484	137582498	-	0.000	0.000	Merged-chr6-137582391-38
NR11319--MA0659.1.MAFG	chr6	72495720	72495740	+	0.000	0.000	Merged-chr6-72495605-8
NR5749--MA0089.1.MAFG::NFE2L1	chr17	12121572	12121577	+	0.000	0.000	Merged-chr17-12121610-9
NR11350--MA0117.2.Mafb	chr6	82775641	82775652	-	0.000	0.000	Merged-chr6-82775550-35
NR6980--MA0591.1.Bach1::Mafk	chr19	56759980	56759994	+	0.000	0.000	Merged-chr19-56759911-13
NR2275--MA0591.1.Bach1::Mafk	chr11	57951761	57951775	-	0.000	0.000	Merged-chr11-57951726-64
NR10857--MA0089.1.MAFG::NFE2L1	chr5	148678739	148678744	+	0.000	0.000	Merged-chr5-148678733-37
NR13144--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	-	0.000	0.000	Merged-chr8-71587200-14
NR2554--MA0591.1.Bach1::Mafk	chr11	104667484	104667498	-	0.000	0.000	Merged-chr11-104667644-45
NR3509--MA0591.1.Bach1::Mafk	chr13	37793004	37793018	-	0.000	0.000	Merged-chr13-37793215-44
NR10755--MA0089.1.MAFG::NFE2L1	chr5	135115345	135115350	+	0.000	0.000	Merged-chr5-135115482-49
NR11395--MA0089.1.MAFG::NFE2L1	chr6	87394938	87394943	-	0.000	0.000	Merged-chr6-87395104-19
NR12221--MA0089.1.MAFG::NFE2L1	chr7	66116123	66116128	+	0.000	0.000	Merged-chr7-66116161-49
NR1815--MA0089.1.MAFG::NFE2L1	chr10	107872764	107872769	-	0.000	0.000	Merged-chr10-107872809-21
NR7204--MA0496.2.MAFK	chr2	34140006	34140024	-	0.000	0.000	Merged-chr2-34139840-30
NR9958--MA0501.1.MAF::NFE2	chr4	151006159	151006173	-	0.000	0.000	Merged-chr4-151006161-48
NR7488--MA0501.1.MAF::NFE2	chr2	84779605	84779619	-	0.000	0.000	Merged-chr2-84779489-49
NR12020--MA0117.2.Mafb	chr7	16368614	16368625	+	0.000	0.000	Merged-chr7-16368534-21
NR6157--MA0117.2.Mafb	chr17	83483964	83483975	-	0.000	0.000	Merged-chr17-83484048-22
NR1611--MA0089.1.MAFG::NFE2L1	chr10	76542916	76542921	+	0.000	0.000	Merged-chr10-76543066-52
NR1615--MA0495.2.MAFF	chr10	77962736	77962756	-	0.000	0.000	Merged-chr10-77962952-24
NR12253--MA0501.1.MAF::NFE2	chr7	72110875	72110889	-	0.000	0.000	Merged-chr7-72110898-16
NR6981--MA0659.1.MAFG	chr19	56759977	56759997	-	0.000	0.000	Merged-chr19-56759911-13
NR7370--MA0496.2.MAFK	chr2	65134009	65134027	+	0.000	0.000	Merged-chr2-65133825-19
NR7377--MA0117.2.Mafb	chr2	66101983	66101994	-	0.000	0.000	Merged-chr2-66101928-1
NR7048--MA0089.1.MAFG::NFE2L1	chr2	6309488	6309493	+	0.000	0.000	Merged-chr2-6309619-42
NR8887--MA0501.1.MAF::NFE2	chr3	135527911	135527925	-	0.000	0.000	Merged-chr3-135527896-22
NR6092--MA0089.1.MAFG::NFE2L1	chr17	74864912	74864917	-	0.000	0.000	Merged-chr17-74864979-18
NR13666--MA0591.1.Bach1::Mafk	chr9	21609997	21610011	-	0.000	0.000	Merged-chr9-21610100-42
NR11090--MA0591.1.Bach1::Mafk	chr6	40891144	40891158	-	0.000	0.000	Merged-chr6-40891354-82
NR6578--MA0501.1.MAF::NFE2	chr18	73765231	73765245	+	0.000	0.000	Merged-chr18-73765273-28
NR50--MA0117.2.Mafb	chr1	20766839	20766850	-	0.000	0.000	Merged-chr1-20766829-14
NR10450--MA0117.2.Mafb	chr5	97002458	97002469	-	0.000	0.000	Merged-chr5-97002471-16
NR214--MA0591.1.Bach1::Mafk	chr1	60875488	60875502	+	0.000	0.000	Merged-chr1-60875356-55
NR4905--MA0117.2.Mafb	chr15	64173598	64173609	-	0.000	0.000	Merged-chr15-64173635-34
NR8566--MA0089.1.MAFG::NFE2L1	chr3	87387634	87387639	-	0.000	0.000	Merged-chr3-87387698-10
NR11511--MA0496.2.MAFK	chr6	99435315	99435333	+	0.000	0.000	Merged-chr6-99435291-39
NR11509--MA0117.2.Mafb	chr6	99435323	99435334	-	0.000	0.000	Merged-chr6-99435291-39
NR12839--MA0495.2.MAFF	chr7	143010177	143010197	+	0.000	0.000	Merged-chr7-143010167-43
NR10560--MA0496.2.MAFK	chr5	107646129	107646147	-	0.000	0.000	Merged-chr5-107646170-26
NR6000--MA0089.1.MAFG::NFE2L1	chr17	57126043	57126048	+	0.000	0.000	Merged-chr17-57126152-41
NR2885--MA0495.2.MAFF	chr12	51543641	51543661	-	0.000	0.000	Merged-chr12-51543736-20
NR1051--MA0591.1.Bach1::Mafk	chr1	180410494	180410508	+	0.000	0.000	Merged-chr1-180410391-12
NR687--MA0089.1.MAFG::NFE2L1	chr1	135268318	135268323	+	0.000	0.000	Merged-chr1-135268339-27
NR10671--MA0089.1.MAFG::NFE2L1	chr5	124075966	124075971	-	0.000	0.000	Merged-chr5-124075936-23
NR4017--MA0496.2.MAFK	chr13	113168627	113168645	+	0.000	0.000	Merged-chr13-113168484-63
NR691--MA0591.1.Bach1::Mafk	chr1	136255261	136255275	+	0.000	0.000	Merged-chr1-136255292-47
NR5170--MA0495.2.MAFF	chr16	4503695	4503715	-	0.000	0.000	Merged-chr16-4503652-20
NR6060--MA0501.1.MAF::NFE2	chr17	71192214	71192228	+	0.000	0.000	Merged-chr17-71192022-46
NR8562--MA0089.1.MAFG::NFE2L1	chr3	86837517	86837522	+	0.000	0.000	Merged-chr3-86837478-31
NR9718--MA0089.1.MAFG::NFE2L1	chr4	116677969	116677974	+	0.000	0.000	Merged-chr4-116678042-15
NR5661--MA0089.1.MAFG::NFE2L1	chr16	93746679	93746684	-	0.000	0.000	Merged-chr16-93746709-33
NR626--MA0591.1.Bach1::Mafk	chr1	127344979	127344993	-	0.000	0.000	Merged-chr1-127345077-51
NR5168--MA0659.1.MAFG	chr16	4032418	4032438	-	0.000	0.000	Merged-chr16-4032511-6
NR14135--MA0591.1.Bach1::Mafk	chr9	96740565	96740579	+	0.000	0.000	Merged-chr9-96740764-95
NR13596--MA0089.1.MAFG::NFE2L1	chr8	128646934	128646939	-	0.000	0.000	Merged-chr8-128646767-27
NR7199--MA0591.1.Bach1::Mafk	chr2	34140008	34140022	+	0.000	0.000	Merged-chr2-34139840-30
NR6242--MA0496.2.MAFK	chr18	4296201	4296219	-	0.000	0.000	Merged-chr18-4296046-21
NR12423--MA0496.2.MAFK	chr7	98805138	98805156	-	0.000	0.000	Merged-chr7-98805003-10
NR14220--MA0089.1.MAFG::NFE2L1	chr9	105499634	105499639	+	0.000	0.000	Merged-chr9-105499679-15
NR11134--MA0117.2.Mafb	chr6	49161926	49161937	+	0.000	0.000	Merged-chr6-49161850-8
NR2595--MA0495.2.MAFF	chr11	110897174	110897194	-	0.000	0.000	Merged-chr11-110897111-25
NR2376--MA0591.1.Bach1::Mafk	chr11	79092956	79092970	-	0.000	0.000	Merged-chr11-79093031-26
NR8673--MA0089.1.MAFG::NFE2L1	chr3	101651484	101651489	-	0.000	0.000	Merged-chr3-101651434-38
NR2447--MA0496.2.MAFK	chr11	87724907	87724925	-	0.000	0.000	Merged-chr11-87724985-4
NR7555--MA0089.1.MAFG::NFE2L1	chr2	102701607	102701612	-	0.000	0.000	Merged-chr2-102701497-15
NR395--MA0591.1.Bach1::Mafk	chr1	87637302	87637316	+	0.000	0.000	Merged-chr1-87637275-111
NR7181--MA0591.1.Bach1::Mafk	chr2	31082800	31082814	+	0.000	0.000	Merged-chr2-31082849-41
NR3612--MA0591.1.Bach1::Mafk	chr13	56476973	56476987	+	0.000	0.000	Merged-chr13-56477022-46
NR12256--MA0117.2.Mafb	chr7	72308119	72308130	+	0.000	0.000	Merged-chr7-72308227-31
NR906--MA0089.1.MAFG::NFE2L1	chr1	164079311	164079316	-	0.000	0.000	Merged-chr1-164079439-12
NR10424--MA0495.2.MAFF	chr5	91974287	91974307	-	0.000	0.000	Merged-chr5-91974270-18
NR3130--MA0089.1.MAFG::NFE2L1	chr12	99572083	99572088	+	0.000	0.000	Merged-chr12-99572243-31
NR5908--MA0089.1.MAFG::NFE2L1	chr17	46871195	46871200	-	0.000	0.000	Merged-chr17-46871157-2
NR11916--MA0591.1.Bach1::Mafk	chr6	144689272	144689286	-	0.000	0.000	Merged-chr6-144689209-25
NR9347--MA0089.1.MAFG::NFE2L1	chr4	46442812	46442817	+	0.000	0.000	Merged-chr4-46442731-25
NR9756--MA0501.1.MAF::NFE2	chr4	121002459	121002473	-	0.000	0.000	Merged-chr4-121002570-50
NR628--MA0089.1.MAFG::NFE2L1	chr1	127646295	127646300	-	0.000	0.000	Merged-chr1-127646440-21
NR4695--MA0496.2.MAFK	chr14	122290558	122290576	+	0.000	0.000	Merged-chr14-122290582-19
NR8036--MA0117.2.Mafb	chr2	160657888	160657899	-	0.000	0.000	Merged-chr2-160657923-30
NR10236--MA0089.1.MAFG::NFE2L1	chr5	43824756	43824761	-	0.000	0.000	Merged-chr5-43824623-50
NR6331--MA0089.1.MAFG::NFE2L1	chr18	32162448	32162453	-	0.000	0.000	Merged-chr18-32162521-1
NR4453--MA0501.1.MAF::NFE2	chr14	71120624	71120638	-	0.000	0.000	Merged-chr14-71120653-22
NR8550--MA0591.1.Bach1::Mafk	chr3	84022839	84022853	+	0.000	0.000	Merged-chr3-84022944-34
NR2422--MA0495.2.MAFF	chr11	83550332	83550352	-	0.000	0.000	Merged-chr11-83550444-44
NR13931--MA0496.2.MAFK	chr9	72097292	72097310	-	0.000	0.000	Merged-chr9-72097262-35
