#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1250--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR708--MA0463.1.Bcl6	chr16	57177666	57177679	+	0.000	0.000	Merged-chr16-57177558-14
NR431--MA0463.1.Bcl6	chr13	6659645	6659658	-	0.000	0.000	Merged-chr13-6659549-27
NR696--MA0463.1.Bcl6	chr16	38017094	38017107	+	0.000	0.000	Merged-chr16-38017190-20
NR1165--MA0731.1.BCL6B	chr3	132791402	132791418	-	0.000	0.000	Merged-chr3-132791387-40
NR403--MA0731.1.BCL6B	chr12	99979770	99979786	+	0.000	0.000	Merged-chr12-99979837-10
NR827--MA0463.1.Bcl6	chr18	53177273	53177286	-	0.000	0.000	Merged-chr18-53177390-15
NR456--MA0731.1.BCL6B	chr13	48843577	48843593	+	0.000	0.000	Merged-chr13-48843644-14
NR969--MA0463.1.Bcl6	chr2	76421639	76421652	+	0.000	0.000	Merged-chr2-76421582-29
NR316--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR1710--MA0463.1.Bcl6	chr8	61436815	61436828	+	0.000	0.000	Merged-chr8-61436904-17
NR716--MA0463.1.Bcl6	chr16	76310959	76310972	+	0.000	0.000	Merged-chr16-76310830-49
NR734--MA0463.1.Bcl6	chr17	8228690	8228703	+	0.000	0.000	Merged-chr17-8228766-12
NR1420--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR1538--MA0731.1.BCL6B	chr6	145469503	145469519	+	0.000	0.000	Merged-chr6-145469437-17
NR216--MA0463.1.Bcl6	chr10	93959632	93959645	-	0.000	0.000	Merged-chr10-93959605-18
NR1606--MA0463.1.Bcl6	chr7	90039427	90039440	+	0.000	0.000	Merged-chr7-90039651-42
NR1828--MA0731.1.BCL6B	chr9	77592562	77592578	+	0.000	0.000	Merged-chr9-77592652-18
NR429--MA0463.1.Bcl6	chr12	117712569	117712582	-	0.000	0.000	Merged-chr12-117712681-21
NR660--MA0731.1.BCL6B	chr15	94235406	94235422	-	0.000	0.000	Merged-chr15-94235397-15
NR163--MA0731.1.BCL6B	chr10	6954861	6954877	+	0.000	0.000	Merged-chr10-6954726-16
NR278--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR753--MA0463.1.Bcl6	chr17	33865564	33865577	-	0.000	0.000	Merged-chr17-33865585-36
NR360--MA0463.1.Bcl6	chr12	16509619	16509632	+	0.000	0.000	Merged-chr12-16509548-40
NR479--MA0731.1.BCL6B	chr13	73772828	73772844	+	0.000	0.000	Merged-chr13-73772920-55
NR283--MA0731.1.BCL6B	chr11	49264976	49264992	+	0.000	0.000	Merged-chr11-49264826-15
NR689--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR164--MA0463.1.Bcl6	chr10	11229556	11229569	-	0.000	0.000	Merged-chr10-11229693-10
NR402--MA0463.1.Bcl6	chr12	98445746	98445759	+	0.000	0.000	Merged-chr12-98445818-15
NR81--MA0731.1.BCL6B	chr1	128772682	128772698	+	0.000	0.000	Merged-chr1-128772538-19
NR1346--MA0731.1.BCL6B	chr5	23620865	23620881	-	0.000	0.000	Merged-chr5-23620874-12
NR731--MA0463.1.Bcl6	chr17	5295775	5295788	+	0.000	0.000	Merged-chr17-5295840-41
NR1785--MA0463.1.Bcl6	chr9	14559806	14559819	-	0.000	0.000	Merged-chr9-14559722-16
NR998--MA0731.1.BCL6B	chr2	103280000	103280016	-	0.000	0.000	Merged-chr2-103280126-14
NR428--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR455--MA0463.1.Bcl6	chr13	46909214	46909227	-	0.000	0.000	Merged-chr13-46909229-10
NR245--MA0463.1.Bcl6	chr10	120646235	120646248	+	0.000	0.000	Merged-chr10-120646351-10
NR720--MA0463.1.Bcl6	chr16	87726010	87726023	-	0.000	0.000	Merged-chr16-87726198-44
NR300--MA0463.1.Bcl6	chr11	68104421	68104434	-	0.000	0.000	Merged-chr11-68104420-13
NR1215--MA0463.1.Bcl6	chr4	41314233	41314246	-	0.000	0.000	Merged-chr4-41314225-1
NR122--MA0463.1.Bcl6	chr1	165062990	165063003	+	0.000	0.000	Merged-chr1-165063084-17
NR301--MA0731.1.BCL6B	chr11	68104421	68104437	+	0.000	0.000	Merged-chr11-68104420-13
NR287--MA0731.1.BCL6B	chr11	52320595	52320611	+	0.000	0.000	Merged-chr11-52320694-9
NR1861--MA0463.1.Bcl6	chr9	114452726	114452739	+	0.000	0.000	Merged-chr9-114452652-12
NR80--MA0463.1.Bcl6	chr1	128772682	128772695	-	0.000	0.000	Merged-chr1-128772538-19
NR1227--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR1133--MA0463.1.Bcl6	chr3	103405529	103405542	-	0.000	0.000	Merged-chr3-103405452-17
