#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR202--MA0496.2.MAFK	chr1	78422794	78422812	-	0.000	0.000	Merged-chr1-78422740-38
NR6963--MA0117.2.Mafb	chr6	98632867	98632878	+	0.000	0.000	Merged-chr6-98632758-43
NR6112--MA0495.2.MAFF	chr4	145341974	145341994	-	0.000	0.000	Merged-chr4-145342099-62
NR6435--MA0591.1.Bach1::Mafk	chr5	86783382	86783396	-	0.000	0.000	Merged-chr5-86783243-43
NR3116--MA0591.1.Bach1::Mafk	chr15	55906989	55907003	-	0.000	0.000	Merged-chr15-55906885-1
NR812--MA0117.2.Mafb	chr10	38884900	38884911	+	0.000	0.000	Merged-chr10-38884993-65
NR4215--MA0089.1.MAFG::NFE2L1	chr18	46447743	46447748	+	0.000	0.000	Merged-chr18-46447727-33
NR6113--MA0496.2.MAFK	chr4	145341975	145341993	-	0.000	0.000	Merged-chr4-145342099-62
NR6114--MA0089.1.MAFG::NFE2L1	chr4	145342070	145342075	+	0.000	0.000	Merged-chr4-145342099-62
NR4216--MA0089.1.MAFG::NFE2L1	chr18	46447803	46447808	-	0.000	0.000	Merged-chr18-46447727-33
NR3701--MA0089.1.MAFG::NFE2L1	chr16	95809371	95809376	-	0.000	0.000	Merged-chr16-95809247-50
NR6639--MA0089.1.MAFG::NFE2L1	chr5	140871434	140871439	+	0.000	0.000	Merged-chr5-140871418-38
NR5548--MA0591.1.Bach1::Mafk	chr3	101661849	101661863	+	0.000	0.000	Merged-chr3-101661770-28
NR200--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR7251--MA0591.1.Bach1::Mafk	chr7	3290321	3290335	-	0.000	0.000	Merged-chr7-3290343-35
NR6436--MA0501.1.MAF::NFE2	chr5	86783379	86783393	-	0.000	0.000	Merged-chr5-86783243-43
NR8402--MA0117.2.Mafb	chr9	101249844	101249855	+	0.000	0.000	Merged-chr9-101249791-43
NR8270--MA0591.1.Bach1::Mafk	chr9	61779243	61779257	-	0.000	0.000	Merged-chr9-61779248-32
NR7649--MA0089.1.MAFG::NFE2L1	chr7	125190107	125190112	-	0.000	0.000	Merged-chr7-125190262-47
NR199--MA0495.2.MAFF	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR201--MA0659.1.MAFG	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR7650--MA0089.1.MAFG::NFE2L1	chr7	125190161	125190166	+	0.000	0.000	Merged-chr7-125190262-47
NR4171--MA0089.1.MAFG::NFE2L1	chr18	32543299	32543304	-	0.000	0.000	Merged-chr18-32543284-47
