#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR3426--MA0482.1.Gata4	chr3	28318057	28318067	+	0.000	0.000	Merged-chr3-28318064-9
NR2134--MA0140.2.GATA1::TAL1	chr16	23175113	23175130	-	0.000	0.000	Merged-chr16-23175130-44
NR3429--MA0035.3.Gata1	chr3	28318056	28318066	+	0.000	0.000	Merged-chr3-28318064-9
NR3495--MA0482.1.Gata4	chr3	68543032	68543042	+	0.000	0.000	Merged-chr3-68543251-15
NR2530--MA0036.3.GATA2	chr17	64341913	64341923	-	0.000	0.000	Merged-chr17-64341836-18
NR4791--MA0482.1.Gata4	chr6	144927495	144927505	-	0.000	0.000	Merged-chr6-144927646-14
NR3498--MA0035.3.Gata1	chr3	68543031	68543041	+	0.000	0.000	Merged-chr3-68543251-15
NR5154--MA0482.1.Gata4	chr7	132824496	132824506	-	0.000	0.000	Merged-chr7-132824609-20
NR2644--MA0035.3.Gata1	chr18	46448739	46448749	-	0.000	0.000	Merged-chr18-46448750-18
NR4794--MA0035.3.Gata1	chr6	144927496	144927506	-	0.000	0.000	Merged-chr6-144927646-14
NR3427--MA1104.1.GATA6	chr3	28318055	28318067	-	0.000	0.000	Merged-chr3-28318064-9
NR4321--MA0766.1.GATA5	chr5	114681322	114681329	+	0.000	0.000	Merged-chr5-114681129-21
NR158--MA0035.3.Gata1	chr1	88578422	88578432	-	0.000	0.000	Merged-chr1-88578300-28
NR2219--MA0037.3.GATA3	chr16	57319940	57319947	+	0.000	0.000	Merged-chr16-57319907-20
NR3496--MA1104.1.GATA6	chr3	68543030	68543042	-	0.000	0.000	Merged-chr3-68543251-15
NR2309--MA0036.3.GATA2	chr16	94374311	94374321	+	0.000	0.000	Merged-chr16-94374445-4
NR4792--MA1104.1.GATA6	chr6	144927495	144927507	+	0.000	0.000	Merged-chr6-144927646-14
NR1016--MA0482.1.Gata4	chr11	96993116	96993126	+	0.000	0.000	Merged-chr11-96993116-10
NR2636--MA0036.3.GATA2	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR5700--MA0035.3.Gata1	chr9	89842484	89842494	-	0.000	0.000	Merged-chr9-89842601-13
NR2222--MA0036.3.GATA2	chr16	57319938	57319948	-	0.000	0.000	Merged-chr16-57319907-20
NR510--MA0037.3.GATA3	chr10	59958198	59958205	-	0.000	0.000	Merged-chr10-59958273-13
NR1120--MA0766.1.GATA5	chr11	117109712	117109719	-	0.000	0.000	Merged-chr11-117109823-31
NR3640--MA0036.3.GATA2	chr3	122474205	122474215	-	0.000	0.000	Merged-chr3-122474297-38
NR1612--MA0036.3.GATA2	chr14	7994568	7994578	-	0.000	0.000	Merged-chr14-7994545-46
NR5791--MA0140.2.GATA1::TAL1	chr9	119255026	119255043	+	0.000	0.000	Merged-chr9-119254891-26
NR4322--MA0035.3.Gata1	chr5	114681320	114681330	-	0.000	0.000	Merged-chr5-114681129-21
NR1903--MA0140.2.GATA1::TAL1	chr14	103017227	103017244	-	0.000	0.000	Merged-chr14-103017290-44
NR2185--MA1104.1.GATA6	chr16	45347091	45347103	+	0.000	0.000	Merged-chr16-45346908-42
