#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2782--MA0035.3.Gata1	chr17	50136228	50136238	+	0.000	0.000	Merged-chr17-50136209-46
NR6312--MA0036.3.GATA2	chr9	87025899	87025909	+	0.000	0.000	Merged-chr9-87025935-38
NR5537--MA1104.1.GATA6	chr7	90007378	90007390	+	0.000	0.000	Merged-chr7-90007418-46
NR2952--MA0036.3.GATA2	chr18	34783578	34783588	+	0.000	0.000	Merged-chr18-34783714-45
NR2072--MA0766.1.GATA5	chr14	78687948	78687955	-	0.000	0.000	Merged-chr14-78687892-42
NR1524--MA0037.3.GATA3	chr12	102350999	102351006	-	0.000	0.000	Merged-chr12-102350976-38
NR690--MA1104.1.GATA6	chr10	40713351	40713363	+	0.000	0.000	Merged-chr10-40713251-44
NR4481--MA1104.1.GATA6	chr4	134047864	134047876	+	0.000	0.000	Merged-chr4-134047792-28
NR2902--MA0035.3.Gata1	chr18	4296070	4296080	+	0.000	0.000	Merged-chr18-4296046-21
NR2291--MA1104.1.GATA6	chr15	78835266	78835278	+	0.000	0.000	Merged-chr15-78835387-37
NR4630--MA0140.2.GATA1::TAL1	chr5	28315796	28315813	-	0.000	0.000	Merged-chr5-28315754-44
NR2348--MA0766.1.GATA5	chr15	103154445	103154452	-	0.000	0.000	Merged-chr15-103154383-18
NR2482--MA0035.3.Gata1	chr16	49797148	49797158	-	0.000	0.000	Merged-chr16-49797153-43
NR4246--MA0766.1.GATA5	chr4	47319835	47319842	+	0.000	0.000	Merged-chr4-47319930-54
NR4202--MA0036.3.GATA2	chr4	11721394	11721404	-	0.000	0.000	Merged-chr4-11721470-80
NR5088--MA1104.1.GATA6	chr6	82872437	82872449	+	0.000	0.000	Merged-chr6-82872396-48
NR5041--MA0037.3.GATA3	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR2569--MA0036.3.GATA2	chr16	91789850	91789860	-	0.000	0.000	Merged-chr16-91789935-50
NR6344--MA0035.3.Gata1	chr9	95836023	95836033	+	0.000	0.000	Merged-chr9-95835913-33
NR438--MA0140.2.GATA1::TAL1	chr1	161794947	161794964	+	0.000	0.000	Merged-chr1-161794797-65
NR2287--MA0766.1.GATA5	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR2277--MA0036.3.GATA2	chr15	66789506	66789516	+	0.000	0.000	Merged-chr15-66789335-49
NR2480--MA1104.1.GATA6	chr16	49797147	49797159	+	0.000	0.000	Merged-chr16-49797153-43
