#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR34606--MA0039.3.KLF4	chr3	87383521	87383531	-	0.000	0.000	Merged-chr3-87383448-9
NR22142--MA1107.1.KLF9	chr16	49982434	49982446	-	0.000	0.000	Merged-chr16-49982447-38
NR12844--MA0599.1.KLF5	chr12	99468029	99468038	-	0.000	0.000	Merged-chr12-99468213-62
NR2983--MA1107.1.KLF9	chr1	165609744	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR32238--MA0599.1.KLF5	chr2	150918853	150918862	+	0.000	0.000	Merged-chr2-150918832-31
NR20673--MA0039.3.KLF4	chr15	93397385	93397395	-	0.000	0.000	Merged-chr15-93397510-3
NR2982--MA0493.1.Klf1	chr1	165609746	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR22139--MA1107.1.KLF9	chr16	49982428	49982440	-	0.000	0.000	Merged-chr16-49982447-38
NR32239--MA0599.1.KLF5	chr2	150918858	150918867	+	0.000	0.000	Merged-chr2-150918832-31
NR22140--MA1107.1.KLF9	chr16	49982430	49982442	-	0.000	0.000	Merged-chr16-49982447-38
NR34607--MA1107.1.KLF9	chr3	87383521	87383533	-	0.000	0.000	Merged-chr3-87383448-9
NR20674--MA0740.1.KLF14	chr15	93397570	93397583	+	0.000	0.000	Merged-chr15-93397510-3
NR2979--MA0742.1.Klf12	chr1	165609742	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR2981--MA0039.3.KLF4	chr1	165609744	165609754	-	0.000	0.000	Merged-chr1-165609765-26
NR58590--MA1107.1.KLF9	chr9	86624895	86624907	-	0.000	0.000	Merged-chr9-86625059-9
NR2978--MA0740.1.KLF14	chr1	165609743	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR50334--MA0599.1.KLF5	chr7	35745556	35745565	+	0.000	0.000	Merged-chr7-35745412-12
NR2980--MA0599.1.KLF5	chr1	165609746	165609755	-	0.000	0.000	Merged-chr1-165609765-26
NR22141--MA1107.1.KLF9	chr16	49982432	49982444	-	0.000	0.000	Merged-chr16-49982447-38
NR24260--MA0599.1.KLF5	chr17	45703355	45703364	+	0.000	0.000	Merged-chr17-45703436-19
