#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR270--MA0036.3.GATA2	chr1	191803662	191803672	+	0.000	0.000	Merged-chr1-191803516-12
NR1981--MA0036.3.GATA2	chr19	10816013	10816023	+	0.000	0.000	Merged-chr19-10816124-38
NR2472--MA1104.1.GATA6	chr3	84630752	84630764	+	0.000	0.000	Merged-chr3-84630888-13
NR1308--MA0140.2.GATA1::TAL1	chr14	66805727	66805744	-	0.000	0.000	Merged-chr14-66805736-29
NR392--MA0140.2.GATA1::TAL1	chr10	68540791	68540808	+	0.000	0.000	Merged-chr10-68540864-1
NR3106--MA0482.1.Gata4	chr6	86148686	86148696	-	0.000	0.000	Merged-chr6-86148822-10
NR1307--MA0035.3.Gata1	chr14	66805736	66805746	-	0.000	0.000	Merged-chr14-66805736-29
NR531--MA0766.1.GATA5	chr11	3227386	3227393	-	0.000	0.000	Merged-chr11-3227351-28
NR3297--MA0140.2.GATA1::TAL1	chr7	25107212	25107229	-	0.000	0.000	Merged-chr7-25107253-25
NR3475--MA0766.1.GATA5	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR2474--MA0140.2.GATA1::TAL1	chr3	84630744	84630761	-	0.000	0.000	Merged-chr3-84630888-13
NR391--MA0035.3.Gata1	chr10	68540789	68540799	+	0.000	0.000	Merged-chr10-68540864-1
NR532--MA0035.3.Gata1	chr11	3227385	3227395	+	0.000	0.000	Merged-chr11-3227351-28
NR271--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR2427--MA0766.1.GATA5	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR3105--MA0037.3.GATA3	chr6	86148689	86148696	+	0.000	0.000	Merged-chr6-86148822-10
NR3474--MA0036.3.GATA2	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR3967--MA0140.2.GATA1::TAL1	chr9	120057222	120057239	-	0.000	0.000	Merged-chr9-120057282-6
NR389--MA1104.1.GATA6	chr10	68540788	68540800	-	0.000	0.000	Merged-chr10-68540864-1
NR2868--MA0140.2.GATA1::TAL1	chr5	38274139	38274156	+	0.000	0.000	Merged-chr5-38274062-24
NR1402--MA0036.3.GATA2	chr15	34412344	34412354	-	0.000	0.000	Merged-chr15-34412458-31
NR3966--MA0036.3.GATA2	chr9	120057231	120057241	-	0.000	0.000	Merged-chr9-120057282-6
NR3472--MA0482.1.Gata4	chr7	114616933	114616943	-	0.000	0.000	Merged-chr7-114616980-17
NR533--MA0140.2.GATA1::TAL1	chr11	3227387	3227404	+	0.000	0.000	Merged-chr11-3227351-28
NR390--MA0036.3.GATA2	chr10	68540789	68540799	+	0.000	0.000	Merged-chr10-68540864-1
NR3204--MA0482.1.Gata4	chr6	130342155	130342165	+	0.000	0.000	Merged-chr6-130342331-49
NR3473--MA1104.1.GATA6	chr7	114616933	114616945	+	0.000	0.000	Merged-chr7-114616980-17
NR3471--MA0037.3.GATA3	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR1982--MA0035.3.Gata1	chr19	10816013	10816023	+	0.000	0.000	Merged-chr19-10816124-38
NR528--MA0482.1.Gata4	chr11	3227386	3227396	+	0.000	0.000	Merged-chr11-3227351-28
NR3085--MA0140.2.GATA1::TAL1	chr6	70709468	70709485	-	0.000	0.000	Merged-chr6-70709572-48
NR2473--MA1104.1.GATA6	chr3	84630761	84630773	+	0.000	0.000	Merged-chr3-84630888-13
NR2262--MA0140.2.GATA1::TAL1	chr2	114135208	114135225	+	0.000	0.000	Merged-chr2-114135366-6
NR529--MA1104.1.GATA6	chr11	3227384	3227396	-	0.000	0.000	Merged-chr11-3227351-28
NR1843--MA0140.2.GATA1::TAL1	chr17	79394120	79394137	+	0.000	0.000	Merged-chr17-79394145-31
NR3476--MA0035.3.Gata1	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR527--MA0037.3.GATA3	chr11	3227386	3227393	-	0.000	0.000	Merged-chr11-3227351-28
NR530--MA0036.3.GATA2	chr11	3227385	3227395	+	0.000	0.000	Merged-chr11-3227351-28
NR1401--MA0482.1.Gata4	chr15	34412343	34412353	-	0.000	0.000	Merged-chr15-34412458-31
NR2426--MA0037.3.GATA3	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR495--MA0036.3.GATA2	chr10	117969929	117969939	-	0.000	0.000	Merged-chr10-117970017-9
NR3107--MA0766.1.GATA5	chr6	86148689	86148696	+	0.000	0.000	Merged-chr6-86148822-10
