#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1911--MA0659.1.MAFG	chr11	95677997	95678017	+	0.000	0.000	Merged-chr11-95678187-12
NR8998--MA0591.1.Bach1::Mafk	chr6	146439391	146439405	+	0.000	0.000	Merged-chr6-146439604-15
NR1226--MA0089.1.MAFG::NFE2L1	chr10	81248129	81248134	+	0.000	0.000	Merged-chr10-81248090-40
NR167--MA0089.1.MAFG::NFE2L1	chr1	57952652	57952657	-	0.000	0.000	Merged-chr1-57952740-16
NR8448--MA0501.1.MAF::NFE2	chr6	33004675	33004689	+	0.000	0.000	Merged-chr6-33004502-19
NR8988--MA0495.2.MAFF	chr6	145993221	145993241	+	0.000	0.000	Merged-chr6-145993129-56
NR3565--MA0501.1.MAF::NFE2	chr14	73472449	73472463	+	0.000	0.000	Merged-chr14-73472602-8
NR1392--MA0117.2.Mafb	chr10	111719771	111719782	+	0.000	0.000	Merged-chr10-111719810-23
NR8743--MA0591.1.Bach1::Mafk	chr6	108895319	108895333	+	0.000	0.000	Merged-chr6-108895381-27
NR9935--MA0591.1.Bach1::Mafk	chr8	95672972	95672986	+	0.000	0.000	Merged-chr8-95673039-19
NR7967--MA0501.1.MAF::NFE2	chr5	77082922	77082936	+	0.000	0.000	Merged-chr5-77082994-13
NR4639--MA0591.1.Bach1::Mafk	chr17	33865452	33865466	+	0.000	0.000	Merged-chr17-33865585-36
NR3920--MA0591.1.Bach1::Mafk	chr15	77055848	77055862	+	0.000	0.000	Merged-chr15-77055965-11
NR960--MA0495.2.MAFF	chr10	21659609	21659629	+	0.000	0.000	Merged-chr10-21659696-16
NR10188--MA0089.1.MAFG::NFE2L1	chr9	14926806	14926811	-	0.000	0.000	Merged-chr9-14926732-51
NR398--MA0659.1.MAFG	chr1	106187695	106187715	+	0.000	0.000	Merged-chr1-106187715-26
NR962--MA0591.1.Bach1::Mafk	chr10	21659612	21659626	+	0.000	0.000	Merged-chr10-21659696-16
NR10300--MA0495.2.MAFF	chr9	50836272	50836292	+	0.000	0.000	Merged-chr9-50836533-61
