#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1324--MA0731.1.BCL6B	chr3	146127687	146127703	+	0.000	0.000	Merged-chr3-146127552-12,Merged-chr3-146127848-1
NR1704--MA0731.1.BCL6B	chr6	113645087	113645103	+	0.000	0.000	Merged-chr6-113645003-16
NR1125--MA0731.1.BCL6B	chr2	112676831	112676847	+	0.000	0.000	Merged-chr2-112676754-32
NR418--MA0463.1.Bcl6	chr12	8859314	8859327	+	0.000	0.000	Merged-chr12-8859142-27
NR548--MA0463.1.Bcl6	chr13	70600333	70600346	-	0.000	0.000	Merged-chr13-70600282-8
NR1213--MA0731.1.BCL6B	chr3	21809898	21809914	-	0.000	0.000	Merged-chr3-21809864-17
NR96--MA0731.1.BCL6B	chr1	139179803	139179819	+	0.000	0.000	Merged-chr1-139179878-22
NR1369--MA0463.1.Bcl6	chr4	41295729	41295742	+	0.000	0.000	Merged-chr4-41295781-15
NR1967--MA0731.1.BCL6B	chr8	114986155	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR500--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR617--MA0463.1.Bcl6	chr14	30152999	30153012	+	0.000	0.000	Merged-chr14-30153038-10
NR425--MA0463.1.Bcl6	chr12	16509619	16509632	+	0.000	0.000	Merged-chr12-16509548-40
NR2132--MA0731.1.BCL6B	chrX	166718102	166718118	+	0.000	0.000	Merged-chrX-166718260-20
NR1936--MA0463.1.Bcl6	chr8	83131698	83131711	-	0.000	0.000	Merged-chr8-83131891-13
NR1184--MA0463.1.Bcl6	chr2	163123920	163123933	-	0.000	0.000	Merged-chr2-163123770-16
NR1296--MA0463.1.Bcl6	chr3	126589649	126589662	+	0.000	0.000	Merged-chr3-126589665-27
NR825--MA0463.1.Bcl6	chr17	8228690	8228703	+	0.000	0.000	Merged-chr17-8228766-12
NR1623--MA0463.1.Bcl6	chr5	140663619	140663632	+	0.000	0.000	Merged-chr5-140663494-2
NR185--MA0463.1.Bcl6	chr10	8953204	8953217	+	0.000	0.000	Merged-chr10-8953091-38
NR767--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR1201--MA0731.1.BCL6B	chr2	179648965	179648981	+	0.000	0.000	Merged-chr2-179648980-59
NR1267--MA0463.1.Bcl6	chr3	103405529	103405542	-	0.000	0.000	Merged-chr3-103405452-17
NR1191--MA0463.1.Bcl6	chr2	169398595	169398608	+	0.000	0.000	Merged-chr2-169398588-9
NR1747--MA0463.1.Bcl6	chr6	143115346	143115359	-	0.000	0.000	Merged-chr6-143115547-2
NR1512--MA0731.1.BCL6B	chr5	28076600	28076616	+	0.000	0.000	Merged-chr5-28076543-4
NR618--MA0463.1.Bcl6	chr14	30273106	30273119	-	0.000	0.000	Merged-chr14-30273182-14
NR1210--MA0463.1.Bcl6	chr3	10682195	10682208	+	0.000	0.000	Merged-chr3-10682149-13
