#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR839--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR991--MA0508.2.PRDM1	chr4	147808609	147808618	+	0.000	0.000	Merged-chr4-147808670-28
NR744--MA0508.2.PRDM1	chr19	55260853	55260862	+	0.000	0.000	Merged-chr19-55260920-21
NR199--MA0508.2.PRDM1	chr10	118166243	118166252	+	0.000	0.000	Merged-chr10-118166257-15
NR808--MA0508.2.PRDM1	chr2	117542987	117542996	+	0.000	0.000	Merged-chr2-117542874-17
NR258--MA0508.2.PRDM1	chr11	83662446	83662455	+	0.000	0.000	Merged-chr11-83662452-14
NR1014--MA0508.2.PRDM1	chr5	32768127	32768136	+	0.000	0.000	Merged-chr5-32768073-31
NR961--MA0508.2.PRDM1	chr4	118406247	118406256	+	0.000	0.000	Merged-chr4-118406334-12
NR395--MA0508.2.PRDM1	chr13	63541612	63541621	+	0.000	0.000	Merged-chr13-63541673-31
NR576--MA0508.2.PRDM1	chr16	52470507	52470516	+	0.000	0.000	Merged-chr16-52470408-42
NR2--MA0508.2.PRDM1	chr1	6467278	6467287	-	0.000	0.000	Merged-chr1-6467226-38
NR74--MA0508.2.PRDM1	chr1	155505876	155505885	-	0.000	0.000	Merged-chr1-155505844-22
NR1013--MA0508.2.PRDM1	chr5	32767903	32767912	+	0.000	0.000	Merged-chr5-32768073-31
NR171--MA0508.2.PRDM1	chr10	76802277	76802286	-	0.000	0.000	Merged-chr10-76802342-40
NR434--MA0508.2.PRDM1	chr13	115042838	115042847	+	0.000	0.000	Merged-chr13-115042812-10
NR1289--MA0508.2.PRDM1	chr8	124046022	124046031	+	0.000	0.000	Merged-chr8-124045987-6
NR283--MA0508.2.PRDM1	chr11	108088210	108088219	-	0.000	0.000	Merged-chr11-108088190-36
NR10--MA0508.2.PRDM1	chr1	39559124	39559133	+	0.000	0.000	Merged-chr1-39559167-24
