#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR6711--MA0002.2.RUNX1	chr5	146655573	146655583	+	0.000	0.000	Merged-chr5-146655552-37
NR918--MA0002.2.RUNX1	chr10	75137383	75137393	+	0.000	0.000	Merged-chr10-75137301-35
NR2541--MA0002.2.RUNX1	chr13	110564085	110564095	-	0.000	0.000	Merged-chr13-110564159-46
NR3234--MA0511.2.RUNX2	chr15	93298366	93298374	-	0.000	0.000	Merged-chr15-93298411-30
NR7199--MA0511.2.RUNX2	chr6	130342279	130342287	+	0.000	0.000	Merged-chr6-130342331-49
NR699--MA0684.1.RUNX3	chr10	10307521	10307530	-	0.000	0.000	Merged-chr10-10307543-35
NR5438--MA0684.1.RUNX3	chr3	107819324	107819333	-	0.000	0.000	Merged-chr3-107819260-44
NR919--MA0511.2.RUNX2	chr10	75146224	75146232	-	0.000	0.000	Merged-chr10-75146347-53
NR2646--MA0684.1.RUNX3	chr14	21525922	21525931	-	0.000	0.000	Merged-chr14-21525854-33
NR3800--MA0002.2.RUNX1	chr17	31326363	31326373	+	0.000	0.000	Merged-chr17-31326302-35
NR8245--MA0002.2.RUNX1	chr8	126420906	126420916	+	0.000	0.000	Merged-chr8-126420997-20
NR7006--MA0511.2.RUNX2	chr6	90782604	90782612	+	0.000	0.000	Merged-chr6-90782586-39
NR6795--MA0684.1.RUNX3	chr6	30230526	30230535	+	0.000	0.000	Merged-chr6-30230479-12
NR2577--MA0684.1.RUNX3	chr13	113549211	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR7200--MA0002.2.RUNX1	chr6	130342279	130342289	-	0.000	0.000	Merged-chr6-130342331-49
NR2338--MA0684.1.RUNX3	chr13	45455949	45455958	+	0.000	0.000	Merged-chr13-45455779-40
NR5613--MA0002.2.RUNX1	chr3	149394058	149394068	+	0.000	0.000	Merged-chr3-149393865-18
NR95--MA0002.2.RUNX1	chr1	52076714	52076724	-	0.000	0.000	Merged-chr1-52076565-28
NR6288--MA0684.1.RUNX3	chr5	37259132	37259141	+	0.000	0.000	Merged-chr5-37259222-30
NR5652--MA0684.1.RUNX3	chr4	6476574	6476583	-	0.000	0.000	Merged-chr4-6476530-28
NR7705--MA0002.2.RUNX1	chr7	118294972	118294982	+	0.000	0.000	Merged-chr7-118294847-26
NR3236--MA0684.1.RUNX3	chr15	93298365	93298374	-	0.000	0.000	Merged-chr15-93298411-30
NR5753--MA0684.1.RUNX3	chr4	46568357	46568366	-	0.000	0.000	Merged-chr4-46568404-15
NR5436--MA0511.2.RUNX2	chr3	107819325	107819333	-	0.000	0.000	Merged-chr3-107819260-44
NR2644--MA0511.2.RUNX2	chr14	21525923	21525931	-	0.000	0.000	Merged-chr14-21525854-33
NR6793--MA0511.2.RUNX2	chr6	30230526	30230534	+	0.000	0.000	Merged-chr6-30230479-12
NR2575--MA0511.2.RUNX2	chr13	113549212	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR6712--MA0684.1.RUNX3	chr5	146655574	146655583	-	0.000	0.000	Merged-chr5-146655552-37
NR8597--MA0002.2.RUNX1	chr9	94607589	94607599	-	0.000	0.000	Merged-chr9-94607543-65
NR4746--MA0002.2.RUNX1	chr2	61492144	61492154	+	0.000	0.000	Merged-chr2-61492330-26
NR2176--MA0002.2.RUNX1	chr12	117959424	117959434	-	0.000	0.000	Merged-chr12-117959315-24
NR206--MA0002.2.RUNX1	chr1	82836463	82836473	-	0.000	0.000	Merged-chr1-82836652-59
NR8547--MA0002.2.RUNX1	chr9	80282575	80282585	+	0.000	0.000	Merged-chr9-80282711-23
NR1211--MA0002.2.RUNX1	chr11	3702162	3702172	+	0.000	0.000	Merged-chr11-3702327-20
NR5650--MA0511.2.RUNX2	chr4	6476575	6476583	-	0.000	0.000	Merged-chr4-6476530-28
NR8246--MA0684.1.RUNX3	chr8	126420907	126420916	-	0.000	0.000	Merged-chr8-126420997-20
NR4008--MA0002.2.RUNX1	chr17	78352741	78352751	+	0.000	0.000	Merged-chr17-78352623-8
NR7201--MA0684.1.RUNX3	chr6	130342279	130342288	+	0.000	0.000	Merged-chr6-130342331-49
NR1644--MA0002.2.RUNX1	chr11	108088370	108088380	-	0.000	0.000	Merged-chr11-108088190-36
NR3784--MA0511.2.RUNX2	chr17	29531565	29531573	+	0.000	0.000	Merged-chr17-29531509-3
NR603--MA0002.2.RUNX1	chr1	189499858	189499868	-	0.000	0.000	Merged-chr1-189499965-39
NR5614--MA0684.1.RUNX3	chr3	149394059	149394068	-	0.000	0.000	Merged-chr3-149393865-18
NR5448--MA0511.2.RUNX2	chr3	108737883	108737891	-	0.000	0.000	Merged-chr3-108737869-29
NR6122--MA0002.2.RUNX1	chr4	150894803	150894813	-	0.000	0.000	Merged-chr4-150894695-19
NR7104--MA0002.2.RUNX1	chr6	120453392	120453402	-	0.000	0.000	Merged-chr6-120453281-34
NR698--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR6710--MA0511.2.RUNX2	chr5	146655575	146655583	-	0.000	0.000	Merged-chr5-146655552-37
NR5437--MA0002.2.RUNX1	chr3	107819323	107819333	+	0.000	0.000	Merged-chr3-107819260-44
