#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1627--MA0002.2.RUNX1	chr12	69539513	69539523	-	0.000	0.000	Merged-chr12-69539558-45
NR1485--MA0684.1.RUNX3	chr11	117872114	117872123	-	0.000	0.000	Merged-chr11-117872185-83
NR5447--MA0511.2.RUNX2	chr5	38566699	38566707	+	0.000	0.000	Merged-chr5-38566846-14
NR793--MA0002.2.RUNX1	chr10	84678837	84678847	+	0.000	0.000	Merged-chr10-84678816-22
NR3637--MA0511.2.RUNX2	chr18	46381130	46381138	-	0.000	0.000	Merged-chr18-46381195-31
NR3809--MA0002.2.RUNX1	chr19	14620504	14620514	+	0.000	0.000	Merged-chr19-14620634-30
NR5599--MA0684.1.RUNX3	chr5	105010567	105010576	+	0.000	0.000	Merged-chr5-105010527-49
NR954--MA0684.1.RUNX3	chr10	121382803	121382812	-	0.000	0.000	Merged-chr10-121382753-17
NR520--MA0002.2.RUNX1	chr1	192510654	192510664	-	0.000	0.000	Merged-chr1-192510804-31
NR5787--MA0511.2.RUNX2	chr5	140586771	140586779	+	0.000	0.000	Merged-chr5-140586794-18
NR3507--MA0511.2.RUNX2	chr17	80772670	80772678	-	0.000	0.000	Merged-chr17-80772766-52
NR5548--MA0511.2.RUNX2	chr5	91283139	91283147	-	0.000	0.000	Merged-chr5-91283193-32
NR7063--MA0002.2.RUNX1	chr8	116923651	116923661	-	0.000	0.000	Merged-chr8-116923775-40
NR5178--MA0002.2.RUNX1	chr4	117478350	117478360	-	0.000	0.000	Merged-chr4-117478210-39
NR6190--MA0002.2.RUNX1	chr6	127434325	127434335	+	0.000	0.000	Merged-chr6-127434285-47
NR1727--MA0684.1.RUNX3	chr12	98601153	98601162	-	0.000	0.000	Merged-chr12-98601119-23
NR6907--MA0002.2.RUNX1	chr8	34740484	34740494	+	0.000	0.000	Merged-chr8-34740455-84
NR1565--MA0684.1.RUNX3	chr12	17726603	17726612	+	0.000	0.000	Merged-chr12-17726607-38
NR5448--MA0684.1.RUNX3	chr5	38566699	38566708	+	0.000	0.000	Merged-chr5-38566846-14
NR6997--MA0002.2.RUNX1	chr8	94633718	94633728	+	0.000	0.000	Merged-chr8-94633712-19
NR5305--MA0684.1.RUNX3	chr4	145045906	145045915	+	0.000	0.000	Merged-chr4-145045932-55
NR7089--MA0002.2.RUNX1	chr8	121650749	121650759	-	0.000	0.000	Merged-chr8-121650674-17
NR2970--MA0684.1.RUNX3	chr16	13845245	13845254	+	0.000	0.000	Merged-chr16-13845150-21
NR634--MA0002.2.RUNX1	chr10	34118005	34118015	+	0.000	0.000	Merged-chr10-34117997-36
