#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1506--MA0508.2.PRDM1	chr5	149017711	149017720	+	0.000	0.000	Merged-chr5-149017827-20
NR930--MA0508.2.PRDM1	chr19	18766571	18766580	+	0.000	0.000	Merged-chr19-18766611-24
NR292--MA0508.2.PRDM1	chr11	11498034	11498043	+	0.000	0.000	Merged-chr11-11498094-24
NR563--MA0508.2.PRDM1	chr14	7833637	7833646	-	0.000	0.000	Merged-chr14-7833590-5
NR847--MA0508.2.PRDM1	chr17	86801676	86801685	-	0.000	0.000	Merged-chr17-86801620-1
NR704--MA0508.2.PRDM1	chr15	93581887	93581896	+	0.000	0.000	Merged-chr15-93581886-25
NR271--MA0508.2.PRDM1	chr10	118166243	118166252	+	0.000	0.000	Merged-chr10-118166257-15
NR542--MA0508.2.PRDM1	chr13	112356301	112356310	+	0.000	0.000	Merged-chr13-112356222-16
NR412--MA0508.2.PRDM1	chr12	77193547	77193556	-	0.000	0.000	Merged-chr12-77193438-26
NR393--MA0508.2.PRDM1	chr12	53032943	53032952	-	0.000	0.000	Merged-chr12-53032976-31
NR927--MA0508.2.PRDM1	chr19	16172897	16172906	-	0.000	0.000	Merged-chr19-16172957-13
NR669--MA0508.2.PRDM1	chr15	25740227	25740236	-	0.000	0.000	Merged-chr15-25740417-24
NR614--MA0508.2.PRDM1	chr14	60542004	60542013	-	0.000	0.000	Merged-chr14-60541882-16
NR444--MA0508.2.PRDM1	chr12	110389527	110389536	+	0.000	0.000	Merged-chr12-110389691-32
NR199--MA0508.2.PRDM1	chr10	41880970	41880979	-	0.000	0.000	Merged-chr10-41880967-13
NR545--MA0508.2.PRDM1	chr13	114086408	114086417	+	0.000	0.000	Merged-chr13-114086496-8
NR1640--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR1871--MA0508.2.PRDM1	chr9	41081174	41081183	+	0.000	0.000	Merged-chr9-41081107-22
NR768--MA0508.2.PRDM1	chr16	92443872	92443881	-	0.000	0.000	Merged-chr16-92443749-37
NR1760--MA0508.2.PRDM1	chr8	14009706	14009715	+	0.000	0.000	Merged-chr8-14009686-8
NR1534--MA0508.2.PRDM1	chr6	53704599	53704608	+	0.000	0.000	Merged-chr6-53704558-10
NR1786--MA0508.2.PRDM1	chr8	46196986	46196995	+	0.000	0.000	Merged-chr8-46197044-15
NR1494--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR14--MA0508.2.PRDM1	chr1	35580628	35580637	+	0.000	0.000	Merged-chr1-35580626-34
NR1072--MA0508.2.PRDM1	chr2	118008299	118008308	-	0.000	0.000	Merged-chr2-118008176-29
NR1499--MA0508.2.PRDM1	chr5	140215979	140215988	-	0.000	0.000	Merged-chr5-140215756-33
NR1213--MA0508.2.PRDM1	chr3	108781689	108781698	+	0.000	0.000	Merged-chr3-108781707-12
NR411--MA0508.2.PRDM1	chr12	76844687	76844696	-	0.000	0.000	Merged-chr12-76844811-17
NR764--MA0508.2.PRDM1	chr16	84982725	84982734	+	0.000	0.000	Merged-chr16-84982791-18
NR111--MA0508.2.PRDM1	chr1	161487214	161487223	+	0.000	0.000	Merged-chr1-161487288-6
