#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR740--MA0731.1.BCL6B	chr19	56756459	56756475	+	0.000	0.000	Merged-chr19-56756635-43
NR744--MA0463.1.Bcl6	chr19	58358263	58358276	+	0.000	0.000	Merged-chr19-58358384-21
NR418--MA0463.1.Bcl6	chr13	112551548	112551561	-	0.000	0.000	Merged-chr13-112551755-26
NR1319--MA0463.1.Bcl6	chr7	110824201	110824214	+	0.000	0.000	Merged-chr7-110824322-44
NR703--MA0731.1.BCL6B	chr19	10261553	10261569	+	0.000	0.000	Merged-chr19-10261521-6
NR1022--MA0731.1.BCL6B	chr4	132748936	132748952	+	0.000	0.000	Merged-chr4-132748989-25
NR751--MA0463.1.Bcl6	chr2	9564745	9564758	+	0.000	0.000	Merged-chr2-9564694-16
NR1326--MA0463.1.Bcl6	chr7	118135826	118135839	-	0.000	0.000	Merged-chr7-118135744-21
NR735--MA0731.1.BCL6B	chr19	53421457	53421473	-	0.000	0.000	Merged-chr19-53421333-52
NR1394--MA0463.1.Bcl6	chr8	110813182	110813195	-	0.000	0.000	Merged-chr8-110813191-16
NR339--MA0731.1.BCL6B	chr13	12521860	12521876	-	0.000	0.000	Merged-chr13-12521905-15
NR932--MA0463.1.Bcl6	chr3	108718084	108718097	+	0.000	0.000	Merged-chr3-108718262-42
NR20--MA0463.1.Bcl6	chr1	60875480	60875493	+	0.000	0.000	Merged-chr1-60875356-55
NR727--MA0463.1.Bcl6	chr19	41597479	41597492	-	0.000	0.000	Merged-chr19-41597559-38
NR419--MA0731.1.BCL6B	chr13	112551547	112551563	-	0.000	0.000	Merged-chr13-112551755-26
NR875--MA0463.1.Bcl6	chr2	173077132	173077145	-	0.000	0.000	Merged-chr2-173077118-17
NR1315--MA0463.1.Bcl6	chr7	104400828	104400841	-	0.000	0.000	Merged-chr7-104400949-29
NR127--MA0731.1.BCL6B	chr10	61306331	61306347	-	0.000	0.000	Merged-chr10-61306308-35
NR215--MA0731.1.BCL6B	chr11	57952816	57952832	-	0.000	0.000	Merged-chr11-57952769-40
NR464--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR585--MA0463.1.Bcl6	chr17	8244736	8244749	-	0.000	0.000	Merged-chr17-8244871-10
NR702--MA0463.1.Bcl6	chr19	10261553	10261566	-	0.000	0.000	Merged-chr19-10261521-6
NR259--MA0463.1.Bcl6	chr11	113802611	113802624	+	0.000	0.000	Merged-chr11-113802652-27
NR192--MA0463.1.Bcl6	chr11	11725395	11725408	+	0.000	0.000	Merged-chr11-11725265-1
NR421--MA0463.1.Bcl6	chr13	114932010	114932023	-	0.000	0.000	Merged-chr13-114931861-78
NR542--MA0463.1.Bcl6	chr16	11475694	11475707	-	0.000	0.000	Merged-chr16-11475731-38
NR1342--MA0731.1.BCL6B	chr7	139157823	139157839	-	0.000	0.000	Merged-chr7-139157777-16
NR1224--MA0463.1.Bcl6	chr6	127617404	127617417	+	0.000	0.000	Merged-chr6-127617353-34
NR741--MA0463.1.Bcl6	chr19	56756642	56756655	-	0.000	0.000	Merged-chr19-56756635-43
NR1395--MA0731.1.BCL6B	chr8	110813182	110813198	+	0.000	0.000	Merged-chr8-110813191-16
NR974--MA0463.1.Bcl6	chr4	40823836	40823849	-	0.000	0.000	Merged-chr4-40823922-38
NR1039--MA0731.1.BCL6B	chr4	144909007	144909023	-	0.000	0.000	Merged-chr4-144908993-28
NR1101--MA0463.1.Bcl6	chr5	92327440	92327453	-	0.000	0.000	Merged-chr5-92327493-24
NR433--MA0463.1.Bcl6	chr14	16256347	16256360	+	0.000	0.000	Merged-chr14-16256161-59
NR1464--MA0463.1.Bcl6	chr9	78074163	78074176	-	0.000	0.000	Merged-chr9-78074095-46
NR223--MA0463.1.Bcl6	chr11	68464316	68464329	-	0.000	0.000	Merged-chr11-68464408-16
NR1021--MA0463.1.Bcl6	chr4	132748936	132748949	-	0.000	0.000	Merged-chr4-132748989-25
NR726--MA0731.1.BCL6B	chr19	40300200	40300216	+	0.000	0.000	Merged-chr19-40300210-18
NR1196--MA0731.1.BCL6B	chr6	87394950	87394966	-	0.000	0.000	Merged-chr6-87395104-19
NR163--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR434--MA0731.1.BCL6B	chr14	16256344	16256360	-	0.000	0.000	Merged-chr14-16256161-59
