#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR977--MA0508.2.PRDM1	chr16	22493578	22493587	+	0.000	0.000	Merged-chr16-22493542-26
NR271--MA0508.2.PRDM1	chr10	56486743	56486752	-	0.000	0.000	Merged-chr10-56486689-18
NR2382--MA0508.2.PRDM1	chr8	46196986	46196995	+	0.000	0.000	Merged-chr8-46197044-15
NR2446--MA0508.2.PRDM1	chr8	121898697	121898706	-	0.000	0.000	Merged-chr8-121898554-47
NR2008--MA0508.2.PRDM1	chr5	149427532	149427541	-	0.000	0.000	Merged-chr5-149427432-30
NR367--MA0508.2.PRDM1	chr11	3145986	3145995	-	0.000	0.000	Merged-chr11-3145875-104
NR2566--MA0508.2.PRDM1	chr9	118196801	118196810	+	0.000	0.000	Merged-chr9-118196833-13
NR1438--MA0508.2.PRDM1	chr2	118008299	118008308	-	0.000	0.000	Merged-chr2-118008176-29
NR1024--MA0508.2.PRDM1	chr16	57318164	57318173	-	0.000	0.000	Merged-chr16-57318126-31
NR862--MA0508.2.PRDM1	chr14	87348985	87348994	-	0.000	0.000	Merged-chr14-87349015-16
NR663--MA0508.2.PRDM1	chr13	35808274	35808283	+	0.000	0.000	Merged-chr13-35808207-14
NR424--MA0508.2.PRDM1	chr11	68270897	68270906	+	0.000	0.000	Merged-chr11-68271044-32
NR1287--MA0508.2.PRDM1	chr19	59930151	59930160	+	0.000	0.000	Merged-chr19-59930047-24
NR730--MA0508.2.PRDM1	chr13	95063624	95063633	+	0.000	0.000	Merged-chr13-95063599-48
NR2583--MA0508.2.PRDM1	chrX	53607902	53607911	+	0.000	0.000	Merged-chrX-53607978-28
NR2453--MA0508.2.PRDM1	chr8	126699471	126699480	+	0.000	0.000	Merged-chr8-126699390-72
NR2007--MA0508.2.PRDM1	chr5	149203209	149203218	-	0.000	0.000	Merged-chr5-149203183-18
NR2050--MA0508.2.PRDM1	chr6	57449437	57449446	+	0.000	0.000	Merged-chr6-57449516-18
NR1950--MA0508.2.PRDM1	chr5	96825041	96825050	+	0.000	0.000	Merged-chr5-96825060-50
NR608--MA0508.2.PRDM1	chr12	110389527	110389536	+	0.000	0.000	Merged-chr12-110389691-32
NR2406--MA0508.2.PRDM1	chr8	81558831	81558840	-	0.000	0.000	Merged-chr8-81558760-48
NR1281--MA0508.2.PRDM1	chr19	57093523	57093532	-	0.000	0.000	Merged-chr19-57093567-48
NR1286--MA0508.2.PRDM1	chr19	59930102	59930111	+	0.000	0.000	Merged-chr19-59930047-24
NR58--MA0508.2.PRDM1	chr1	80855550	80855559	+	0.000	0.000	Merged-chr1-80855392-26
NR1406--MA0508.2.PRDM1	chr2	102039553	102039562	+	0.000	0.000	Merged-chr2-102039537-38
NR543--MA0508.2.PRDM1	chr12	53032943	53032952	-	0.000	0.000	Merged-chr12-53032976-31
NR758--MA0508.2.PRDM1	chr13	110564221	110564230	+	0.000	0.000	Merged-chr13-110564159-46
NR607--MA0508.2.PRDM1	chr12	110381461	110381470	-	0.000	0.000	Merged-chr12-110381552-59
NR2426--MA0508.2.PRDM1	chr8	105965597	105965606	-	0.000	0.000	Merged-chr8-105965531-1
NR246--MA0508.2.PRDM1	chr10	30538226	30538235	+	0.000	0.000	Merged-chr10-30538265-95
NR1251--MA0508.2.PRDM1	chr19	18766571	18766580	+	0.000	0.000	Merged-chr19-18766611-24
