#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR3111--MA0002.2.RUNX1	chr16	22526576	22526586	+	0.000	0.000	Merged-chr16-22526487-34
NR1573--MA0684.1.RUNX3	chr12	8847369	8847378	-	0.000	0.000	Merged-chr12-8847092-48
NR62--MA0002.2.RUNX1	chr1	38597955	38597965	+	0.000	0.000	Merged-chr1-38597807-10
NR3--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR2730--MA0511.2.RUNX2	chr15	25828626	25828634	-	0.000	0.000	Merged-chr15-25828667-44
NR7433--MA0511.2.RUNX2	chr7	136164676	136164684	+	0.000	0.000	Merged-chr7-136164647-23
NR1295--MA0002.2.RUNX1	chr11	60033002	60033012	+	0.000	0.000	Merged-chr11-60032831-21
NR4672--MA0002.2.RUNX1	chr2	144658003	144658013	-	0.000	0.000	Merged-chr2-144658008-6
NR632--MA0511.2.RUNX2	chr1	190896288	190896296	-	0.000	0.000	Merged-chr1-190896359-15
NR5164--MA0684.1.RUNX3	chr3	109740742	109740751	+	0.000	0.000	Merged-chr3-109740806-11
NR3358--MA0511.2.RUNX2	chr17	7164085	7164093	-	0.000	0.000	Merged-chr17-7164154-31
NR754--MA0511.2.RUNX2	chr10	26879362	26879370	-	0.000	0.000	Merged-chr10-26879299-36
NR655--MA0002.2.RUNX1	chr1	193146437	193146447	-	0.000	0.000	Merged-chr1-193146532-29
NR5256--MA0511.2.RUNX2	chr3	133563768	133563776	-	0.000	0.000	Merged-chr3-133563771-42
NR2495--MA0002.2.RUNX1	chr14	64182482	64182492	-	0.000	0.000	Merged-chr14-64182620-14
NR750--MA0684.1.RUNX3	chr10	26562869	26562878	-	0.000	0.000	Merged-chr10-26563078-18
NR3115--MA0684.1.RUNX3	chr16	23181795	23181804	-	0.000	0.000	Merged-chr16-23181616-66
NR2711--MA0002.2.RUNX1	chr15	5580586	5580596	+	0.000	0.000	Merged-chr15-5580453-13
NR3041--MA0684.1.RUNX3	chr15	103264019	103264028	+	0.000	0.000	Merged-chr15-103264085-19
NR232--MA0684.1.RUNX3	chr1	80597107	80597116	+	0.000	0.000	Merged-chr1-80596993-13
NR6283--MA0002.2.RUNX1	chr5	124241815	124241825	-	0.000	0.000	Merged-chr5-124241668-15
NR5174--MA0511.2.RUNX2	chr3	115642456	115642464	+	0.000	0.000	Merged-chr3-115642696-110
NR830--MA0684.1.RUNX3	chr10	58480391	58480400	+	0.000	0.000	Merged-chr10-58480234-23
NR4572--MA0511.2.RUNX2	chr2	117365400	117365408	-	0.000	0.000	Merged-chr2-117365460-12
NR5315--MA0511.2.RUNX2	chr3	144232151	144232159	-	0.000	0.000	Merged-chr3-144232172-58
NR1257--MA0684.1.RUNX3	chr11	52320785	52320794	-	0.000	0.000	Merged-chr11-52320694-9
NR3850--MA0002.2.RUNX1	chr18	49721779	49721789	-	0.000	0.000	Merged-chr18-49721855-41
NR6493--MA0002.2.RUNX1	chr6	43619393	43619403	-	0.000	0.000	Merged-chr6-43619418-19
NR2741--MA0511.2.RUNX2	chr15	27668288	27668296	-	0.000	0.000	Merged-chr15-27668249-55
NR835--MA0684.1.RUNX3	chr10	59608426	59608435	+	0.000	0.000	Merged-chr10-59608424-25
NR5175--MA0684.1.RUNX3	chr3	115642456	115642465	+	0.000	0.000	Merged-chr3-115642696-110
NR4573--MA0684.1.RUNX3	chr2	117365399	117365408	-	0.000	0.000	Merged-chr2-117365460-12
NR6408--MA0002.2.RUNX1	chr6	5997677	5997687	-	0.000	0.000	Merged-chr6-5997718-16
NR4457--MA0002.2.RUNX1	chr2	80324681	80324691	+	0.000	0.000	Merged-chr2-80324472-29
NR2492--MA0684.1.RUNX3	chr14	63104030	63104039	+	0.000	0.000	Merged-chr14-63104126-25
NR6375--MA0684.1.RUNX3	chr5	148903759	148903768	-	0.000	0.000	Merged-chr5-148903803-10
NR6245--MA0684.1.RUNX3	chr5	118601661	118601670	-	0.000	0.000	Merged-chr5-118601665-20
NR8157--MA0002.2.RUNX1	chr9	77556815	77556825	+	0.000	0.000	Merged-chr9-77556832-23
NR6877--MA0684.1.RUNX3	chr6	136493692	136493701	-	0.000	0.000	Merged-chr6-136493676-34
NR2725--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR6281--MA0002.2.RUNX1	chr5	124232628	124232638	-	0.000	0.000	Merged-chr5-124232735-24
NR5440--MA0002.2.RUNX1	chr4	34429713	34429723	+	0.000	0.000	Merged-chr4-34429561-69
NR6151--MA0002.2.RUNX1	chr5	103405448	103405458	+	0.000	0.000	Merged-chr5-103405503-4
NR2172--MA0002.2.RUNX1	chr13	89889237	89889247	-	0.000	0.000	Merged-chr13-89889254-28
NR8214--MA0511.2.RUNX2	chr9	95350879	95350887	-	0.000	0.000	Merged-chr9-95350781-49
NR1970--MA0684.1.RUNX3	chr13	24866804	24866813	+	0.000	0.000	Merged-chr13-24866887-32
NR6687--MA0002.2.RUNX1	chr6	99643660	99643670	+	0.000	0.000	Merged-chr6-99643748-32
NR4916--MA0684.1.RUNX3	chr3	41032262	41032271	-	0.000	0.000	Merged-chr3-41032256-9
NR2217--MA0002.2.RUNX1	chr13	100440841	100440851	-	0.000	0.000	Merged-chr13-100440746-32
NR6656--MA0511.2.RUNX2	chr6	90782604	90782612	+	0.000	0.000	Merged-chr6-90782586-39
NR139--MA0684.1.RUNX3	chr1	55630384	55630393	-	0.000	0.000	Merged-chr1-55630357-14
NR218--MA0511.2.RUNX2	chr1	78537715	78537723	+	0.000	0.000	Merged-chr1-78537773-101
NR6765--MA0511.2.RUNX2	chr6	120077253	120077261	+	0.000	0.000	Merged-chr6-120077232-23
NR4466--MA0511.2.RUNX2	chr2	84582459	84582467	-	0.000	0.000	Merged-chr2-84582461-28
NR2339--MA0002.2.RUNX1	chr14	15273366	15273376	-	0.000	0.000	Merged-chr14-15273135-43
NR6539--MA0511.2.RUNX2	chr6	50503290	50503298	+	0.000	0.000	Merged-chr6-50503365-20
NR6278--MA0002.2.RUNX1	chr5	123780931	123780941	+	0.000	0.000	Merged-chr5-123780915-18
NR6244--MA0002.2.RUNX1	chr5	118601660	118601670	+	0.000	0.000	Merged-chr5-118601665-20
NR42--MA0002.2.RUNX1	chr1	35653481	35653491	+	0.000	0.000	Merged-chr1-35653441-55
NR4307--MA0511.2.RUNX2	chr2	29453884	29453892	-	0.000	0.000	Merged-chr2-29453953-15
NR5092--MA0002.2.RUNX1	chr3	97055096	97055106	+	0.000	0.000	Merged-chr3-97055000-19
NR5220--MA0002.2.RUNX1	chr3	126825137	126825147	+	0.000	0.000	Merged-chr3-126825034-19
