#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR12446--MA0740.1.KLF14	chr12	33220653	33220666	+	0.000	0.000	Merged-chr12-33220672-27
NR53940--MA0741.1.KLF16	chr8	8661411	8661421	+	0.000	0.000	Merged-chr8-8661451-105
NR15495--MA0039.3.KLF4	chr13	65070139	65070149	+	0.000	0.000	Merged-chr13-65070187-24
NR49405--MA0741.1.KLF16	chr6	145469421	145469431	-	0.000	0.000	Merged-chr6-145469437-17
NR6941--MA0493.1.Klf1	chr10	111562799	111562809	+	0.000	0.000	Merged-chr10-111562842-26
NR16022--MA0741.1.KLF16	chr13	94144779	94144789	-	0.000	0.000	Merged-chr13-94144726-31
NR46637--MA0657.1.KLF13	chr6	37399078	37399095	+	0.000	0.000	Merged-chr6-37399175-29
NR21762--MA1107.1.KLF9	chr16	23262264	23262276	+	0.000	0.000	Merged-chr16-23262371-32
NR37051--MA0741.1.KLF16	chr3	131190931	131190941	+	0.000	0.000	Merged-chr3-131190965-19
NR58037--MA0741.1.KLF16	chr9	58112636	58112646	-	0.000	0.000	Merged-chr9-58112486-25
NR12957--MA0657.1.KLF13	chr12	76312170	76312187	+	0.000	0.000	Merged-chr12-76312183-20
NR61159--MA0741.1.KLF16	chrX	104857309	104857319	+	0.000	0.000	Merged-chrX-104857124-25
NR48437--MA0599.1.KLF5	chr6	116682496	116682505	-	0.000	0.000	Merged-chr6-116682504-22
NR36561--MA0039.3.KLF4	chr3	109782589	109782599	-	0.000	0.000	Merged-chr3-109782603-31
NR18392--MA0740.1.KLF14	chr14	86788609	86788622	+	0.000	0.000	Merged-chr14-86788729-15
NR36217--MA1107.1.KLF9	chr3	101066374	101066386	-	0.000	0.000	Merged-chr3-101066330-34
NR59319--MA1107.1.KLF9	chr9	104337791	104337803	-	0.000	0.000	Merged-chr9-104337728-48
NR6189--MA1107.1.KLF9	chr10	81247992	81248004	+	0.000	0.000	Merged-chr10-81248090-40
NR6184--MA0039.3.KLF4	chr10	81247884	81247894	-	0.000	0.000	Merged-chr10-81248090-40
NR8267--MA0599.1.KLF5	chr11	22936586	22936595	+	0.000	0.000	Merged-chr11-22936648-30
NR38279--MA0740.1.KLF14	chr4	41295618	41295631	+	0.000	0.000	Merged-chr4-41295781-15
NR22660--MA1107.1.KLF9	chr16	84982680	84982692	+	0.000	0.000	Merged-chr16-84982791-18
NR31942--MA0599.1.KLF5	chr2	102733592	102733601	-	0.000	0.000	Merged-chr2-102733347-57
NR9911--MA1107.1.KLF9	chr11	80504355	80504367	+	0.000	0.000	Merged-chr11-80504539-24
NR421--MA1107.1.KLF9	chr1	40190293	40190305	-	0.000	0.000	Merged-chr1-40190206-19
NR7851--MA0741.1.KLF16	chr10	128940595	128940605	-	0.000	0.000	Merged-chr10-128940717-41
NR15901--MA0741.1.KLF16	chr13	89521653	89521663	+	0.000	0.000	Merged-chr13-89521757-30
NR60822--MA0493.1.Klf1	chrX	53607855	53607865	+	0.000	0.000	Merged-chrX-53607978-28
NR22887--MA0741.1.KLF16	chr16	93574646	93574656	-	0.000	0.000	Merged-chr16-93574695-56
NR58167--MA1107.1.KLF9	chr9	61779365	61779377	+	0.000	0.000	Merged-chr9-61779248-32
NR7848--MA1107.1.KLF9	chr10	128940562	128940574	-	0.000	0.000	Merged-chr10-128940717-41
NR22656--MA1107.1.KLF9	chr16	84982672	84982684	+	0.000	0.000	Merged-chr16-84982791-18
NR58162--MA0740.1.KLF14	chr9	61779365	61779378	+	0.000	0.000	Merged-chr9-61779248-32
NR28864--MA1107.1.KLF9	chr19	41031259	41031271	-	0.000	0.000	Merged-chr19-41031181-46
NR2776--MA0599.1.KLF5	chr1	156522305	156522314	-	0.000	0.000	Merged-chr1-156522298-40
NR46176--MA0039.3.KLF4	chr5	149427522	149427532	-	0.000	0.000	Merged-chr5-149427432-30
NR5025--MA0599.1.KLF5	chr10	43479067	43479076	-	0.000	0.000	Merged-chr10-43478998-1
NR44271--MA0599.1.KLF5	chr5	115474656	115474665	+	0.000	0.000	Merged-chr5-115474524-35
NR43699--MA0039.3.KLF4	chr5	100929922	100929932	+	0.000	0.000	Merged-chr5-100929891-31
NR36794--MA0741.1.KLF16	chr3	122474234	122474244	+	0.000	0.000	Merged-chr3-122474297-38
NR11276--MA0741.1.KLF16	chr11	109347875	109347885	-	0.000	0.000	Merged-chr11-109347836-28
NR26363--MA0493.1.Klf1	chr18	32311871	32311881	-	0.000	0.000	Merged-chr18-32311918-36
NR54369--MA0741.1.KLF16	chr8	34397999	34398009	+	0.000	0.000	Merged-chr8-34397971-66
NR51564--MA0741.1.KLF16	chr7	79190826	79190836	+	0.000	0.000	Merged-chr7-79190820-25
NR34450--MA0039.3.KLF4	chr2	174566143	174566153	+	0.000	0.000	Merged-chr2-174566072-46
NR35424--MA1107.1.KLF9	chr3	69274921	69274933	-	0.000	0.000	Merged-chr3-69274909-13
NR43535--MA0742.1.Klf12	chr5	97090257	97090271	-	0.000	0.000	Merged-chr5-97090318-20
NR59522--MA1107.1.KLF9	chr9	107719431	107719443	+	0.000	0.000	Merged-chr9-107719377-27
NR37157--MA0493.1.Klf1	chr3	135513607	135513617	-	0.000	0.000	Merged-chr3-135513515-51
NR5173--MA0493.1.Klf1	chr10	58480174	58480184	-	0.000	0.000	Merged-chr10-58480234-23
NR11274--MA0599.1.KLF5	chr11	109347876	109347885	-	0.000	0.000	Merged-chr11-109347836-28
NR6944--MA0599.1.KLF5	chr10	111562893	111562902	+	0.000	0.000	Merged-chr10-111562842-26
NR34282--MA0599.1.KLF5	chr2	172940357	172940366	-	0.000	0.000	Merged-chr2-172940358-59
NR37954--MA0493.1.Klf1	chr4	10875644	10875654	+	0.000	0.000	Merged-chr4-10875548-10
NR12227--MA0657.1.KLF13	chr12	16509453	16509470	+	0.000	0.000	Merged-chr12-16509548-40
NR3312--MA0741.1.KLF16	chr1	172197390	172197400	+	0.000	0.000	Merged-chr1-172197316-25
NR22479--MA0742.1.Klf12	chr16	72350674	72350688	-	0.000	0.000	Merged-chr16-72350554-25
NR53220--MA0039.3.KLF4	chr7	130893296	130893306	+	0.000	0.000	Merged-chr7-130893114-41
NR56042--MA0039.3.KLF4	chr8	108974003	108974013	+	0.000	0.000	Merged-chr8-108973872-37
NR11064--MA0599.1.KLF5	chr11	104001252	104001261	-	0.000	0.000	Merged-chr11-104001412-21
NR6191--MA1107.1.KLF9	chr10	81247996	81248008	+	0.000	0.000	Merged-chr10-81248090-40
NR49404--MA0599.1.KLF5	chr6	145469422	145469431	-	0.000	0.000	Merged-chr6-145469437-17
NR36113--MA0599.1.KLF5	chr3	98406700	98406709	+	0.000	0.000	Merged-chr3-98406778-20
NR36635--MA0741.1.KLF16	chr3	116200269	116200279	+	0.000	0.000	Merged-chr3-116200281-40
NR46483--MA0493.1.Klf1	chr6	28878189	28878199	-	0.000	0.000	Merged-chr6-28878211-33
NR39274--MA1107.1.KLF9	chr4	97871807	97871819	+	0.000	0.000	Merged-chr4-97871840-30
NR58931--MA0599.1.KLF5	chr9	87178964	87178973	+	0.000	0.000	Merged-chr9-87178792-36
NR34090--MA0599.1.KLF5	chr2	168741368	168741377	+	0.000	0.000	Merged-chr2-168741453-11
