#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR48805--MA0740.1.KLF14	chr7	49246033	49246046	+	0.000	0.000	Merged-chr7-49246156-57
NR903--MA0039.3.KLF4	chr1	73940873	73940883	+	0.000	0.000	Merged-chr1-73940938-50
NR906--MA0741.1.KLF16	chr1	73940883	73940893	+	0.000	0.000	Merged-chr1-73940938-50
NR51729--MA0599.1.KLF5	chr8	31031873	31031882	-	0.000	0.000	Merged-chr8-31031944-31
NR6633--MA0599.1.KLF5	chr10	118787381	118787390	+	0.000	0.000	Merged-chr10-118787587-44
NR39506--MA0599.1.KLF5	chr4	150087308	150087317	-	0.000	0.000	Merged-chr4-150087480-81
NR47316--MA0741.1.KLF16	chr7	3290416	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR18808--MA0599.1.KLF5	chr15	55906725	55906734	+	0.000	0.000	Merged-chr15-55906885-1
NR39509--MA0741.1.KLF16	chr4	150087351	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR50819--MA0742.1.Klf12	chr7	136894410	136894424	-	0.000	0.000	Merged-chr7-136894538-85
NR902--MA0599.1.KLF5	chr1	73940883	73940892	+	0.000	0.000	Merged-chr1-73940938-50
NR17562--MA0599.1.KLF5	chr14	78307981	78307990	+	0.000	0.000	Merged-chr14-78307953-14
NR43896--MA0742.1.Klf12	chr5	150259807	150259821	-	0.000	0.000	Merged-chr5-150259783-65
NR44961--MA0493.1.Klf1	chr6	71322741	71322751	+	0.000	0.000	Merged-chr6-71322825-41
NR47317--MA1107.1.KLF9	chr7	3290415	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR47309--MA0493.1.Klf1	chr7	3290305	3290315	+	0.000	0.000	Merged-chr7-3290343-35
NR39769--MA0740.1.KLF14	chr4	154942788	154942801	+	0.000	0.000	Merged-chr4-154942654-46
NR6630--MA0740.1.KLF14	chr10	118787380	118787393	+	0.000	0.000	Merged-chr10-118787587-44
NR498--MA0742.1.Klf12	chr1	43766412	43766426	+	0.000	0.000	Merged-chr1-43766514-14
NR6631--MA0657.1.KLF13	chr10	118787379	118787396	+	0.000	0.000	Merged-chr10-118787587-44
NR43895--MA0740.1.KLF14	chr5	150259808	150259821	-	0.000	0.000	Merged-chr5-150259783-65
NR33901--MA0599.1.KLF5	chr3	81835918	81835927	-	0.000	0.000	Merged-chr3-81835793-30
NR16092--MA0039.3.KLF4	chr14	7791561	7791571	+	0.000	0.000	Merged-chr14-7791631-72
NR48808--MA0599.1.KLF5	chr7	49246034	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR4347--MA0741.1.KLF16	chr10	34207261	34207271	-	0.000	0.000	Merged-chr10-34207023-88
NR26800--MA0493.1.Klf1	chr18	89626889	89626899	+	0.000	0.000	Merged-chr18-89627032-39
NR48504--MA0599.1.KLF5	chr7	39544278	39544287	+	0.000	0.000	Merged-chr7-39544508-62
NR26801--MA0741.1.KLF16	chr18	89626890	89626900	+	0.000	0.000	Merged-chr18-89627032-39
NR20991--MA0493.1.Klf1	chr16	21204535	21204545	+	0.000	0.000	Merged-chr16-21204669-33
NR19744--MA1107.1.KLF9	chr15	85233151	85233163	+	0.000	0.000	Merged-chr15-85233310-62
NR43897--MA0599.1.KLF5	chr5	150259811	150259820	-	0.000	0.000	Merged-chr5-150259783-65
NR50827--MA0741.1.KLF16	chr7	136894458	136894468	+	0.000	0.000	Merged-chr7-136894538-85
NR6642--MA1107.1.KLF9	chr10	118787589	118787601	+	0.000	0.000	Merged-chr10-118787587-44
NR10321--MA1107.1.KLF9	chr11	103808763	103808775	-	0.000	0.000	Merged-chr11-103808730-15
NR13148--MA1107.1.KLF9	chr12	108275619	108275631	-	0.000	0.000	Merged-chr12-108275445-64
NR50825--MA0599.1.KLF5	chr7	136894458	136894467	+	0.000	0.000	Merged-chr7-136894538-85
NR26802--MA1107.1.KLF9	chr18	89626889	89626901	+	0.000	0.000	Merged-chr18-89627032-39
NR50822--MA0740.1.KLF14	chr7	136894457	136894470	+	0.000	0.000	Merged-chr7-136894538-85
NR13143--MA0740.1.KLF14	chr12	108275476	108275489	+	0.000	0.000	Merged-chr12-108275445-64
NR2212--MA0039.3.KLF4	chr1	151236860	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR55378--MA0039.3.KLF4	chr9	61779442	61779452	-	0.000	0.000	Merged-chr9-61779248-32
NR48860--MA0493.1.Klf1	chr7	52005846	52005856	+	0.000	0.000	Merged-chr7-52005667-2
NR27406--MA0741.1.KLF16	chr19	17268913	17268923	+	0.000	0.000	Merged-chr19-17268849-24
NR48858--MA0742.1.Klf12	chr7	52005846	52005860	+	0.000	0.000	Merged-chr7-52005667-2
NR47310--MA0741.1.KLF16	chr7	3290306	3290316	+	0.000	0.000	Merged-chr7-3290343-35
NR905--MA0741.1.KLF16	chr1	73940877	73940887	+	0.000	0.000	Merged-chr1-73940938-50
NR50823--MA0657.1.KLF13	chr7	136894456	136894473	+	0.000	0.000	Merged-chr7-136894538-85
