#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR9390--MA0684.1.RUNX3	chrX	159828383	159828392	+	0.000	0.000	Merged-chrX-159828290-35
NR6522--MA0002.2.RUNX1	chr4	144908970	144908980	+	0.000	0.000	Merged-chr4-144908993-28
NR5718--MA0511.2.RUNX2	chr3	86961165	86961173	-	0.000	0.000	Merged-chr3-86961231-31
NR3496--MA0511.2.RUNX2	chr16	17695011	17695019	-	0.000	0.000	Merged-chr16-17695007-34
NR3397--MA0002.2.RUNX1	chr15	97455693	97455703	+	0.000	0.000	Merged-chr15-97455795-23
NR7855--MA0511.2.RUNX2	chr7	49335378	49335386	-	0.000	0.000	Merged-chr7-49335315-27
NR2814--MA0002.2.RUNX1	chr14	47740831	47740841	-	0.000	0.000	Merged-chr14-47740703-52
NR955--MA0002.2.RUNX1	chr10	77962993	77963003	-	0.000	0.000	Merged-chr10-77962952-24
NR5186--MA0002.2.RUNX1	chr2	84838061	84838071	+	0.000	0.000	Merged-chr2-84838147-43
NR5443--MA0684.1.RUNX3	chr2	158450879	158450888	+	0.000	0.000	Merged-chr2-158450944-19
NR3829--MA0684.1.RUNX3	chr16	93552876	93552885	-	0.000	0.000	Merged-chr16-93552984-42
NR3415--MA0684.1.RUNX3	chr15	100060981	100060990	-	0.000	0.000	Merged-chr15-100060928-68
NR5569--MA0511.2.RUNX2	chr3	16227503	16227511	-	0.000	0.000	Merged-chr3-16227487-10
NR8009--MA0684.1.RUNX3	chr7	99003412	99003421	+	0.000	0.000	Merged-chr7-99003498-20
NR140--MA0002.2.RUNX1	chr1	60990334	60990344	+	0.000	0.000	Merged-chr1-60990456-63
NR7407--MA0684.1.RUNX3	chr6	94683886	94683895	+	0.000	0.000	Merged-chr6-94683964-26
NR62--MA0002.2.RUNX1	chr1	38777641	38777651	-	0.000	0.000	Merged-chr1-38777708-41
NR7354--MA0684.1.RUNX3	chr6	82956789	82956798	+	0.000	0.000	Merged-chr6-82956843-32
NR4420--MA0002.2.RUNX1	chr18	56566205	56566215	-	0.000	0.000	Merged-chr18-56566232-24
NR1509--MA0684.1.RUNX3	chr11	80323508	80323517	+	0.000	0.000	Merged-chr11-80323459-26
NR5178--MA0002.2.RUNX1	chr2	84582457	84582467	+	0.000	0.000	Merged-chr2-84582461-28
NR4880--MA0511.2.RUNX2	chr2	8965051	8965059	-	0.000	0.000	Merged-chr2-8965212-53
NR2896--MA0002.2.RUNX1	chr14	67877890	67877900	-	0.000	0.000	Merged-chr14-67877957-30
NR8078--MA0684.1.RUNX3	chr7	112860095	112860104	-	0.000	0.000	Merged-chr7-112860209-23
NR5415--MA0002.2.RUNX1	chr2	152906976	152906986	+	0.000	0.000	Merged-chr2-152906761-58
NR4890--MA0002.2.RUNX1	chr2	9677235	9677245	-	0.000	0.000	Merged-chr2-9677324-22
NR3097--MA0002.2.RUNX1	chr15	12606557	12606567	-	0.000	0.000	Merged-chr15-12606518-21
NR403--MA0002.2.RUNX1	chr1	140308597	140308607	-	0.000	0.000	Merged-chr1-140308738-7
NR4671--MA0684.1.RUNX3	chr19	21771765	21771774	+	0.000	0.000	Merged-chr19-21771815-24
NR1422--MA0684.1.RUNX3	chr11	63148535	63148544	+	0.000	0.000	Merged-chr11-63148506-21
NR2623--MA0002.2.RUNX1	chr13	101713878	101713888	+	0.000	0.000	Merged-chr13-101713890-21
NR8991--MA0002.2.RUNX1	chr9	72797332	72797342	-	0.000	0.000	Merged-chr9-72797397-34
NR5266--MA0002.2.RUNX1	chr2	114873176	114873186	-	0.000	0.000	Merged-chr2-114873203-5
NR7075--MA0684.1.RUNX3	chr5	135661996	135662005	-	0.000	0.000	Merged-chr5-135662123-17
NR3367--MA0684.1.RUNX3	chr15	92134396	92134405	+	0.000	0.000	Merged-chr15-92134460-52
NR654--MA0684.1.RUNX3	chr1	192510749	192510758	+	0.000	0.000	Merged-chr1-192510804-31
NR191--MA0511.2.RUNX2	chr1	80418896	80418904	-	0.000	0.000	Merged-chr1-80418874-24
NR3508--MA0684.1.RUNX3	chr16	22526577	22526586	-	0.000	0.000	Merged-chr16-22526487-34
NR2810--MA0511.2.RUNX2	chr14	47740500	47740508	+	0.000	0.000	Merged-chr14-47740703-52
NR6052--MA0002.2.RUNX1	chr3	157938775	157938785	-	0.000	0.000	Merged-chr3-157938783-43
