#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR6801--MA0659.1.MAFG	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR5432--MA0089.1.MAFG::NFE2L1	chr3	108504044	108504049	+	0.000	0.000	Merged-chr3-108504114-26
NR921--MA0659.1.MAFG	chr10	95297777	95297797	+	0.000	0.000	Merged-chr10-95297882-9
NR2918--MA0591.1.Bach1::Mafk	chr15	27627261	27627275	-	0.000	0.000	Merged-chr15-27627368-1
NR3486--MA0089.1.MAFG::NFE2L1	chr16	90331121	90331126	-	0.000	0.000	Merged-chr16-90331129-56
NR2859--MA0089.1.MAFG::NFE2L1	chr14	120572338	120572343	-	0.000	0.000	Merged-chr14-120572441-59
NR4541--MA0117.2.Mafb	chr2	32875364	32875375	-	0.000	0.000	Merged-chr2-32875161-7
NR1135--MA0496.2.MAFK	chr11	11497908	11497926	-	0.000	0.000	Merged-chr11-11498094-24
NR935--MA0501.1.MAF::NFE2	chr10	95923490	95923504	-	0.000	0.000	Merged-chr10-95923402-19
NR6804--MA0496.2.MAFK	chr6	70709473	70709491	-	0.000	0.000	Merged-chr6-70709572-48
NR2389--MA0659.1.MAFG	chr13	85356562	85356582	+	0.000	0.000	Merged-chr13-85356477-8
NR2391--MA0496.2.MAFK	chr13	85356563	85356581	+	0.000	0.000	Merged-chr13-85356477-8
NR6877--MA0495.2.MAFF	chr6	99420832	99420852	+	0.000	0.000	Merged-chr6-99420809-31
NR8566--MA0089.1.MAFG::NFE2L1	chrY	90807807	90807812	-	0.000	0.000	Merged-chrY-90807613-47
NR3027--MA0089.1.MAFG::NFE2L1	chr15	66806496	66806501	+	0.000	0.000	Merged-chr15-66806580-18
NR4358--MA0089.1.MAFG::NFE2L1	chr19	46467150	46467155	+	0.000	0.000	Merged-chr19-46467273-39
NR5865--MA0089.1.MAFG::NFE2L1	chr4	119962896	119962901	-	0.000	0.000	Merged-chr4-119962727-36
NR1575--MA0501.1.MAF::NFE2	chr11	106588338	106588352	+	0.000	0.000	Merged-chr11-106588217-44
NR5461--MA0089.1.MAFG::NFE2L1	chr3	116474739	116474744	-	0.000	0.000	Merged-chr3-116474712-27
NR7202--MA0495.2.MAFF	chr7	28794628	28794648	-	0.000	0.000	Merged-chr7-28794657-13
NR688--MA0501.1.MAF::NFE2	chr10	39418588	39418602	+	0.000	0.000	Merged-chr10-39418565-23
NR782--MA0496.2.MAFK	chr10	68540767	68540785	-	0.000	0.000	Merged-chr10-68540864-1
NR8218--MA0591.1.Bach1::Mafk	chr9	78593283	78593297	-	0.000	0.000	Merged-chr9-78593326-11
NR2080--MA0089.1.MAFG::NFE2L1	chr12	117712719	117712724	-	0.000	0.000	Merged-chr12-117712681-21
NR154--MA0117.2.Mafb	chr1	69831153	69831164	+	0.000	0.000	Merged-chr1-69831096-32
NR1464--MA0089.1.MAFG::NFE2L1	chr11	83662481	83662486	+	0.000	0.000	Merged-chr11-83662452-14
NR620--MA0659.1.MAFG	chr10	13468997	13469017	+	0.000	0.000	Merged-chr10-13469041-19
NR8219--MA0659.1.MAFG	chr9	78593280	78593300	+	0.000	0.000	Merged-chr9-78593326-11
NR6246--MA0591.1.Bach1::Mafk	chr5	66137399	66137413	+	0.000	0.000	Merged-chr5-66137441-17
NR936--MA0496.2.MAFK	chr10	95923491	95923509	+	0.000	0.000	Merged-chr10-95923402-19
NR804--MA0089.1.MAFG::NFE2L1	chr10	76844995	76845000	+	0.000	0.000	Merged-chr10-76844808-11
NR6548--MA0089.1.MAFG::NFE2L1	chr5	143561770	143561775	-	0.000	0.000	Merged-chr5-143561800-6
NR7926--MA0501.1.MAF::NFE2	chr8	124046011	124046025	-	0.000	0.000	Merged-chr8-124045987-6
NR3445--MA0089.1.MAFG::NFE2L1	chr16	75855710	75855715	+	0.000	0.000	Merged-chr16-75855662-51
NR623--MA0496.2.MAFK	chr10	13468998	13469016	-	0.000	0.000	Merged-chr10-13469041-19
