#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR1805--MA0731.1.BCL6B	chr9	46067768	46067784	+	0.000	0.000	Merged-chr9-46067902-17
NR1287--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR1531--MA0463.1.Bcl6	chr6	140514824	140514837	+	0.000	0.000	Merged-chr6-140514739-89
NR1554--MA0463.1.Bcl6	chr7	16827406	16827419	-	0.000	0.000	Merged-chr7-16827547-27
NR765--MA0463.1.Bcl6	chr17	44121573	44121586	-	0.000	0.000	Merged-chr17-44121634-62
NR886--MA0463.1.Bcl6	chr19	40300200	40300213	-	0.000	0.000	Merged-chr19-40300210-18
NR313--MA0463.1.Bcl6	chr11	78766586	78766599	+	0.000	0.000	Merged-chr11-78766561-26
NR217--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR606--MA0463.1.Bcl6	chr15	9580832	9580845	-	0.000	0.000	Merged-chr15-9580927-74
NR767--MA0731.1.BCL6B	chr17	47116178	47116194	-	0.000	0.000	Merged-chr17-47115984-25
NR763--MA0463.1.Bcl6	chr17	44121486	44121499	+	0.000	0.000	Merged-chr17-44121634-62
NR647--MA0463.1.Bcl6	chr15	76274228	76274241	+	0.000	0.000	Merged-chr15-76274407-77
NR334--MA0463.1.Bcl6	chr11	99136767	99136780	-	0.000	0.000	Merged-chr11-99136684-32
NR1253--MA0463.1.Bcl6	chr4	89178165	89178178	+	0.000	0.000	Merged-chr4-89178152-23
NR389--MA0463.1.Bcl6	chr12	84246006	84246019	+	0.000	0.000	Merged-chr12-84245896-45
NR962--MA0463.1.Bcl6	chr2	72365411	72365424	-	0.000	0.000	Merged-chr2-72365558-19
NR1671--MA0463.1.Bcl6	chr7	140193006	140193019	-	0.000	0.000	Merged-chr7-140193008-50
NR1363--MA0731.1.BCL6B	chr5	62772042	62772058	+	0.000	0.000	Merged-chr5-62772215-28
NR1246--MA0731.1.BCL6B	chr4	83315152	83315168	+	0.000	0.000	Merged-chr4-83315362-155
NR941--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR465--MA0463.1.Bcl6	chr13	58472069	58472082	+	0.000	0.000	Merged-chr13-58471878-37
NR940--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR678--MA0731.1.BCL6B	chr16	10814859	10814875	+	0.000	0.000	Merged-chr16-10814720-1
NR1631--MA0463.1.Bcl6	chr7	110824201	110824214	+	0.000	0.000	Merged-chr7-110824322-44
NR514--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR525--MA0463.1.Bcl6	chr14	16256347	16256360	+	0.000	0.000	Merged-chr14-16256161-59
NR1131--MA0731.1.BCL6B	chr3	98027543	98027559	+	0.000	0.000	Merged-chr3-98027437-43
NR1763--MA0731.1.BCL6B	chr8	115727094	115727110	+	0.000	0.000	Merged-chr8-115726918-55
NR299--MA0463.1.Bcl6	chr11	67564460	67564473	+	0.000	0.000	Merged-chr11-67564427-31
NR18--MA0463.1.Bcl6	chr1	37478659	37478672	+	0.000	0.000	Merged-chr1-37478552-128
NR1639--MA0463.1.Bcl6	chr7	114069447	114069460	+	0.000	0.000	Merged-chr7-114069379-29
