#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR943--MA0508.2.PRDM1	chr19	18591303	18591312	-	0.000	0.000	Merged-chr19-18591291-34
NR433--MA0508.2.PRDM1	chr12	91713674	91713683	+	0.000	0.000	Merged-chr12-91713689-29
NR425--MA0508.2.PRDM1	chr12	87470476	87470485	-	0.000	0.000	Merged-chr12-87470490-42
NR1044--MA0508.2.PRDM1	chr2	71866729	71866738	-	0.000	0.000	Merged-chr2-71866752-47
NR55--MA0508.2.PRDM1	chr1	91825545	91825554	-	0.000	0.000	Merged-chr1-91825474-20
NR112--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR1049--MA0508.2.PRDM1	chr2	75685730	75685739	+	0.000	0.000	Merged-chr2-75685689-38
NR1015--MA0508.2.PRDM1	chr2	38536568	38536577	+	0.000	0.000	Merged-chr2-38536477-82
NR1089--MA0508.2.PRDM1	chr2	131448203	131448212	+	0.000	0.000	Merged-chr2-131448367-26
NR327--MA0508.2.PRDM1	chr11	71230842	71230851	-	0.000	0.000	Merged-chr11-71230864-28
NR816--MA0508.2.PRDM1	chr16	95860900	95860909	+	0.000	0.000	Merged-chr16-95860989-42
NR1783--MA0508.2.PRDM1	chr8	27201003	27201012	-	0.000	0.000	Merged-chr8-27201067-26
NR1640--MA0508.2.PRDM1	chr7	24369768	24369777	+	0.000	0.000	Merged-chr7-24370030-56
NR1170--MA0508.2.PRDM1	chr3	60531112	60531121	+	0.000	0.000	Merged-chr3-60530998-30
NR1821--MA0508.2.PRDM1	chr8	91074066	91074075	+	0.000	0.000	Merged-chr8-91073966-44
NR1890--MA0508.2.PRDM1	chr9	60991674	60991683	+	0.000	0.000	Merged-chr9-60991715-48
NR1303--MA0508.2.PRDM1	chr4	11095667	11095676	-	0.000	0.000	Merged-chr4-11095738-16
NR1935--MA0508.2.PRDM1	chr9	107334435	107334444	+	0.000	0.000	Merged-chr9-107334469-86
NR1154--MA0508.2.PRDM1	chr3	32420042	32420051	+	0.000	0.000	Merged-chr3-32420097-47
NR963--MA0508.2.PRDM1	chr19	53464788	53464797	-	0.000	0.000	Merged-chr19-53464901-55
NR1757--MA0508.2.PRDM1	chr7	141579044	141579053	-	0.000	0.000	Merged-chr7-141579078-48
NR1452--MA0508.2.PRDM1	chr5	62610141	62610150	+	0.000	0.000	Merged-chr5-62610074-16
NR1356--MA0508.2.PRDM1	chr4	101176312	101176321	+	0.000	0.000	Merged-chr4-101176356-14
NR1369--MA0508.2.PRDM1	chr4	121002448	121002457	+	0.000	0.000	Merged-chr4-121002570-50
NR1226--MA0508.2.PRDM1	chr3	115729369	115729378	-	0.000	0.000	Merged-chr3-115729400-55
NR751--MA0508.2.PRDM1	chr16	10814873	10814882	+	0.000	0.000	Merged-chr16-10814720-1
NR254--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR1048--MA0508.2.PRDM1	chr2	75685705	75685714	-	0.000	0.000	Merged-chr2-75685689-38
NR1529--MA0508.2.PRDM1	chr6	35462700	35462709	+	0.000	0.000	Merged-chr6-35462751-23
NR430--MA0508.2.PRDM1	chr12	90576320	90576329	-	0.000	0.000	Merged-chr12-90576423-51
NR1019--MA0508.2.PRDM1	chr2	48328422	48328431	+	0.000	0.000	Merged-chr2-48328415-44
NR347--MA0508.2.PRDM1	chr11	99099150	99099159	-	0.000	0.000	Merged-chr11-99099093-22
NR130--MA0508.2.PRDM1	chr1	170167939	170167948	-	0.000	0.000	Merged-chr1-170167960-28
NR491--MA0508.2.PRDM1	chr13	20092462	20092471	-	0.000	0.000	Merged-chr13-20092379-48
NR1591--MA0508.2.PRDM1	chr6	108717980	108717989	-	0.000	0.000	Merged-chr6-108717791-30
NR576--MA0508.2.PRDM1	chr13	117211687	117211696	+	0.000	0.000	Merged-chr13-117211586-48
NR146--MA0508.2.PRDM1	chr1	178182371	178182380	-	0.000	0.000	Merged-chr1-178182458-49
NR1451--MA0508.2.PRDM1	chr5	62610120	62610129	+	0.000	0.000	Merged-chr5-62610074-16
NR1682--MA0508.2.PRDM1	chr7	74684134	74684143	-	0.000	0.000	Merged-chr7-74684112-21
NR920--MA0508.2.PRDM1	chr18	67255672	67255681	-	0.000	0.000	Merged-chr18-67255745-40
NR1042--MA0508.2.PRDM1	chr2	69415311	69415320	-	0.000	0.000	Merged-chr2-69415236-25
NR1469--MA0508.2.PRDM1	chr5	77166259	77166268	-	0.000	0.000	Merged-chr5-77166256-29
NR620--MA0508.2.PRDM1	chr14	54518840	54518849	-	0.000	0.000	Merged-chr14-54518806-37
NR110--MA0508.2.PRDM1	chr1	153085200	153085209	+	0.000	0.000	Merged-chr1-153085366-59
NR32--MA0508.2.PRDM1	chr1	64949562	64949571	-	0.000	0.000	Merged-chr1-64949525-32
NR1087--MA0508.2.PRDM1	chr2	128367941	128367950	-	0.000	0.000	Merged-chr2-128367839-63
NR352--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR118--MA0508.2.PRDM1	chr1	160765700	160765709	+	0.000	0.000	Merged-chr1-160765870-25
NR1431--MA0508.2.PRDM1	chr5	28269860	28269869	-	0.000	0.000	Merged-chr5-28269924-54
NR349--MA0508.2.PRDM1	chr11	99131606	99131615	+	0.000	0.000	Merged-chr11-99131567-85
NR153--MA0508.2.PRDM1	chr1	184534502	184534511	+	0.000	0.000	Merged-chr1-184534660-49
NR1391--MA0508.2.PRDM1	chr4	145099950	145099959	-	0.000	0.000	Merged-chr4-145100023-41
NR259--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR1843--MA0508.2.PRDM1	chr8	115496169	115496178	+	0.000	0.000	Merged-chr8-115496222-29
NR1822--MA0508.2.PRDM1	chr8	91082446	91082455	+	0.000	0.000	Merged-chr8-91082333-75
NR1673--MA0508.2.PRDM1	chr7	66116180	66116189	-	0.000	0.000	Merged-chr7-66116161-49
NR754--MA0508.2.PRDM1	chr16	11475626	11475635	+	0.000	0.000	Merged-chr16-11475731-38
NR1081--MA0508.2.PRDM1	chr2	120500371	120500380	-	0.000	0.000	Merged-chr2-120500231-54
