#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR8998--MA0501.1.MAF::NFE2	chr9	52349363	52349377	+	0.000	0.000	Merged-chr9-52349266-37
NR1055--MA0089.1.MAFG::NFE2L1	chr10	76844995	76845000	+	0.000	0.000	Merged-chr10-76844808-11
NR1121--MA0659.1.MAFG	chr10	86794890	86794910	+	0.000	0.000	Merged-chr10-86794881-42
NR216--MA0501.1.MAF::NFE2	chr1	89069610	89069624	+	0.000	0.000	Merged-chr1-89069635-1
NR1124--MA0496.2.MAFK	chr10	86794891	86794909	-	0.000	0.000	Merged-chr10-86794881-42
NR2016--MA0089.1.MAFG::NFE2L1	chr12	69102146	69102151	-	0.000	0.000	Merged-chr12-69102156-32
NR3534--MA0089.1.MAFG::NFE2L1	chr15	93581934	93581939	-	0.000	0.000	Merged-chr15-93581886-25
NR217--MA0501.1.MAF::NFE2	chr1	89069604	89069618	-	0.000	0.000	Merged-chr1-89069635-1
NR6697--MA0495.2.MAFF	chr4	145341974	145341994	-	0.000	0.000	Merged-chr4-145342099-62
NR166--MA0089.1.MAFG::NFE2L1	chr1	74570399	74570404	-	0.000	0.000	Merged-chr1-74570528-25
NR7005--MA0591.1.Bach1::Mafk	chr5	86783382	86783396	-	0.000	0.000	Merged-chr5-86783243-43
NR1122--MA0659.1.MAFG	chr10	86794890	86794910	-	0.000	0.000	Merged-chr10-86794881-42
NR6699--MA0089.1.MAFG::NFE2L1	chr4	145342070	145342075	+	0.000	0.000	Merged-chr4-145342099-62
NR4741--MA0117.2.Mafb	chr19	44078358	44078369	-	0.000	0.000	Merged-chr19-44078434-18
NR907--MA0117.2.Mafb	chr10	38884900	38884911	+	0.000	0.000	Merged-chr10-38884993-65
NR1119--MA0495.2.MAFF	chr10	86794890	86794910	+	0.000	0.000	Merged-chr10-86794881-42
NR1123--MA0496.2.MAFK	chr10	86794891	86794909	+	0.000	0.000	Merged-chr10-86794881-42
NR4401--MA0089.1.MAFG::NFE2L1	chr18	46447803	46447808	-	0.000	0.000	Merged-chr18-46447727-33
NR800--MA0501.1.MAF::NFE2	chr10	7826314	7826328	-	0.000	0.000	Merged-chr10-7826287-40
NR8182--MA0501.1.MAF::NFE2	chr7	78583770	78583784	-	0.000	0.000	Merged-chr7-78583930-15
NR4400--MA0089.1.MAFG::NFE2L1	chr18	46447743	46447748	+	0.000	0.000	Merged-chr18-46447727-33
NR2441--MA0089.1.MAFG::NFE2L1	chr13	42077768	42077773	-	0.000	0.000	Merged-chr13-42077893-29
NR1120--MA0495.2.MAFF	chr10	86794890	86794910	-	0.000	0.000	Merged-chr10-86794881-42
NR2573--MA0495.2.MAFF	chr13	84791166	84791186	+	0.000	0.000	Merged-chr13-84791325-24
NR4253--MA0591.1.Bach1::Mafk	chr17	84633518	84633532	+	0.000	0.000	Merged-chr17-84633706-27
NR6698--MA0496.2.MAFK	chr4	145341975	145341993	-	0.000	0.000	Merged-chr4-145342099-62
NR801--MA0089.1.MAFG::NFE2L1	chr10	7826372	7826377	+	0.000	0.000	Merged-chr10-7826287-40
