#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2237--MA0463.1.Bcl6	chr6	136465167	136465180	+	0.000	0.000	Merged-chr6-136465215-11
NR1832--MA0463.1.Bcl6	chr4	119897624	119897637	+	0.000	0.000	Merged-chr4-119897419-50
NR2040--MA0463.1.Bcl6	chr5	134295811	134295824	-	0.000	0.000	Merged-chr5-134295794-17
NR986--MA0463.1.Bcl6	chr15	65810689	65810702	+	0.000	0.000	Merged-chr15-65810890-18
NR2681--MA0731.1.BCL6B	chr9	121675081	121675097	-	0.000	0.000	Merged-chr9-121675261-45
NR682--MA0463.1.Bcl6	chr13	45850823	45850836	+	0.000	0.000	Merged-chr13-45850664-56
NR333--MA0463.1.Bcl6	chr10	109115453	109115466	-	0.000	0.000	Merged-chr10-109115316-22
NR2212--MA0463.1.Bcl6	chr6	127617404	127617417	+	0.000	0.000	Merged-chr6-127617353-34
NR1117--MA0731.1.BCL6B	chr16	76323590	76323606	-	0.000	0.000	Merged-chr16-76323771-64
NR696--MA0463.1.Bcl6	chr13	58472069	58472082	+	0.000	0.000	Merged-chr13-58471878-37
NR2002--MA0463.1.Bcl6	chr5	107648917	107648930	+	0.000	0.000	Merged-chr5-107649073-49
NR1830--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1728--MA0731.1.BCL6B	chr4	10770224	10770240	+	0.000	0.000	Merged-chr4-10770192-53
NR2374--MA0463.1.Bcl6	chr7	110824201	110824214	+	0.000	0.000	Merged-chr7-110824322-44
NR1837--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR2280--MA0463.1.Bcl6	chr6	149307896	149307909	+	0.000	0.000	Merged-chr6-149307945-23
NR1177--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
NR1056--MA0731.1.BCL6B	chr16	24154109	24154125	+	0.000	0.000	Merged-chr16-24154153-12
NR1149--MA0731.1.BCL6B	chr17	8251848	8251864	-	0.000	0.000	Merged-chr17-8251885-20
NR294--MA0731.1.BCL6B	chr10	75697066	75697082	-	0.000	0.000	Merged-chr10-75697186-22
NR2466--MA0463.1.Bcl6	chr8	66497137	66497150	+	0.000	0.000	Merged-chr8-66497339-52
NR2145--MA0731.1.BCL6B	chr6	72660129	72660145	+	0.000	0.000	Merged-chr6-72660096-30
NR1838--MA0463.1.Bcl6	chr4	121002613	121002626	+	0.000	0.000	Merged-chr4-121002570-50
NR199--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR2629--MA0463.1.Bcl6	chr9	99240790	99240803	-	0.000	0.000	Merged-chr9-99240754-7
NR2281--MA0731.1.BCL6B	chr6	149307893	149307909	-	0.000	0.000	Merged-chr6-149307945-23
NR1997--MA0731.1.BCL6B	chr5	105062590	105062606	-	0.000	0.000	Merged-chr5-105062474-83
NR1481--MA0463.1.Bcl6	chr2	128073156	128073169	+	0.000	0.000	Merged-chr2-128073179-40
NR1323--MA0731.1.BCL6B	chr19	53421457	53421473	-	0.000	0.000	Merged-chr19-53421333-52
NR1191--MA0463.1.Bcl6	chr17	57126000	57126013	-	0.000	0.000	Merged-chr17-57126152-41
NR2419--MA0731.1.BCL6B	chr7	139157823	139157839	-	0.000	0.000	Merged-chr7-139157777-16
NR2510--MA0463.1.Bcl6	chr8	110813182	110813195	-	0.000	0.000	Merged-chr8-110813191-16
NR197--MA0463.1.Bcl6	chr1	176827398	176827411	+	0.000	0.000	Merged-chr1-176827492-35
NR1797--MA0463.1.Bcl6	chr4	89175872	89175885	+	0.000	0.000	Merged-chr4-89175714-21
NR444--MA0463.1.Bcl6	chr11	78766586	78766599	+	0.000	0.000	Merged-chr11-78766561-26
NR670--MA0731.1.BCL6B	chr13	33001651	33001667	-	0.000	0.000	Merged-chr13-33001523-50
NR1042--MA0731.1.BCL6B	chr16	11475694	11475710	+	0.000	0.000	Merged-chr16-11475731-38
NR2136--MA0463.1.Bcl6	chr6	65573452	65573465	+	0.000	0.000	Merged-chr6-65573561-44
NR1796--MA0731.1.BCL6B	chr4	88875881	88875897	+	0.000	0.000	Merged-chr4-88875849-45
NR2553--MA0731.1.BCL6B	chr9	35173420	35173436	+	0.000	0.000	Merged-chr9-35173482-4
NR694--MA0731.1.BCL6B	chr13	55640808	55640824	+	0.000	0.000	Merged-chr13-55640933-22
NR1384--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR1228--MA0731.1.BCL6B	chr17	88209818	88209834	+	0.000	0.000	Merged-chr17-88209741-13
NR605--MA0463.1.Bcl6	chr12	102350886	102350899	+	0.000	0.000	Merged-chr12-102350976-38
NR2516--MA0731.1.BCL6B	chr8	115727094	115727110	+	0.000	0.000	Merged-chr8-115726918-55
NR2198--MA0463.1.Bcl6	chr6	120453285	120453298	+	0.000	0.000	Merged-chr6-120453281-34
NR1207--MA0463.1.Bcl6	chr17	72822271	72822284	+	0.000	0.000	Merged-chr17-72822157-16
NR687--MA0463.1.Bcl6	chr13	51776549	51776562	-	0.000	0.000	Merged-chr13-51776600-43
NR2249--MA0463.1.Bcl6	chr6	140819674	140819687	+	0.000	0.000	Merged-chr6-140819599-25
NR2081--MA0731.1.BCL6B	chr6	8641006	8641022	-	0.000	0.000	Merged-chr6-8641126-10
NR680--MA0463.1.Bcl6	chr13	44588187	44588200	+	0.000	0.000	Merged-chr13-44588046-24
NR1120--MA0463.1.Bcl6	chr16	84616212	84616225	-	0.000	0.000	Merged-chr16-84616157-15
NR452--MA0463.1.Bcl6	chr11	87745066	87745079	+	0.000	0.000	Merged-chr11-87745119-47
NR129--MA0731.1.BCL6B	chr1	134098103	134098119	+	0.000	0.000	Merged-chr1-134098207-8
NR162--MA0463.1.Bcl6	chr1	162094332	162094345	+	0.000	0.000	Merged-chr1-162094499-16
NR489--MA0463.1.Bcl6	chr11	110897178	110897191	-	0.000	0.000	Merged-chr11-110897111-25
NR941--MA0463.1.Bcl6	chr14	121478475	121478488	-	0.000	0.000	Merged-chr14-121478313-77
NR2359--MA0463.1.Bcl6	chr7	100448625	100448638	-	0.000	0.000	Merged-chr7-100448653-1
NR2162--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR871--MA0731.1.BCL6B	chr14	65330861	65330877	+	0.000	0.000	Merged-chr14-65330788-23
NR982--MA0463.1.Bcl6	chr15	59707762	59707775	+	0.000	0.000	Merged-chr15-59707926-13
NR1121--MA0731.1.BCL6B	chr16	84616212	84616228	+	0.000	0.000	Merged-chr16-84616157-15
NR1222--MA0731.1.BCL6B	chr17	84368827	84368843	-	0.000	0.000	Merged-chr17-84368765-10
NR1472--MA0463.1.Bcl6	chr2	117374548	117374561	-	0.000	0.000	Merged-chr2-117374468-47
NR281--MA0463.1.Bcl6	chr10	66951614	66951627	-	0.000	0.000	Merged-chr10-66951483-7
NR882--MA0731.1.BCL6B	chr14	73290157	73290173	+	0.000	0.000	Merged-chr14-73290096-39
NR1854--MA0463.1.Bcl6	chr4	133079181	133079194	-	0.000	0.000	Merged-chr4-133079256-48
NR2094--MA0463.1.Bcl6	chr6	22379417	22379430	+	0.000	0.000	Merged-chr6-22379477-10
NR582--MA0731.1.BCL6B	chr12	85632338	85632354	-	0.000	0.000	Merged-chr12-85632486-20
NR430--MA0463.1.Bcl6	chr11	68464316	68464329	-	0.000	0.000	Merged-chr11-68464408-16
NR282--MA0731.1.BCL6B	chr10	66951614	66951630	+	0.000	0.000	Merged-chr10-66951483-7
NR1041--MA0463.1.Bcl6	chr16	11475694	11475707	-	0.000	0.000	Merged-chr16-11475731-38
NR688--MA0731.1.BCL6B	chr13	51776548	51776564	-	0.000	0.000	Merged-chr13-51776600-43
NR319--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR2181--MA0463.1.Bcl6	chr6	108686172	108686185	+	0.000	0.000	Merged-chr6-108686198-23
