#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR4341--MA0599.1.KLF5	chr10	36158426	36158435	+	0.000	0.000	Merged-chr10-36158337-60
NR46873--MA0039.3.KLF4	chr6	140314168	140314178	+	0.000	0.000	Merged-chr6-140314075-23
NR4517--MA0740.1.KLF14	chr10	42849025	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR4522--MA1107.1.KLF9	chr10	42849026	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR4521--MA0741.1.KLF16	chr10	42849027	42849037	-	0.000	0.000	Merged-chr10-42848913-29
NR33981--MA0599.1.KLF5	chr3	79178357	79178366	+	0.000	0.000	Merged-chr3-79178280-26
NR4344--MA1107.1.KLF9	chr10	36158427	36158439	+	0.000	0.000	Merged-chr10-36158337-60
NR4343--MA0741.1.KLF16	chr10	36158428	36158438	+	0.000	0.000	Merged-chr10-36158337-60
NR275--MA0493.1.Klf1	chr1	34478917	34478927	-	0.000	0.000	Merged-chr1-34479093-40
NR33983--MA1107.1.KLF9	chr3	79178356	79178368	+	0.000	0.000	Merged-chr3-79178280-26
NR33982--MA0493.1.Klf1	chr3	79178356	79178366	+	0.000	0.000	Merged-chr3-79178280-26
NR4518--MA0599.1.KLF5	chr10	42849028	42849037	-	0.000	0.000	Merged-chr10-42848913-29
NR4520--MA0741.1.KLF16	chr10	42849025	42849035	-	0.000	0.000	Merged-chr10-42848913-29
NR4342--MA0741.1.KLF16	chr10	36158426	36158436	+	0.000	0.000	Merged-chr10-36158337-60
NR46874--MA0493.1.Klf1	chr6	140314166	140314176	+	0.000	0.000	Merged-chr6-140314075-23
NR34164--MA0599.1.KLF5	chr3	87961035	87961044	-	0.000	0.000	Merged-chr3-87960988-36
NR4519--MA0493.1.Klf1	chr10	42849028	42849038	-	0.000	0.000	Merged-chr10-42848913-29
