#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2558--MA0039.3.KLF4	chr1	165609744	165609754	-	0.000	0.000	Merged-chr1-165609765-26
NR2557--MA0599.1.KLF5	chr1	165609746	165609755	-	0.000	0.000	Merged-chr1-165609765-26
NR2556--MA0742.1.Klf12	chr1	165609742	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR2555--MA0740.1.KLF14	chr1	165609743	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR19877--MA1107.1.KLF9	chr16	49982430	49982442	-	0.000	0.000	Merged-chr16-49982447-38
NR50837--MA0599.1.KLF5	chr8	124265927	124265936	-	0.000	0.000	Merged-chr8-124265993-45
NR29420--MA0493.1.Klf1	chr2	131448454	131448464	+	0.000	0.000	Merged-chr2-131448367-26
NR2559--MA0493.1.Klf1	chr1	165609746	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR19878--MA1107.1.KLF9	chr16	49982432	49982444	-	0.000	0.000	Merged-chr16-49982447-38
NR50839--MA0741.1.KLF16	chr8	124265926	124265936	-	0.000	0.000	Merged-chr8-124265993-45
NR2560--MA1107.1.KLF9	chr1	165609744	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR50834--MA0740.1.KLF14	chr8	124265924	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR50838--MA0493.1.Klf1	chr8	124265927	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR50835--MA0657.1.KLF13	chr8	124265921	124265938	-	0.000	0.000	Merged-chr8-124265993-45
NR19876--MA1107.1.KLF9	chr16	49982428	49982440	-	0.000	0.000	Merged-chr16-49982447-38
NR50836--MA0742.1.Klf12	chr8	124265923	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR50840--MA1107.1.KLF9	chr8	124265925	124265937	-	0.000	0.000	Merged-chr8-124265993-45
