#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR7769--MA0035.3.Gata1	chr6	135418445	135418455	+	0.000	0.000	Merged-chr6-135418528-77
NR968--MA0035.3.Gata1	chr10	54255249	54255259	-	0.000	0.000	Merged-chr10-54255218-57
NR8778--MA0037.3.GATA3	chr9	5311522	5311529	-	0.000	0.000	Merged-chr9-5311572-34
NR1576--MA0482.1.Gata4	chr11	88455551	88455561	+	0.000	0.000	Merged-chr11-88455545-42
NR8781--MA0036.3.GATA2	chr9	5311521	5311531	+	0.000	0.000	Merged-chr9-5311572-34
NR5669--MA0482.1.Gata4	chr3	101884427	101884437	-	0.000	0.000	Merged-chr3-101884248-30
NR3743--MA0140.2.GATA1::TAL1	chr17	5139018	5139035	+	0.000	0.000	Merged-chr17-5138884-51
NR7098--MA0140.2.GATA1::TAL1	chr5	137103354	137103371	+	0.000	0.000	Merged-chr5-137103369-20
NR5851--MA0036.3.GATA2	chr3	132791514	132791524	-	0.000	0.000	Merged-chr3-132791387-40
NR8202--MA0482.1.Gata4	chr7	113263190	113263200	+	0.000	0.000	Merged-chr7-113263148-32
NR1654--MA0482.1.Gata4	chr11	106057070	106057080	+	0.000	0.000	Merged-chr11-106057103-42
NR8207--MA0766.1.GATA5	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR1142--MA0036.3.GATA2	chr10	93933308	93933318	-	0.000	0.000	Merged-chr10-93933103-29
NR5506--MA0035.3.Gata1	chr3	54617491	54617501	-	0.000	0.000	Merged-chr3-54617665-45
NR3589--MA0036.3.GATA2	chr16	50555184	50555194	+	0.000	0.000	Merged-chr16-50555141-20
NR3590--MA0035.3.Gata1	chr16	50555184	50555194	+	0.000	0.000	Merged-chr16-50555141-20
NR1655--MA1104.1.GATA6	chr11	106057068	106057080	-	0.000	0.000	Merged-chr11-106057103-42
NR7522--MA0140.2.GATA1::TAL1	chr6	90782576	90782593	-	0.000	0.000	Merged-chr6-90782586-39
NR6608--MA1104.1.GATA6	chr5	20792369	20792381	+	0.000	0.000	Merged-chr5-20792282-29
NR6267--MA0482.1.Gata4	chr4	86725372	86725382	+	0.000	0.000	Merged-chr4-86725378-12
NR8208--MA0035.3.Gata1	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR8920--MA0766.1.GATA5	chr9	57866816	57866823	-	0.000	0.000	Merged-chr9-57866692-28
NR7271--MA0482.1.Gata4	chr6	37455686	37455696	+	0.000	0.000	Merged-chr6-37455816-24
NR2493--MA0766.1.GATA5	chr13	94144991	94144998	+	0.000	0.000	Merged-chr13-94144726-31
NR6268--MA1104.1.GATA6	chr4	86725370	86725382	-	0.000	0.000	Merged-chr4-86725378-12
NR7765--MA0482.1.Gata4	chr6	135418446	135418456	+	0.000	0.000	Merged-chr6-135418528-77
NR1653--MA0037.3.GATA3	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR4973--MA0482.1.Gata4	chr2	80324388	80324398	+	0.000	0.000	Merged-chr2-80324472-29
NR7272--MA1104.1.GATA6	chr6	37455684	37455696	-	0.000	0.000	Merged-chr6-37455816-24
NR2491--MA0482.1.Gata4	chr13	94144988	94144998	-	0.000	0.000	Merged-chr13-94144726-31
NR967--MA0036.3.GATA2	chr10	54255249	54255259	-	0.000	0.000	Merged-chr10-54255218-57
NR7766--MA1104.1.GATA6	chr6	135418444	135418456	-	0.000	0.000	Merged-chr6-135418528-77
NR8782--MA0766.1.GATA5	chr9	5311522	5311529	-	0.000	0.000	Merged-chr9-5311572-34
NR3587--MA0482.1.Gata4	chr16	50555185	50555195	+	0.000	0.000	Merged-chr16-50555141-20
NR6266--MA0037.3.GATA3	chr4	86725372	86725379	-	0.000	0.000	Merged-chr4-86725378-12
NR2492--MA1104.1.GATA6	chr13	94144988	94145000	+	0.000	0.000	Merged-chr13-94144726-31
NR8865--MA0035.3.Gata1	chr9	45207828	45207838	-	0.000	0.000	Merged-chr9-45207568-21
NR7270--MA0037.3.GATA3	chr6	37455686	37455693	-	0.000	0.000	Merged-chr6-37455816-24
NR6311--MA0766.1.GATA5	chr4	98282497	98282504	-	0.000	0.000	Merged-chr4-98282479-46
NR5852--MA0766.1.GATA5	chr3	132791516	132791523	+	0.000	0.000	Merged-chr3-132791387-40
NR3588--MA1104.1.GATA6	chr16	50555183	50555195	-	0.000	0.000	Merged-chr16-50555141-20
NR8783--MA0035.3.Gata1	chr9	5311521	5311531	+	0.000	0.000	Merged-chr9-5311572-34
NR7764--MA0037.3.GATA3	chr6	135418446	135418453	-	0.000	0.000	Merged-chr6-135418528-77
NR9169--MA0482.1.Gata4	chr9	112174907	112174917	-	0.000	0.000	Merged-chr9-112174843-101
NR7934--MA0035.3.Gata1	chr7	37490502	37490512	+	0.000	0.000	Merged-chr7-37490614-68
NR2490--MA0037.3.GATA3	chr13	94144991	94144998	+	0.000	0.000	Merged-chr13-94144726-31
NR5853--MA0035.3.Gata1	chr3	132791514	132791524	-	0.000	0.000	Merged-chr3-132791387-40
NR6609--MA0035.3.Gata1	chr5	20792370	20792380	-	0.000	0.000	Merged-chr5-20792282-29
NR5670--MA0035.3.Gata1	chr3	101884428	101884438	-	0.000	0.000	Merged-chr3-101884248-30
NR5967--MA0140.2.GATA1::TAL1	chr3	144261073	144261090	-	0.000	0.000	Merged-chr3-144261016-37
NR1656--MA0036.3.GATA2	chr11	106057069	106057079	+	0.000	0.000	Merged-chr11-106057103-42
NR6310--MA0037.3.GATA3	chr4	98282497	98282504	-	0.000	0.000	Merged-chr4-98282479-46
