#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1162--MA0731.1.BCL6B	chr4	139319746	139319762	-	0.000	0.000	Merged-chr4-139319909-27
NR1425--MA0731.1.BCL6B	chr7	67308327	67308343	-	0.000	0.000	Merged-chr7-67308311-16
NR1085--MA0463.1.Bcl6	chr4	32424836	32424849	-	0.000	0.000	Merged-chr4-32424580-38
NR1462--MA0463.1.Bcl6	chr7	110824201	110824214	+	0.000	0.000	Merged-chr7-110824322-44
NR684--MA0731.1.BCL6B	chr17	8251848	8251864	-	0.000	0.000	Merged-chr17-8251885-20
NR1136--MA0463.1.Bcl6	chr4	121002613	121002626	+	0.000	0.000	Merged-chr4-121002570-50
NR3--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR943--MA0463.1.Bcl6	chr2	153336213	153336226	-	0.000	0.000	Merged-chr2-153336329-40
NR647--MA0731.1.BCL6B	chr16	52143316	52143332	+	0.000	0.000	Merged-chr16-52143257-58
NR1246--MA0463.1.Bcl6	chr5	111200319	111200332	-	0.000	0.000	Merged-chr5-111200479-33
NR185--MA0463.1.Bcl6	chr10	75446464	75446477	-	0.000	0.000	Merged-chr10-75446685-44
NR50--MA0731.1.BCL6B	chr1	85937326	85937342	-	0.000	0.000	Merged-chr1-85937203-47
NR1039--MA0463.1.Bcl6	chr3	131014446	131014459	-	0.000	0.000	Merged-chr3-131014308-74
NR1327--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR113--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR1063--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR1032--MA0463.1.Bcl6	chr3	121494123	121494136	-	0.000	0.000	Merged-chr3-121494135-61
NR1013--MA0731.1.BCL6B	chr3	95909392	95909408	+	0.000	0.000	Merged-chr3-95909537-31
NR1135--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR986--MA0731.1.BCL6B	chr3	37199139	37199155	-	0.000	0.000	Merged-chr3-37199060-11
NR490--MA0731.1.BCL6B	chr13	114845997	114846013	+	0.000	0.000	Merged-chr13-114845920-71
NR1167--MA0731.1.BCL6B	chr4	144909007	144909023	-	0.000	0.000	Merged-chr4-144908993-28
NR1515--MA0463.1.Bcl6	chr8	34740339	34740352	-	0.000	0.000	Merged-chr8-34740455-84
NR132--MA0463.1.Bcl6	chr1	189922365	189922378	-	0.000	0.000	Merged-chr1-189922190-68
NR920--MA0463.1.Bcl6	chr2	131145659	131145672	+	0.000	0.000	Merged-chr2-131145703-8
NR1110--MA0731.1.BCL6B	chr4	88875881	88875897	+	0.000	0.000	Merged-chr4-88875849-45
NR1312--MA0463.1.Bcl6	chr6	49128445	49128458	-	0.000	0.000	Merged-chr6-49128471-29
NR831--MA0731.1.BCL6B	chr2	13718738	13718754	-	0.000	0.000	Merged-chr2-13718816-55
NR1516--MA0731.1.BCL6B	chr8	34740339	34740355	+	0.000	0.000	Merged-chr8-34740455-84
NR1447--MA0463.1.Bcl6	chr7	96818558	96818571	-	0.000	0.000	Merged-chr7-96818578-56
NR448--MA0463.1.Bcl6	chr13	54498509	54498522	+	0.000	0.000	Merged-chr13-54498721-19
NR126--MA0463.1.Bcl6	chr1	183180481	183180494	-	0.000	0.000	Merged-chr1-183180587-56
NR1090--MA0463.1.Bcl6	chr4	46404354	46404367	-	0.000	0.000	Merged-chr4-46404308-42
NR36--MA0731.1.BCL6B	chr1	69350981	69350997	-	0.000	0.000	Merged-chr1-69350970-27
NR712--MA0731.1.BCL6B	chr17	63362281	63362297	-	0.000	0.000	Merged-chr17-63362357-31
NR325--MA0463.1.Bcl6	chr11	105093186	105093199	+	0.000	0.000	Merged-chr11-105093103-10
NR1132--MA0463.1.Bcl6	chr4	118449767	118449780	-	0.000	0.000	Merged-chr4-118449765-23
NR1280--MA0463.1.Bcl6	chr5	144294987	144295000	+	0.000	0.000	Merged-chr5-144295152-24
NR133--MA0731.1.BCL6B	chr1	189922365	189922381	+	0.000	0.000	Merged-chr1-189922190-68
NR355--MA0463.1.Bcl6	chr12	25350885	25350898	+	0.000	0.000	Merged-chr12-25351011-20
NR289--MA0463.1.Bcl6	chr11	68464316	68464329	-	0.000	0.000	Merged-chr11-68464408-16
NR2--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR689--MA0463.1.Bcl6	chr17	17845415	17845428	+	0.000	0.000	Merged-chr17-17845619-46
