#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR1689--MA0741.1.KLF16	chr1	120162846	120162856	-	0.000	0.000	Merged-chr1-120162795-5
NR41833--MA0599.1.KLF5	chr5	64040799	64040808	+	0.000	0.000	Merged-chr5-64040859-39
NR1684--MA0740.1.KLF14	chr1	120162844	120162857	-	0.000	0.000	Merged-chr1-120162795-5
NR41830--MA0740.1.KLF14	chr5	64040798	64040811	+	0.000	0.000	Merged-chr5-64040859-39
NR1686--MA0599.1.KLF5	chr1	120162847	120162856	-	0.000	0.000	Merged-chr1-120162795-5
NR41831--MA0657.1.KLF13	chr5	64040797	64040814	+	0.000	0.000	Merged-chr5-64040859-39
NR32065--MA0039.3.KLF4	chr2	131448456	131448466	+	0.000	0.000	Merged-chr2-131448367-26
NR57392--MA0039.3.KLF4	chr9	86625142	86625152	+	0.000	0.000	Merged-chr9-86625059-9
NR10485--MA0039.3.KLF4	chr11	107997097	107997107	-	0.000	0.000	Merged-chr11-107997023-15
NR4666--MA0039.3.KLF4	chr10	41620110	41620120	-	0.000	0.000	Merged-chr10-41620205-22
NR4667--MA0741.1.KLF16	chr10	41620111	41620121	-	0.000	0.000	Merged-chr10-41620205-22
NR1688--MA0493.1.Klf1	chr1	120162847	120162857	-	0.000	0.000	Merged-chr1-120162795-5
NR49602--MA0599.1.KLF5	chr7	35745556	35745565	+	0.000	0.000	Merged-chr7-35745412-12
NR41837--MA1107.1.KLF9	chr5	64040798	64040810	+	0.000	0.000	Merged-chr5-64040859-39
NR57393--MA0493.1.Klf1	chr9	86625140	86625150	+	0.000	0.000	Merged-chr9-86625059-9
NR41832--MA0742.1.Klf12	chr5	64040798	64040812	+	0.000	0.000	Merged-chr5-64040859-39
NR41836--MA0741.1.KLF16	chr5	64040799	64040809	+	0.000	0.000	Merged-chr5-64040859-39
NR4668--MA1107.1.KLF9	chr10	41620110	41620122	-	0.000	0.000	Merged-chr10-41620205-22
NR1690--MA1107.1.KLF9	chr1	120162845	120162857	-	0.000	0.000	Merged-chr1-120162795-5
NR41835--MA0493.1.Klf1	chr5	64040798	64040808	+	0.000	0.000	Merged-chr5-64040859-39
NR41834--MA0039.3.KLF4	chr5	64040800	64040810	+	0.000	0.000	Merged-chr5-64040859-39
NR1685--MA0742.1.Klf12	chr1	120162843	120162857	-	0.000	0.000	Merged-chr1-120162795-5
NR1687--MA0039.3.KLF4	chr1	120162845	120162855	-	0.000	0.000	Merged-chr1-120162795-5
