#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1016--MA0731.1.BCL6B	chr4	6881220	6881236	+	0.000	0.000	Merged-chr4-6881171-35
NR91--MA0731.1.BCL6B	chr1	153690965	153690981	+	0.000	0.000	Merged-chr1-153691138-32
NR1462--MA0463.1.Bcl6	chr8	53630672	53630685	+	0.000	0.000	Merged-chr8-53630787-29
NR1449--MA0463.1.Bcl6	chr8	25769240	25769253	+	0.000	0.000	Merged-chr8-25769209-9
NR1042--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR424--MA0731.1.BCL6B	chr13	73772828	73772844	+	0.000	0.000	Merged-chr13-73772920-55
NR881--MA0731.1.BCL6B	chr2	132035688	132035704	+	0.000	0.000	Merged-chr2-132035691-29
NR1579--MA0731.1.BCL6B	chr9	89842701	89842717	+	0.000	0.000	Merged-chr9-89842601-13
NR420--MA0463.1.Bcl6	chr13	70600333	70600346	-	0.000	0.000	Merged-chr13-70600282-8
NR210--MA0463.1.Bcl6	chr10	120646235	120646248	+	0.000	0.000	Merged-chr10-120646351-10
NR443--MA0463.1.Bcl6	chr13	102598219	102598232	+	0.000	0.000	Merged-chr13-102598245-27
NR1241--MA0463.1.Bcl6	chr6	53455595	53455608	+	0.000	0.000	Merged-chr6-53455637-20
NR1358--MA0463.1.Bcl6	chr7	67353779	67353792	-	0.000	0.000	Merged-chr7-67353683-35
NR260--MA0731.1.BCL6B	chr11	68104421	68104437	+	0.000	0.000	Merged-chr11-68104420-13
NR1072--MA0463.1.Bcl6	chr4	102210083	102210096	+	0.000	0.000	Merged-chr4-102210111-10
NR167--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR1413--MA0463.1.Bcl6	chr7	123273291	123273304	+	0.000	0.000	Merged-chr7-123273258-7
NR624--MA0463.1.Bcl6	chr16	87723757	87723770	+	0.000	0.000	Merged-chr16-87723708-27
NR1463--MA0463.1.Bcl6	chr8	53630856	53630869	-	0.000	0.000	Merged-chr8-53630787-29
NR222--MA0463.1.Bcl6	chr11	3145832	3145845	-	0.000	0.000	Merged-chr11-3145875-104
NR1500--MA0463.1.Bcl6	chr8	107444407	107444420	-	0.000	0.000	Merged-chr8-107444467-9
NR259--MA0463.1.Bcl6	chr11	68104421	68104434	-	0.000	0.000	Merged-chr11-68104420-13
NR846--MA0463.1.Bcl6	chr2	76421639	76421652	+	0.000	0.000	Merged-chr2-76421582-29
NR408--MA0463.1.Bcl6	chr13	46909214	46909227	-	0.000	0.000	Merged-chr13-46909229-10
NR1647--MA0731.1.BCL6B	chrX	166329004	166329020	-	0.000	0.000	Merged-chrX-166329162-24
NR480--MA0463.1.Bcl6	chr14	30152999	30153012	+	0.000	0.000	Merged-chr14-30153038-10
NR1414--MA0731.1.BCL6B	chr7	123327150	123327166	+	0.000	0.000	Merged-chr7-123327122-14
NR851--MA0731.1.BCL6B	chr2	90528282	90528298	+	0.000	0.000	Merged-chr2-90528384-23
NR58--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR581--MA0463.1.Bcl6	chr16	10676770	10676783	+	0.000	0.000	Merged-chr16-10676780-15
NR569--MA0731.1.BCL6B	chr15	94235406	94235422	-	0.000	0.000	Merged-chr15-94235397-15
NR269--MA0731.1.BCL6B	chr11	78247095	78247111	-	0.000	0.000	Merged-chr11-78247027-5
NR79--MA0463.1.Bcl6	chr1	128772682	128772695	-	0.000	0.000	Merged-chr1-128772538-19
NR1646--MA0731.1.BCL6B	chrX	160604100	160604116	+	0.000	0.000	Merged-chrX-160604231-21
NR86--MA0731.1.BCL6B	chr1	137074991	137075007	-	0.000	0.000	Merged-chr1-137074990-14
NR231--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR454--MA0731.1.BCL6B	chr13	109440433	109440449	+	0.000	0.000	Merged-chr13-109440485-3
NR71--MA0731.1.BCL6B	chr1	118403928	118403944	+	0.000	0.000	Merged-chr1-118403887-21
