#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR11639--MA0740.1.KLF14	chr12	25155527	25155540	-	0.000	0.000	Merged-chr12-25155613-40
NR41913--MA0599.1.KLF5	chr5	112215379	112215388	+	0.000	0.000	Merged-chr5-112215474-7
NR55845--MA1107.1.KLF9	chr9	79895076	79895088	+	0.000	0.000	Merged-chr9-79895109-7
NR37877--MA0657.1.KLF13	chr4	119962572	119962589	+	0.000	0.000	Merged-chr4-119962727-36
NR27975--MA0740.1.KLF14	chr19	43809534	43809547	+	0.000	0.000	Merged-chr19-43809499-23
NR41931--MA0599.1.KLF5	chr5	112239686	112239695	-	0.000	0.000	Merged-chr5-112239781-12
NR33855--MA0740.1.KLF14	chr3	79181734	79181747	-	0.000	0.000	Merged-chr3-79181699-42
NR45994--MA0740.1.KLF14	chr6	119217775	119217788	+	0.000	0.000	Merged-chr6-119217771-9
NR9543--MA1107.1.KLF9	chr11	89024218	89024230	+	0.000	0.000	Merged-chr11-89024298-29
NR53922--MA0599.1.KLF5	chr8	122430522	122430531	+	0.000	0.000	Merged-chr8-122430402-7
NR33857--MA0599.1.KLF5	chr3	79181737	79181746	-	0.000	0.000	Merged-chr3-79181699-42
NR56086--MA0741.1.KLF16	chr9	94607630	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR33969--MA0599.1.KLF5	chr3	84630976	84630985	-	0.000	0.000	Merged-chr3-84630888-13
NR17335--MA0039.3.KLF4	chr14	69774963	69774973	-	0.000	0.000	Merged-chr14-69774788-96
NR8732--MA0741.1.KLF16	chr11	70622668	70622678	+	0.000	0.000	Merged-chr11-70622499-26
NR41708--MA0599.1.KLF5	chr5	107303701	107303710	+	0.000	0.000	Merged-chr5-107303598-32
NR5507--MA0493.1.Klf1	chr10	80668811	80668821	+	0.000	0.000	Merged-chr10-80668783-8
NR41944--MA1107.1.KLF9	chr5	112239750	112239762	-	0.000	0.000	Merged-chr5-112239781-12
