#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR8550--MA0002.2.RUNX1	chr9	80820301	80820311	-	0.000	0.000	Merged-chr9-80820177-30
NR7253--MA0684.1.RUNX3	chr6	144804654	144804663	+	0.000	0.000	Merged-chr6-144804553-29
NR2910--MA0002.2.RUNX1	chr14	121291071	121291081	-	0.000	0.000	Merged-chr14-121291161-18
NR6079--MA0684.1.RUNX3	chr4	145099991	145100000	+	0.000	0.000	Merged-chr4-145100023-41
NR846--MA0002.2.RUNX1	chr10	53461315	53461325	-	0.000	0.000	Merged-chr10-53461441-37
NR5553--MA0002.2.RUNX1	chr3	138275270	138275280	+	0.000	0.000	Merged-chr3-138275247-64
NR975--MA0684.1.RUNX3	chr10	84816200	84816209	-	0.000	0.000	Merged-chr10-84816101-46
NR5304--MA0511.2.RUNX2	chr3	79234295	79234303	+	0.000	0.000	Merged-chr3-79234130-4
NR3525--MA0002.2.RUNX1	chr16	58718943	58718953	+	0.000	0.000	Merged-chr16-58718786-22
NR1517--MA0684.1.RUNX3	chr11	85384534	85384543	-	0.000	0.000	Merged-chr11-85384605-20
NR541--MA0002.2.RUNX1	chr1	179169770	179169780	+	0.000	0.000	Merged-chr1-179169843-56
NR670--MA0684.1.RUNX3	chr10	4357605	4357614	-	0.000	0.000	Merged-chr10-4357640-28
NR7994--MA0684.1.RUNX3	chr8	70174663	70174672	-	0.000	0.000	Merged-chr8-70174484-11
NR5172--MA0684.1.RUNX3	chr2	181484141	181484150	-	0.000	0.000	Merged-chr2-181483913-67
NR5251--MA0511.2.RUNX2	chr3	55419441	55419449	+	0.000	0.000	Merged-chr3-55419547-37
NR7917--MA0684.1.RUNX3	chr8	27200955	27200964	+	0.000	0.000	Merged-chr8-27201067-26
NR7355--MA0002.2.RUNX1	chr7	24457834	24457844	-	0.000	0.000	Merged-chr7-24457903-49
NR6482--MA0002.2.RUNX1	chr5	105675681	105675691	+	0.000	0.000	Merged-chr5-105675662-27
NR8069--MA0511.2.RUNX2	chr8	94240484	94240492	+	0.000	0.000	Merged-chr8-94240399-13
NR3428--MA0684.1.RUNX3	chr16	35485045	35485054	+	0.000	0.000	Merged-chr16-35485007-20
NR7943--MA0511.2.RUNX2	chr8	41334319	41334327	-	0.000	0.000	Merged-chr8-41334366-24
NR2902--MA0002.2.RUNX1	chr14	118681223	118681233	+	0.000	0.000	Merged-chr14-118681179-25
NR676--MA0002.2.RUNX1	chr10	5448546	5448556	+	0.000	0.000	Merged-chr10-5448562-35
NR1426--MA0511.2.RUNX2	chr11	72963869	72963877	+	0.000	0.000	Merged-chr11-72963811-9
NR1012--MA0511.2.RUNX2	chr10	93188700	93188708	-	0.000	0.000	Merged-chr10-93188465-33
NR5253--MA0002.2.RUNX1	chr3	55419613	55419623	+	0.000	0.000	Merged-chr3-55419547-37
NR5048--MA0002.2.RUNX1	chr2	158133353	158133363	+	0.000	0.000	Merged-chr2-158133215-37
NR7604--MA0684.1.RUNX3	chr7	96818602	96818611	+	0.000	0.000	Merged-chr7-96818578-56
NR340--MA0511.2.RUNX2	chr1	138952394	138952402	+	0.000	0.000	Merged-chr1-138952405-35
NR5305--MA0684.1.RUNX3	chr3	79234295	79234304	+	0.000	0.000	Merged-chr3-79234130-4
NR2766--MA0002.2.RUNX1	chr14	62943984	62943994	+	0.000	0.000	Merged-chr14-62944057-10
NR3354--MA0684.1.RUNX3	chr16	17695010	17695019	-	0.000	0.000	Merged-chr16-17695007-34
NR3477--MA0002.2.RUNX1	chr16	48594584	48594594	-	0.000	0.000	Merged-chr16-48594719-53
NR1164--MA0684.1.RUNX3	chr10	124138563	124138572	-	0.000	0.000	Merged-chr10-124138683-21
NR5252--MA0684.1.RUNX3	chr3	55419441	55419450	+	0.000	0.000	Merged-chr3-55419547-37
NR1687--MA0684.1.RUNX3	chr11	113174071	113174080	+	0.000	0.000	Merged-chr11-113174221-33
NR6029--MA0684.1.RUNX3	chr4	135520640	135520649	+	0.000	0.000	Merged-chr4-135520643-13
NR525--MA0002.2.RUNX1	chr1	176939894	176939904	+	0.000	0.000	Merged-chr1-176939939-16
NR111--MA0002.2.RUNX1	chr1	54279843	54279853	+	0.000	0.000	Merged-chr1-54279813-25
NR7216--MA0684.1.RUNX3	chr6	136683866	136683875	+	0.000	0.000	Merged-chr6-136683885-26
NR2331--MA0002.2.RUNX1	chr13	43775229	43775239	+	0.000	0.000	Merged-chr13-43775108-65
NR2602--MA0002.2.RUNX1	chr13	119681333	119681343	+	0.000	0.000	Merged-chr13-119681376-28
NR5867--MA0511.2.RUNX2	chr4	97927130	97927138	-	0.000	0.000	Merged-chr4-97927118-18
NR4643--MA0002.2.RUNX1	chr2	25856070	25856080	+	0.000	0.000	Merged-chr2-25856140-7
NR233--MA0002.2.RUNX1	chr1	88587508	88587518	-	0.000	0.000	Merged-chr1-88587471-60
NR7434--MA0684.1.RUNX3	chr7	49364549	49364558	+	0.000	0.000	Merged-chr7-49364720-42
NR7229--MA0684.1.RUNX3	chr6	137316448	137316457	-	0.000	0.000	Merged-chr6-137316445-24
NR1252--MA0684.1.RUNX3	chr11	16952288	16952297	+	0.000	0.000	Merged-chr11-16952284-5
NR7338--MA0684.1.RUNX3	chr7	16535908	16535917	-	0.000	0.000	Merged-chr7-16535889-17
NR4861--MA0002.2.RUNX1	chr2	103945604	103945614	-	0.000	0.000	Merged-chr2-103945791-52
NR3786--MA0511.2.RUNX2	chr17	29693746	29693754	+	0.000	0.000	Merged-chr17-29693798-13
NR1013--MA0684.1.RUNX3	chr10	93188699	93188708	-	0.000	0.000	Merged-chr10-93188465-33
NR646--MA0684.1.RUNX3	chr1	192510749	192510758	+	0.000	0.000	Merged-chr1-192510804-31
NR974--MA0002.2.RUNX1	chr10	84816199	84816209	+	0.000	0.000	Merged-chr10-84816101-46
NR8601--MA0002.2.RUNX1	chr9	95315282	95315292	+	0.000	0.000	Merged-chr9-95315222-46
NR7112--MA0511.2.RUNX2	chr6	121109985	121109993	-	0.000	0.000	Merged-chr6-121110104-77
NR3229--MA0684.1.RUNX3	chr15	92134396	92134405	+	0.000	0.000	Merged-chr15-92134460-52
NR6811--MA0684.1.RUNX3	chr6	34176180	34176189	+	0.000	0.000	Merged-chr6-34176169-5
NR8343--MA0002.2.RUNX1	chr9	42158806	42158816	-	0.000	0.000	Merged-chr9-42158908-46
NR5859--MA0511.2.RUNX2	chr4	97657874	97657882	+	0.000	0.000	Merged-chr4-97657761-27
NR3067--MA0684.1.RUNX3	chr15	55520852	55520861	-	0.000	0.000	Merged-chr15-55520889-48
NR830--MA0684.1.RUNX3	chr10	44341913	44341922	-	0.000	0.000	Merged-chr10-44341926-8
NR3718--MA0684.1.RUNX3	chr17	12513611	12513620	-	0.000	0.000	Merged-chr17-12513699-7
NR1082--MA0684.1.RUNX3	chr10	110742072	110742081	+	0.000	0.000	Merged-chr10-110742149-12
NR8736--MA0002.2.RUNX1	chr9	120943669	120943679	+	0.000	0.000	Merged-chr9-120943869-18
NR6741--MA0511.2.RUNX2	chr5	149080641	149080649	-	0.000	0.000	Merged-chr5-149080540-39
NR4691--MA0002.2.RUNX1	chr2	34976481	34976491	+	0.000	0.000	Merged-chr2-34976600-12
NR5424--MA0511.2.RUNX2	chr3	105133256	105133264	-	0.000	0.000	Merged-chr3-105133189-20
NR6751--MA0002.2.RUNX1	chr5	149641831	149641841	+	0.000	0.000	Merged-chr5-149641711-30
NR3569--MA0684.1.RUNX3	chr16	78573107	78573116	+	0.000	0.000	Merged-chr16-78573118-8
NR1790--MA0002.2.RUNX1	chr12	17511242	17511252	+	0.000	0.000	Merged-chr12-17511273-48
NR4452--MA0002.2.RUNX1	chr19	40267494	40267504	-	0.000	0.000	Merged-chr19-40267576-38
NR2775--MA0511.2.RUNX2	chr14	65330858	65330866	-	0.000	0.000	Merged-chr14-65330788-23
NR6707--MA0684.1.RUNX3	chr5	144295066	144295075	+	0.000	0.000	Merged-chr5-144295152-24
NR3072--MA0511.2.RUNX2	chr15	58750401	58750409	+	0.000	0.000	Merged-chr15-58750240-28
