#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2853--MA0766.1.GATA5	chr2	78961707	78961714	+	0.000	0.000	Merged-chr2-78961805-37
NR790--MA0482.1.Gata4	chr11	68436361	68436371	+	0.000	0.000	Merged-chr11-68436520-14
NR551--MA0482.1.Gata4	chr10	93985593	93985603	+	0.000	0.000	Merged-chr10-93985650-27
NR797--MA0140.2.GATA1::TAL1	chr11	68464313	68464330	+	0.000	0.000	Merged-chr11-68464408-16
NR4441--MA0035.3.Gata1	chr7	112136762	112136772	+	0.000	0.000	Merged-chr7-112136797-13
NR4709--MA0037.3.GATA3	chr8	114888906	114888913	+	0.000	0.000	Merged-chr8-114888790-56
NR2041--MA0036.3.GATA2	chr16	49797148	49797158	-	0.000	0.000	Merged-chr16-49797153-43
NR4730--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR2426--MA0035.3.Gata1	chr18	13016560	13016570	+	0.000	0.000	Merged-chr18-13016580-10
NR1484--MA1104.1.GATA6	chr14	20177873	20177885	-	0.000	0.000	Merged-chr14-20177932-18
NR4953--MA0482.1.Gata4	chr9	92314083	92314093	+	0.000	0.000	Merged-chr9-92314019-19
NR795--MA0482.1.Gata4	chr11	68464312	68464322	+	0.000	0.000	Merged-chr11-68464408-16
NR856--MA0766.1.GATA5	chr11	83550291	83550298	-	0.000	0.000	Merged-chr11-83550444-44
NR2030--MA0766.1.GATA5	chr16	43690240	43690247	-	0.000	0.000	Merged-chr16-43690423-59
NR4695--MA0482.1.Gata4	chr8	111967437	111967447	-	0.000	0.000	Merged-chr8-111967453-22
NR5058--MA0482.1.Gata4	chr9	123931830	123931840	+	0.000	0.000	Merged-chr9-123931993-21
NR3828--MA1104.1.GATA6	chr5	134326334	134326346	+	0.000	0.000	Merged-chr5-134326402-39
NR2652--MA0036.3.GATA2	chr19	31321987	31321997	-	0.000	0.000	Merged-chr19-31321995-11
NR936--MA0482.1.Gata4	chr11	101658281	101658291	+	0.000	0.000	Merged-chr11-101658454-78
NR430--MA1104.1.GATA6	chr10	40451940	40451952	-	0.000	0.000	Merged-chr10-40451996-39
NR5024--MA0482.1.Gata4	chr9	117913395	117913405	+	0.000	0.000	Merged-chr9-117913452-13
NR791--MA1104.1.GATA6	chr11	68436359	68436371	-	0.000	0.000	Merged-chr11-68436520-14
NR4464--MA0766.1.GATA5	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR4710--MA1104.1.GATA6	chr8	114888903	114888915	+	0.000	0.000	Merged-chr8-114888790-56
NR4977--MA0036.3.GATA2	chr9	95289191	95289201	-	0.000	0.000	Merged-chr9-95289296-28
NR2898--MA0482.1.Gata4	chr2	102812791	102812801	-	0.000	0.000	Merged-chr2-102812992-26
NR552--MA1104.1.GATA6	chr10	93985591	93985603	-	0.000	0.000	Merged-chr10-93985650-27
NR3810--MA0035.3.Gata1	chr5	120779076	120779086	-	0.000	0.000	Merged-chr5-120779287-23
NR3265--MA0037.3.GATA3	chr3	132886775	132886782	-	0.000	0.000	Merged-chr3-132886809-16
NR4912--MA0140.2.GATA1::TAL1	chr9	73060982	73060999	+	0.000	0.000	Merged-chr9-73060822-42
NR4063--MA0766.1.GATA5	chr6	108607018	108607025	-	0.000	0.000	Merged-chr6-108607013-11
NR2854--MA0035.3.Gata1	chr2	78961705	78961715	-	0.000	0.000	Merged-chr2-78961805-37
NR4117--MA0037.3.GATA3	chr6	126995669	126995676	-	0.000	0.000	Merged-chr6-126995755-15
NR4954--MA1104.1.GATA6	chr9	92314081	92314093	-	0.000	0.000	Merged-chr9-92314019-19
NR2279--MA0766.1.GATA5	chr17	47564806	47564813	-	0.000	0.000	Merged-chr17-47564757-20
NR4120--MA0036.3.GATA2	chr6	126995668	126995678	+	0.000	0.000	Merged-chr6-126995755-15
NR4658--MA0482.1.Gata4	chr8	94240436	94240446	+	0.000	0.000	Merged-chr8-94240399-13
NR3955--MA0766.1.GATA5	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR3292--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR2686--MA0482.1.Gata4	chr19	53464835	53464845	+	0.000	0.000	Merged-chr19-53464901-55
NR4893--MA0037.3.GATA3	chr9	63785710	63785717	-	0.000	0.000	Merged-chr9-63785726-16
NR2052--MA0036.3.GATA2	chr16	52132921	52132931	+	0.000	0.000	Merged-chr16-52133067-26
