#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR3086--MA0039.3.KLF4	chr1	165609744	165609754	-	0.000	0.000	Merged-chr1-165609765-26
NR3077--MA0740.1.KLF14	chr1	165609692	165609705	+	0.000	0.000	Merged-chr1-165609765-26
NR3084--MA0742.1.Klf12	chr1	165609742	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR56948--MA0599.1.KLF5	chr8	124265927	124265936	-	0.000	0.000	Merged-chr8-124265993-45
NR3078--MA0657.1.KLF13	chr1	165609691	165609708	+	0.000	0.000	Merged-chr1-165609765-26
NR3085--MA0599.1.KLF5	chr1	165609746	165609755	-	0.000	0.000	Merged-chr1-165609765-26
NR3081--MA0741.1.KLF16	chr1	165609693	165609703	+	0.000	0.000	Merged-chr1-165609765-26
NR59148--MA1107.1.KLF9	chr9	86624895	86624907	-	0.000	0.000	Merged-chr9-86625059-9
NR1967--MA0039.3.KLF4	chr1	120162948	120162958	-	0.000	0.000	Merged-chr1-120162795-5
NR4951--MA0741.1.KLF16	chr10	41620111	41620121	-	0.000	0.000	Merged-chr10-41620205-22
NR24511--MA0599.1.KLF5	chr17	51812723	51812732	-	0.000	0.000	Merged-chr17-51812705-1
NR56949--MA0493.1.Klf1	chr8	124265927	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR56947--MA0742.1.Klf12	chr8	124265923	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR32737--MA0599.1.KLF5	chr2	150918853	150918862	+	0.000	0.000	Merged-chr2-150918832-31
NR3089--MA0599.1.KLF5	chr1	165609856	165609865	-	0.000	0.000	Merged-chr1-165609765-26
NR3088--MA1107.1.KLF9	chr1	165609744	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR56950--MA0741.1.KLF16	chr8	124265926	124265936	-	0.000	0.000	Merged-chr8-124265993-45
NR24512--MA0741.1.KLF16	chr17	51812722	51812732	-	0.000	0.000	Merged-chr17-51812705-1
NR4950--MA0039.3.KLF4	chr10	41620110	41620120	-	0.000	0.000	Merged-chr10-41620205-22
NR3087--MA0493.1.Klf1	chr1	165609746	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR56951--MA1107.1.KLF9	chr8	124265925	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR3083--MA0740.1.KLF14	chr1	165609743	165609756	-	0.000	0.000	Merged-chr1-165609765-26
NR3080--MA0493.1.Klf1	chr1	165609692	165609702	+	0.000	0.000	Merged-chr1-165609765-26
NR56945--MA0740.1.KLF14	chr8	124265924	124265937	-	0.000	0.000	Merged-chr8-124265993-45
NR3079--MA0742.1.Klf12	chr1	165609692	165609706	+	0.000	0.000	Merged-chr1-165609765-26
NR56946--MA0657.1.KLF13	chr8	124265921	124265938	-	0.000	0.000	Merged-chr8-124265993-45
NR3082--MA1107.1.KLF9	chr1	165609692	165609704	+	0.000	0.000	Merged-chr1-165609765-26
NR51890--MA0657.1.KLF13	chr7	90007513	90007530	+	0.000	0.000	Merged-chr7-90007418-46
NR4952--MA1107.1.KLF9	chr10	41620110	41620122	-	0.000	0.000	Merged-chr10-41620205-22
