#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR7603--MA0511.2.RUNX2	chr9	86625073	86625081	-	0.000	0.000	Merged-chr9-86625059-9
NR7899--MA0002.2.RUNX1	chrX	142792444	142792454	+	0.000	0.000	Merged-chrX-142792362-24
NR5728--MA0002.2.RUNX1	chr5	73237253	73237263	-	0.000	0.000	Merged-chr5-73237054-48
NR4239--MA0511.2.RUNX2	chr2	69415321	69415329	+	0.000	0.000	Merged-chr2-69415236-25
NR3829--MA0684.1.RUNX3	chr19	12479475	12479484	+	0.000	0.000	Merged-chr19-12479491-16
NR4550--MA0002.2.RUNX1	chr2	158133353	158133363	+	0.000	0.000	Merged-chr2-158133215-37
NR2936--MA0002.2.RUNX1	chr16	14088506	14088516	+	0.000	0.000	Merged-chr16-14088440-49
NR1225--MA0684.1.RUNX3	chr11	57911898	57911907	+	0.000	0.000	Merged-chr11-57911963-18
NR934--MA0002.2.RUNX1	chr10	96274204	96274214	+	0.000	0.000	Merged-chr10-96274144-52
NR1699--MA0511.2.RUNX2	chr12	84762820	84762828	-	0.000	0.000	Merged-chr12-84762785-51
NR1457--MA0002.2.RUNX1	chr11	109149824	109149834	+	0.000	0.000	Merged-chr11-109149686-17
NR95--MA0684.1.RUNX3	chr1	51572574	51572583	-	0.000	0.000	Merged-chr1-51572755-47
NR7477--MA0002.2.RUNX1	chr9	55102313	55102323	-	0.000	0.000	Merged-chr9-55102396-26
NR7748--MA0002.2.RUNX1	chr9	118357570	118357580	+	0.000	0.000	Merged-chr9-118357562-26
NR410--MA0684.1.RUNX3	chr1	155476449	155476458	-	0.000	0.000	Merged-chr1-155476472-40
NR3103--MA0002.2.RUNX1	chr16	70365448	70365458	-	0.000	0.000	Merged-chr16-70365429-20
