#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR35645--MA0039.3.KLF4	chr3	135324523	135324533	-	0.000	0.000	Merged-chr3-135324604-5
NR15155--MA1107.1.KLF9	chr13	96700921	96700933	-	0.000	0.000	Merged-chr13-96700841-9
NR44344--MA0742.1.Klf12	chr5	150232870	150232884	+	0.000	0.000	Merged-chr5-150232910-1
NR513--MA0741.1.KLF16	chr1	39702701	39702711	-	0.000	0.000	Merged-chr1-39702774-23
NR32637--MA0599.1.KLF5	chr2	170216251	170216260	-	0.000	0.000	Merged-chr2-170216227-3
NR46015--MA0599.1.KLF5	chr6	99164815	99164824	-	0.000	0.000	Merged-chr6-99164991-16
NR36683--MA0599.1.KLF5	chr4	41295619	41295628	+	0.000	0.000	Merged-chr4-41295781-15
NR17241--MA1107.1.KLF9	chr14	69774963	69774975	-	0.000	0.000	Merged-chr14-69774788-96
NR26074--MA1107.1.KLF9	chr18	67573510	67573522	+	0.000	0.000	Merged-chr18-67573418-8
NR7933--MA0599.1.KLF5	chr11	32020327	32020336	-	0.000	0.000	Merged-chr11-32020422-50
NR44301--MA0599.1.KLF5	chr5	149427524	149427533	-	0.000	0.000	Merged-chr5-149427432-30
NR15725--MA0741.1.KLF16	chr13	114086504	114086514	+	0.000	0.000	Merged-chr13-114086496-8
NR32837--MA0039.3.KLF4	chr2	174566143	174566153	+	0.000	0.000	Merged-chr2-174566072-46
NR29899--MA1107.1.KLF9	chr2	70425767	70425779	+	0.000	0.000	Merged-chr2-70425902-24
NR27971--MA0599.1.KLF5	chr19	47330953	47330962	-	0.000	0.000	Merged-chr19-47330943-31
NR36502--MA0741.1.KLF16	chr4	33077941	33077951	+	0.000	0.000	Merged-chr4-33077761-28
NR46694--MA0039.3.KLF4	chr6	125229077	125229087	-	0.000	0.000	Merged-chr6-125228994-3
NR3238--MA0599.1.KLF5	chr1	172197218	172197227	+	0.000	0.000	Merged-chr1-172197316-25
NR17238--MA0599.1.KLF5	chr14	69774965	69774974	-	0.000	0.000	Merged-chr14-69774788-96
NR45287--MA1107.1.KLF9	chr6	59451129	59451141	-	0.000	0.000	Merged-chr6-59451158-16
NR33072--MA0741.1.KLF16	chr3	8717393	8717403	+	0.000	0.000	Merged-chr3-8717539-26
NR44771--MA0741.1.KLF16	chr6	37564039	37564049	+	0.000	0.000	Merged-chr6-37564158-19
NR48558--MA0599.1.KLF5	chr7	35119050	35119059	-	0.000	0.000	Merged-chr7-35119008-87
NR29135--MA0599.1.KLF5	chr2	30985555	30985564	-	0.000	0.000	Merged-chr2-30985659-1
NR52139--MA0741.1.KLF16	chr8	34398000	34398010	+	0.000	0.000	Merged-chr8-34397971-66
NR518--MA0741.1.KLF16	chr1	39702847	39702857	+	0.000	0.000	Merged-chr1-39702774-23
NR54818--MA0741.1.KLF16	chr9	15014186	15014196	-	0.000	0.000	Merged-chr9-15014101-6
NR56873--MA1107.1.KLF9	chr9	103134554	103134566	-	0.000	0.000	Merged-chr9-103134672-43
NR5878--MA1107.1.KLF9	chr10	81247992	81248004	+	0.000	0.000	Merged-chr10-81248090-40
NR631--MA1107.1.KLF9	chr1	51525610	51525622	-	0.000	0.000	Merged-chr1-51525848-22
NR54385--MA0741.1.KLF16	chr8	122769455	122769465	-	0.000	0.000	Merged-chr8-122769435-21
