#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR5569--MA0511.2.RUNX2	chr5	100466876	100466884	+	0.000	0.000	Merged-chr5-100466890-43
NR3192--MA0684.1.RUNX3	chr16	90331260	90331269	+	0.000	0.000	Merged-chr16-90331129-56
NR5419--MA0684.1.RUNX3	chr5	31576746	31576755	-	0.000	0.000	Merged-chr5-31576784-60
NR735--MA0002.2.RUNX1	chr10	76802235	76802245	+	0.000	0.000	Merged-chr10-76802342-40
NR6140--MA0002.2.RUNX1	chr6	119217784	119217794	+	0.000	0.000	Merged-chr6-119217771-9
NR7377--MA0511.2.RUNX2	chr9	78593272	78593280	+	0.000	0.000	Merged-chr9-78593326-11
NR7595--MA0511.2.RUNX2	chr9	123818115	123818123	+	0.000	0.000	Merged-chr9-123818061-5
NR557--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR6137--MA0002.2.RUNX1	chr6	119217683	119217693	+	0.000	0.000	Merged-chr6-119217771-9
NR2306--MA0684.1.RUNX3	chr14	21525922	21525931	-	0.000	0.000	Merged-chr14-21525854-33
NR778--MA0511.2.RUNX2	chr10	81194417	81194425	-	0.000	0.000	Merged-chr10-81194350-49
NR3880--MA0511.2.RUNX2	chr19	37109990	37109998	-	0.000	0.000	Merged-chr19-37109967-3
NR5570--MA0002.2.RUNX1	chr5	100466876	100466886	-	0.000	0.000	Merged-chr5-100466890-43
NR3851--MA0511.2.RUNX2	chr19	32138397	32138405	+	0.000	0.000	Merged-chr19-32138517-38
NR3351--MA0002.2.RUNX1	chr17	29531565	29531575	-	0.000	0.000	Merged-chr17-29531509-3
NR2305--MA0002.2.RUNX1	chr14	21525921	21525931	+	0.000	0.000	Merged-chr14-21525854-33
NR2656--MA0511.2.RUNX2	chr15	34356866	34356874	+	0.000	0.000	Merged-chr15-34356866-8
NR3723--MA0002.2.RUNX1	chr18	80652995	80653005	-	0.000	0.000	Merged-chr18-80653014-8
NR5363--MA0002.2.RUNX1	chr5	5420362	5420372	-	0.000	0.000	Merged-chr5-5420247-39
NR2018--MA0002.2.RUNX1	chr13	41346054	41346064	-	0.000	0.000	Merged-chr13-41345949-16
NR6228--MA0002.2.RUNX1	chr6	130342279	130342289	-	0.000	0.000	Merged-chr6-130342331-49
NR7383--MA0002.2.RUNX1	chr9	80266694	80266704	+	0.000	0.000	Merged-chr9-80266579-55
NR7510--MA0684.1.RUNX3	chr9	115214733	115214742	-	0.000	0.000	Merged-chr9-115214840-19
NR3190--MA0511.2.RUNX2	chr16	90331260	90331268	+	0.000	0.000	Merged-chr16-90331129-56
NR1986--MA0684.1.RUNX3	chr13	30912398	30912407	-	0.000	0.000	Merged-chr13-30912363-13
NR3060--MA0511.2.RUNX2	chr16	37099541	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR3884--MA0684.1.RUNX3	chr19	37333519	37333528	+	0.000	0.000	Merged-chr19-37333490-26
NR5339--MA0002.2.RUNX1	chr4	150894803	150894813	-	0.000	0.000	Merged-chr4-150894695-19
NR7597--MA0684.1.RUNX3	chr9	123818115	123818124	+	0.000	0.000	Merged-chr9-123818061-5
NR3061--MA0684.1.RUNX3	chr16	37099540	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR593--MA0002.2.RUNX1	chr10	20119533	20119543	-	0.000	0.000	Merged-chr10-20119637-31
NR224--MA0002.2.RUNX1	chr1	97614015	97614025	-	0.000	0.000	Merged-chr1-97613912-17
NR6880--MA0002.2.RUNX1	chr8	22783633	22783643	-	0.000	0.000	Merged-chr8-22783714-26
NR1527--MA0684.1.RUNX3	chr12	8844923	8844932	-	0.000	0.000	Merged-chr12-8844937-14
NR7378--MA0002.2.RUNX1	chr9	78593272	78593282	-	0.000	0.000	Merged-chr9-78593326-11
