#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR12783--MA0495.2.MAFF	chr7	136164776	136164796	+	0.000	0.000	Merged-chr7-136164647-23
NR7556--MA0501.1.MAF::NFE2	chr2	102733285	102733299	+	0.000	0.000	Merged-chr2-102733347-57
NR9155--MA0496.2.MAFK	chr3	157884229	157884247	+	0.000	0.000	Merged-chr3-157884103-23
NR12790--MA0591.1.Bach1::Mafk	chr7	136894527	136894541	+	0.000	0.000	Merged-chr7-136894538-85
NR5723--MA0495.2.MAFF	chr17	7164181	7164201	+	0.000	0.000	Merged-chr17-7164154-31
NR6589--MA0089.1.MAFG::NFE2L1	chr18	75410352	75410357	+	0.000	0.000	Merged-chr18-75410439-27
NR7386--MA0501.1.MAF::NFE2	chr2	68884774	68884788	-	0.000	0.000	Merged-chr2-68884857-23
NR379--MA0591.1.Bach1::Mafk	chr1	84881699	84881713	+	0.000	0.000	Merged-chr1-84881698-12
NR9893--MA0591.1.Bach1::Mafk	chr4	141952341	141952355	+	0.000	0.000	Merged-chr4-141952458-47
NR2435--MA0496.2.MAFK	chr11	85324147	85324165	-	0.000	0.000	Merged-chr11-85324179-42
NR10351--MA0089.1.MAFG::NFE2L1	chr5	73223408	73223413	-	0.000	0.000	Merged-chr5-73223278-33
NR3660--MA0089.1.MAFG::NFE2L1	chr13	68588579	68588584	+	0.000	0.000	Merged-chr13-68588513-35
NR5530--MA0089.1.MAFG::NFE2L1	chr16	75823556	75823561	-	0.000	0.000	Merged-chr16-75823473-28
NR6789--MA0089.1.MAFG::NFE2L1	chr19	14695500	14695505	+	0.000	0.000	Merged-chr19-14695584-43
NR869--MA0089.1.MAFG::NFE2L1	chr1	162557486	162557491	-	0.000	0.000	Merged-chr1-162557712-25
NR10257--MA0591.1.Bach1::Mafk	chr5	52609888	52609902	+	0.000	0.000	Merged-chr5-52609918-24
NR5714--MA0496.2.MAFK	chr17	5007184	5007202	+	0.000	0.000	Merged-chr17-5007273-49
NR6804--MA0496.2.MAFK	chr19	18766586	18766604	+	0.000	0.000	Merged-chr19-18766611-24
NR7038--MA0591.1.Bach1::Mafk	chr2	4669938	4669952	-	0.000	0.000	Merged-chr2-4669816-18
NR3223--MA0501.1.MAF::NFE2	chr12	110389664	110389678	-	0.000	0.000	Merged-chr12-110389691-32
NR11730--MA0591.1.Bach1::Mafk	chr6	125433757	125433771	+	0.000	0.000	Merged-chr6-125433874-28
NR1926--MA0089.1.MAFG::NFE2L1	chr10	118194848	118194853	+	0.000	0.000	Merged-chr10-118194882-1
NR1031--MA0089.1.MAFG::NFE2L1	chr1	177676835	177676840	+	0.000	0.000	Merged-chr1-177676690-44
NR7073--MA0659.1.MAFG	chr2	9986389	9986409	-	0.000	0.000	Merged-chr2-9986324-23
NR11591--MA0089.1.MAFG::NFE2L1	chr6	108895613	108895618	+	0.000	0.000	Merged-chr6-108895381-27
NR4145--MA0089.1.MAFG::NFE2L1	chr14	17414480	17414485	+	0.000	0.000	Merged-chr14-17414498-32
NR3593--MA0089.1.MAFG::NFE2L1	chr13	53390276	53390281	-	0.000	0.000	Merged-chr13-53390437-27
NR11729--MA0089.1.MAFG::NFE2L1	chr6	125433759	125433764	+	0.000	0.000	Merged-chr6-125433874-28
NR4585--MA0496.2.MAFK	chr14	101470025	101470043	-	0.000	0.000	Merged-chr14-101470106-24
NR35--MA0591.1.Bach1::Mafk	chr1	13752560	13752574	-	0.000	0.000	Merged-chr1-13752649-29
NR11856--MA0496.2.MAFK	chr6	140684276	140684294	+	0.000	0.000	Merged-chr6-140684445-39
NR5727--MA0501.1.MAF::NFE2	chr17	7164181	7164195	-	0.000	0.000	Merged-chr17-7164154-31
NR3227--MA0089.1.MAFG::NFE2L1	chr12	110861473	110861478	-	0.000	0.000	Merged-chr12-110861556-21
NR1309--MA0117.2.Mafb	chr10	17920071	17920082	-	0.000	0.000	Merged-chr10-17920210-30
NR5072--MA0089.1.MAFG::NFE2L1	chr15	93581934	93581939	-	0.000	0.000	Merged-chr15-93581886-25
NR6432--MA0591.1.Bach1::Mafk	chr18	54822973	54822987	+	0.000	0.000	Merged-chr18-54822886-30
NR7433--MA0089.1.MAFG::NFE2L1	chr2	76421649	76421654	-	0.000	0.000	Merged-chr2-76421582-29
NR10332--MA0496.2.MAFK	chr5	68033469	68033487	+	0.000	0.000	Merged-chr5-68033501-23
NR876--MA0496.2.MAFK	chr1	162773893	162773911	-	0.000	0.000	Merged-chr1-162773825-31
NR9952--MA0117.2.Mafb	chr4	150583617	150583628	+	0.000	0.000	Merged-chr4-150583490-1
NR2429--MA0495.2.MAFF	chr11	85324146	85324166	-	0.000	0.000	Merged-chr11-85324179-42
NR14624--MA0089.1.MAFG::NFE2L1	chrX	166718300	166718305	-	0.000	0.000	Merged-chrX-166718260-20
NR204--MA0089.1.MAFG::NFE2L1	chr1	58742727	58742732	+	0.000	0.000	Merged-chr1-58742743-31
NR1464--MA0089.1.MAFG::NFE2L1	chr10	42934724	42934729	-	0.000	0.000	Merged-chr10-42934777-29
NR9328--MA0591.1.Bach1::Mafk	chr4	41295743	41295757	+	0.000	0.000	Merged-chr4-41295781-15
NR12120--MA0591.1.Bach1::Mafk	chr7	44772919	44772933	-	0.000	0.000	Merged-chr7-44772778-41
NR4583--MA0495.2.MAFF	chr14	101470024	101470044	-	0.000	0.000	Merged-chr14-101470106-24
NR732--MA0117.2.Mafb	chr1	138186079	138186090	-	0.000	0.000	Merged-chr1-138186154-28
NR13380--MA0591.1.Bach1::Mafk	chr8	104416223	104416237	+	0.000	0.000	Merged-chr8-104416222-18
NR1202--MA0495.2.MAFF	chr1	192540922	192540942	+	0.000	0.000	Merged-chr1-192540861-22
NR9810--MA0089.1.MAFG::NFE2L1	chr4	130774593	130774598	-	0.000	0.000	Merged-chr4-130774769-43
NR5713--MA0501.1.MAF::NFE2	chr17	5007189	5007203	+	0.000	0.000	Merged-chr17-5007273-49
NR5020--MA0495.2.MAFF	chr15	85377109	85377129	-	0.000	0.000	Merged-chr15-85377015-15
NR1204--MA0117.2.Mafb	chr1	192540931	192540942	-	0.000	0.000	Merged-chr1-192540861-22
NR968--MA0496.2.MAFK	chr1	170729602	170729620	-	0.000	0.000	Merged-chr1-170729637-43
NR874--MA0591.1.Bach1::Mafk	chr1	162773895	162773909	+	0.000	0.000	Merged-chr1-162773825-31
NR1567--MA0117.2.Mafb	chr10	67698064	67698075	-	0.000	0.000	Merged-chr10-67697981-39
NR7473--MA0089.1.MAFG::NFE2L1	chr2	83746472	83746477	-	0.000	0.000	Merged-chr2-83746640-22
NR1873--MA0089.1.MAFG::NFE2L1	chr10	112278315	112278320	-	0.000	0.000	Merged-chr10-112278323-19
NR3815--MA0501.1.MAF::NFE2	chr13	95063515	95063529	-	0.000	0.000	Merged-chr13-95063599-48
NR12784--MA0495.2.MAFF	chr7	136164776	136164796	-	0.000	0.000	Merged-chr7-136164647-23
NR9156--MA0496.2.MAFK	chr3	157884229	157884247	-	0.000	0.000	Merged-chr3-157884103-23
NR5724--MA0495.2.MAFF	chr17	7164181	7164201	-	0.000	0.000	Merged-chr17-7164154-31
NR7046--MA0501.1.MAF::NFE2	chr2	5615115	5615129	-	0.000	0.000	Merged-chr2-5615040-30
NR488--MA0117.2.Mafb	chr1	97650196	97650207	-	0.000	0.000	Merged-chr1-97650227-42
NR14348--MA0501.1.MAF::NFE2	chr9	119254981	119254995	-	0.000	0.000	Merged-chr9-119254891-26
NR1210--MA0501.1.MAF::NFE2	chr1	192540922	192540936	-	0.000	0.000	Merged-chr1-192540861-22
NR34--MA0591.1.Bach1::Mafk	chr1	13752560	13752574	+	0.000	0.000	Merged-chr1-13752649-29
