#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR8146--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR9162--MA0089.1.MAFG::NFE2L1	chr8	128575012	128575017	-	0.000	0.000	Merged-chr8-128575049-9
NR8448--MA0089.1.MAFG::NFE2L1	chr7	107610036	107610041	-	0.000	0.000	Merged-chr7-107609877-33
NR3723--MA0591.1.Bach1::Mafk	chr16	24831178	24831192	+	0.000	0.000	Merged-chr16-24831230-9
NR73--MA0496.2.MAFK	chr1	39196873	39196891	+	0.000	0.000	Merged-chr1-39196974-45
NR104--MA0501.1.MAF::NFE2	chr1	43207345	43207359	-	0.000	0.000	Merged-chr1-43207362-30
NR209--MA0117.2.Mafb	chr1	78591382	78591393	+	0.000	0.000	Merged-chr1-78591432-38
NR4793--MA0089.1.MAFG::NFE2L1	chr19	10763559	10763564	-	0.000	0.000	Merged-chr19-10763714-65
NR5545--MA0089.1.MAFG::NFE2L1	chr2	146517123	146517128	+	0.000	0.000	Merged-chr2-146517219-24
NR8620--MA0089.1.MAFG::NFE2L1	chr7	132772572	132772577	+	0.000	0.000	Merged-chr7-132772585-7
NR5659--MA0591.1.Bach1::Mafk	chr2	165405590	165405604	-	0.000	0.000	Merged-chr2-165405500-2
NR4877--MA0501.1.MAF::NFE2	chr19	33429575	33429589	+	0.000	0.000	Merged-chr19-33429713-40
NR4405--MA0495.2.MAFF	chr17	88213760	88213780	+	0.000	0.000	Merged-chr17-88213709-19
NR7681--MA0591.1.Bach1::Mafk	chr6	67668303	67668317	-	0.000	0.000	Merged-chr6-67668321-12
NR3197--MA0089.1.MAFG::NFE2L1	chr14	105895101	105895106	-	0.000	0.000	Merged-chr14-105895286-34
NR7295--MA0591.1.Bach1::Mafk	chr5	112488583	112488597	-	0.000	0.000	Merged-chr5-112488536-19
NR4615--MA0496.2.MAFK	chr18	65479281	65479299	-	0.000	0.000	Merged-chr18-65479334-47
NR9007--MA0501.1.MAF::NFE2	chr8	115771214	115771228	-	0.000	0.000	Merged-chr8-115771261-45
NR5511--MA0591.1.Bach1::Mafk	chr2	140101414	140101428	+	0.000	0.000	Merged-chr2-140101246-37
NR720--MA0659.1.MAFG	chr1	191152565	191152585	-	0.000	0.000	Merged-chr1-191152485-1
NR6285--MA0495.2.MAFF	chr3	145666597	145666617	-	0.000	0.000	Merged-chr3-145666541-17
NR5958--MA0117.2.Mafb	chr3	84749430	84749441	+	0.000	0.000	Merged-chr3-84749364-32
NR5817--MA0496.2.MAFK	chr3	21917648	21917666	+	0.000	0.000	Merged-chr3-21917648-70
NR8312--MA0496.2.MAFK	chr7	67308223	67308241	+	0.000	0.000	Merged-chr7-67308311-16
NR9776--MA0659.1.MAFG	chrX	37141975	37141995	-	0.000	0.000	Merged-chrX-37141960-22
NR6296--MA0659.1.MAFG	chr3	146063412	146063432	-	0.000	0.000	Merged-chr3-146063322-20
NR3785--MA0496.2.MAFK	chr16	48594652	48594670	+	0.000	0.000	Merged-chr16-48594719-53
NR3698--MA0659.1.MAFG	chr16	17695161	17695181	+	0.000	0.000	Merged-chr16-17695007-34
NR5656--MA0089.1.MAFG::NFE2L1	chr2	164041388	164041393	+	0.000	0.000	Merged-chr2-164041176-18
NR4658--MA0117.2.Mafb	chr18	75322337	75322348	-	0.000	0.000	Merged-chr18-75322404-42
NR5063--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
NR4032--MA0089.1.MAFG::NFE2L1	chr17	8251948	8251953	+	0.000	0.000	Merged-chr17-8251885-20
NR7662--MA0501.1.MAF::NFE2	chr6	61206696	61206710	-	0.000	0.000	Merged-chr6-61206745-14
NR4363--MA0117.2.Mafb	chr17	83483964	83483975	-	0.000	0.000	Merged-chr17-83484048-22
NR8502--MA0501.1.MAF::NFE2	chr7	115734398	115734412	-	0.000	0.000	Merged-chr7-115734410-28
NR3957--MA0495.2.MAFF	chr16	92980005	92980025	-	0.000	0.000	Merged-chr16-92980163-22
NR2785--MA0501.1.MAF::NFE2	chr13	104041236	104041250	-	0.000	0.000	Merged-chr13-104041328-31
NR5839--MA0591.1.Bach1::Mafk	chr3	37174728	37174742	+	0.000	0.000	Merged-chr3-37174845-28
NR4613--MA0501.1.MAF::NFE2	chr18	65479280	65479294	-	0.000	0.000	Merged-chr18-65479334-47
NR1553--MA0496.2.MAFK	chr11	74973440	74973458	-	0.000	0.000	Merged-chr11-74973432-13
NR9484--MA0496.2.MAFK	chr9	83564271	83564289	+	0.000	0.000	Merged-chr9-83564254-44
NR2006--MA0591.1.Bach1::Mafk	chr12	52382987	52383001	-	0.000	0.000	Merged-chr12-52383146-23
NR2778--MA0495.2.MAFF	chr13	104041180	104041200	-	0.000	0.000	Merged-chr13-104041328-31
NR4878--MA0501.1.MAF::NFE2	chr19	33429569	33429583	-	0.000	0.000	Merged-chr19-33429713-40
