#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR4852--MA0482.1.Gata4	chr6	130342155	130342165	+	0.000	0.000	Merged-chr6-130342331-49
NR4385--MA0037.3.GATA3	chr5	107533777	107533784	-	0.000	0.000	Merged-chr5-107533890-8
NR468--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR3536--MA0037.3.GATA3	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR675--MA0140.2.GATA1::TAL1	chr10	81194175	81194192	-	0.000	0.000	Merged-chr10-81194350-49
NR802--MA1104.1.GATA6	chr10	117969928	117969940	+	0.000	0.000	Merged-chr10-117970017-9
NR4677--MA0036.3.GATA2	chr6	86148687	86148697	-	0.000	0.000	Merged-chr6-86148822-10
NR4986--MA0140.2.GATA1::TAL1	chr7	25107212	25107229	-	0.000	0.000	Merged-chr7-25107253-25
NR4383--MA0766.1.GATA5	chr5	107303757	107303764	-	0.000	0.000	Merged-chr5-107303598-32
NR4384--MA0035.3.Gata1	chr5	107303756	107303766	+	0.000	0.000	Merged-chr5-107303598-32
NR2457--MA0035.3.Gata1	chr17	5798609	5798619	-	0.000	0.000	Merged-chr17-5798527-14
NR4678--MA0766.1.GATA5	chr6	86148689	86148696	+	0.000	0.000	Merged-chr6-86148822-10
NR1922--MA0035.3.Gata1	chr14	66805736	66805746	-	0.000	0.000	Merged-chr14-66805736-29
NR4679--MA0035.3.Gata1	chr6	86148687	86148697	-	0.000	0.000	Merged-chr6-86148822-10
NR804--MA0037.3.GATA3	chr10	117970047	117970054	-	0.000	0.000	Merged-chr10-117970017-9
NR108--MA0140.2.GATA1::TAL1	chr1	82836638	82836655	-	0.000	0.000	Merged-chr1-82836652-59
NR4389--MA0766.1.GATA5	chr5	107533777	107533784	-	0.000	0.000	Merged-chr5-107533890-8
NR1923--MA0140.2.GATA1::TAL1	chr14	66805727	66805744	-	0.000	0.000	Merged-chr14-66805736-29
NR4380--MA0482.1.Gata4	chr5	107303757	107303767	+	0.000	0.000	Merged-chr5-107303598-32
NR4381--MA1104.1.GATA6	chr5	107303755	107303767	-	0.000	0.000	Merged-chr5-107303598-32
NR4388--MA0036.3.GATA2	chr5	107533776	107533786	+	0.000	0.000	Merged-chr5-107533890-8
NR467--MA0036.3.GATA2	chr1	191803662	191803672	+	0.000	0.000	Merged-chr1-191803516-12
NR4675--MA0482.1.Gata4	chr6	86148686	86148696	-	0.000	0.000	Merged-chr6-86148822-10
NR4676--MA1104.1.GATA6	chr6	86148686	86148698	+	0.000	0.000	Merged-chr6-86148822-10
NR803--MA0036.3.GATA2	chr10	117969929	117969939	-	0.000	0.000	Merged-chr10-117970017-9
NR4386--MA0482.1.Gata4	chr5	107533777	107533787	+	0.000	0.000	Merged-chr5-107533890-8
NR4674--MA0037.3.GATA3	chr6	86148689	86148696	+	0.000	0.000	Merged-chr6-86148822-10
NR4387--MA1104.1.GATA6	chr5	107533775	107533787	-	0.000	0.000	Merged-chr5-107533890-8
NR4390--MA0035.3.Gata1	chr5	107533776	107533786	+	0.000	0.000	Merged-chr5-107533890-8
NR3537--MA0766.1.GATA5	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR4379--MA0037.3.GATA3	chr5	107303757	107303764	-	0.000	0.000	Merged-chr5-107303598-32
NR4382--MA0036.3.GATA2	chr5	107303756	107303766	+	0.000	0.000	Merged-chr5-107303598-32
