#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR14470--MA0599.1.KLF5	chr14	54061637	54061646	-	0.000	0.000	Merged-chr14-54061633-25
NR3825--MA0599.1.KLF5	chr10	43984079	43984088	+	0.000	0.000	Merged-chr10-43984044-26
NR8206--MA0741.1.KLF16	chr11	88131944	88131954	+	0.000	0.000	Merged-chr11-88132051-21
NR13948--MA0599.1.KLF5	chr14	20794399	20794408	-	0.000	0.000	Merged-chr14-20794450-1
NR30158--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR8204--MA0493.1.Klf1	chr11	88131941	88131951	+	0.000	0.000	Merged-chr11-88132051-21
NR8208--MA1107.1.KLF9	chr11	88131943	88131955	+	0.000	0.000	Merged-chr11-88132051-21
NR30154--MA0599.1.KLF5	chr3	84772125	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR7389--MA0741.1.KLF16	chr11	64037741	64037751	-	0.000	0.000	Merged-chr11-64037767-32
NR30152--MA0742.1.Klf12	chr3	84772087	84772101	-	0.000	0.000	Merged-chr3-84772067-31
NR14473--MA1107.1.KLF9	chr14	54061635	54061647	-	0.000	0.000	Merged-chr14-54061633-25
NR8205--MA0741.1.KLF16	chr11	88131942	88131952	+	0.000	0.000	Merged-chr11-88132051-21
NR40964--MA0599.1.KLF5	chr6	124888268	124888277	+	0.000	0.000	Merged-chr6-124888226-36
NR30159--MA1107.1.KLF9	chr3	84772128	84772140	-	0.000	0.000	Merged-chr3-84772067-31
NR14472--MA0741.1.KLF16	chr14	54061636	54061646	-	0.000	0.000	Merged-chr14-54061633-25
NR8207--MA1107.1.KLF9	chr11	88131941	88131953	+	0.000	0.000	Merged-chr11-88132051-21
NR48125--MA0599.1.KLF5	chr9	21167894	21167903	-	0.000	0.000	Merged-chr9-21167831-1
NR30153--MA0039.3.KLF4	chr3	84772089	84772099	-	0.000	0.000	Merged-chr3-84772067-31
NR30157--MA0493.1.Klf1	chr3	84772125	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR30156--MA0039.3.KLF4	chr3	84772128	84772138	-	0.000	0.000	Merged-chr3-84772067-31
NR30155--MA0599.1.KLF5	chr3	84772130	84772139	-	0.000	0.000	Merged-chr3-84772067-31
NR3826--MA0741.1.KLF16	chr10	43984079	43984089	+	0.000	0.000	Merged-chr10-43984044-26
NR14471--MA0039.3.KLF4	chr14	54061635	54061645	-	0.000	0.000	Merged-chr14-54061633-25
NR8203--MA0599.1.KLF5	chr11	88131942	88131951	+	0.000	0.000	Merged-chr11-88132051-21
