#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1251--MA0495.2.MAFF	chr11	32020157	32020177	-	0.000	0.000	Merged-chr11-32020422-50
NR5836--MA0089.1.MAFG::NFE2L1	chr3	103907901	103907906	+	0.000	0.000	Merged-chr3-103907790-52
NR7492--MA0089.1.MAFG::NFE2L1	chr6	108895319	108895324	-	0.000	0.000	Merged-chr6-108895381-27
NR7893--MA0496.2.MAFK	chr7	67353743	67353761	-	0.000	0.000	Merged-chr7-67353683-35
NR467--MA0495.2.MAFF	chr1	162773892	162773912	-	0.000	0.000	Merged-chr1-162773825-31
NR6750--MA0089.1.MAFG::NFE2L1	chr5	73223408	73223413	-	0.000	0.000	Merged-chr5-73223278-33
NR2341--MA0496.2.MAFK	chr13	58213873	58213891	+	0.000	0.000	Merged-chr13-58213937-15
NR3105--MA0495.2.MAFF	chr15	57906811	57906831	-	0.000	0.000	Merged-chr15-57906740-47
NR6439--MA0501.1.MAF::NFE2	chr4	130706881	130706895	-	0.000	0.000	Merged-chr4-130706849-20
NR5947--MA0496.2.MAFK	chr3	132791339	132791357	+	0.000	0.000	Merged-chr3-132791387-40
NR3751--MA0591.1.Bach1::Mafk	chr17	7164184	7164198	+	0.000	0.000	Merged-chr17-7164154-31
NR4236--MA0089.1.MAFG::NFE2L1	chr18	46013384	46013389	-	0.000	0.000	Merged-chr18-46013388-48
NR3062--MA0501.1.MAF::NFE2	chr15	38710302	38710316	+	0.000	0.000	Merged-chr15-38710125-56
NR2015--MA0496.2.MAFK	chr12	102588573	102588591	-	0.000	0.000	Merged-chr12-102588735-27
NR2013--MA0501.1.MAF::NFE2	chr12	102588578	102588592	+	0.000	0.000	Merged-chr12-102588735-27
NR8275--MA0117.2.Mafb	chr8	34208232	34208243	-	0.000	0.000	Merged-chr8-34208072-51
NR8282--MA0501.1.MAF::NFE2	chr8	36165143	36165157	-	0.000	0.000	Merged-chr8-36165125-29
NR8269--MA0495.2.MAFF	chr8	34208104	34208124	+	0.000	0.000	Merged-chr8-34208072-51
NR862--MA0496.2.MAFK	chr10	58383471	58383489	-	0.000	0.000	Merged-chr10-58383440-43
NR6404--MA0089.1.MAFG::NFE2L1	chr4	124928300	124928305	-	0.000	0.000	Merged-chr4-124928290-22
NR8322--MA0591.1.Bach1::Mafk	chr8	64826690	64826704	-	0.000	0.000	Merged-chr8-64826546-37
NR3069--MA0591.1.Bach1::Mafk	chr15	41612501	41612515	-	0.000	0.000	Merged-chr15-41612397-47
NR4934--MA0089.1.MAFG::NFE2L1	chr2	65818662	65818667	-	0.000	0.000	Merged-chr2-65818542-58
NR8323--MA0501.1.MAF::NFE2	chr8	64826687	64826701	-	0.000	0.000	Merged-chr8-64826546-37
NR6804--MA0089.1.MAFG::NFE2L1	chr5	96825067	96825072	+	0.000	0.000	Merged-chr5-96825060-50
NR5945--MA0495.2.MAFF	chr3	132791338	132791358	+	0.000	0.000	Merged-chr3-132791387-40
NR921--MA0501.1.MAF::NFE2	chr10	72620677	72620691	-	0.000	0.000	Merged-chr10-72620792-31
NR6137--MA0117.2.Mafb	chr4	32906735	32906746	-	0.000	0.000	Merged-chr4-32906813-40
NR4367--MA0089.1.MAFG::NFE2L1	chr18	75489514	75489519	-	0.000	0.000	Merged-chr18-75489446-39
NR9176--MA0496.2.MAFK	chrX	166185411	166185429	+	0.000	0.000	Merged-chrX-166185579-37
NR8710--MA0501.1.MAF::NFE2	chr9	46083485	46083499	-	0.000	0.000	Merged-chr9-46083625-49
