#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR1251--MA0495.2.MAFF	chr10	95923490	95923510	+	0.000	0.000	Merged-chr10-95923402-19
NR8714--MA0496.2.MAFK	chr7	28794629	28794647	+	0.000	0.000	Merged-chr7-28794657-13
NR9643--MA0501.1.MAF::NFE2	chr8	121570507	121570521	-	0.000	0.000	Merged-chr8-121570466-14
NR2140--MA0089.1.MAFG::NFE2L1	chr12	25211765	25211770	-	0.000	0.000	Merged-chr12-25211568-13
NR1256--MA0501.1.MAF::NFE2	chr10	95923490	95923504	-	0.000	0.000	Merged-chr10-95923402-19
NR5947--MA0495.2.MAFF	chr2	153780655	153780675	+	0.000	0.000	Merged-chr2-153780762-18
NR369--MA0501.1.MAF::NFE2	chr1	106187586	106187600	-	0.000	0.000	Merged-chr1-106187715-26
NR5951--MA0496.2.MAFK	chr2	153780656	153780674	-	0.000	0.000	Merged-chr2-153780762-18
NR3568--MA0117.2.Mafb	chr14	120572435	120572446	+	0.000	0.000	Merged-chr14-120572441-59
NR7235--MA0089.1.MAFG::NFE2L1	chr4	145284517	145284522	-	0.000	0.000	Merged-chr4-145284668-43
NR2761--MA0659.1.MAFG	chr13	37290886	37290906	+	0.000	0.000	Merged-chr13-37290832-15
NR5949--MA0501.1.MAF::NFE2	chr2	153780655	153780669	-	0.000	0.000	Merged-chr2-153780762-18
NR9664--MA0591.1.Bach1::Mafk	chr8	124046014	124046028	-	0.000	0.000	Merged-chr8-124045987-6
NR7233--MA0089.1.MAFG::NFE2L1	chr4	145284482	145284487	-	0.000	0.000	Merged-chr4-145284668-43
NR5091--MA0591.1.Bach1::Mafk	chr19	7117915	7117929	+	0.000	0.000	Merged-chr19-7118010-10
NR207--MA0659.1.MAFG	chr1	69831153	69831173	-	0.000	0.000	Merged-chr1-69831096-32
NR5181--MA0659.1.MAFG	chr19	25058033	25058053	+	0.000	0.000	Merged-chr19-25057993-14
NR2888--MA0089.1.MAFG::NFE2L1	chr13	63541683	63541688	+	0.000	0.000	Merged-chr13-63541673-31
NR901--MA0117.2.Mafb	chr10	8535835	8535846	-	0.000	0.000	Merged-chr10-8535682-19
