#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR39813--MA0742.1.Klf12	chr6	108895258	108895272	+	0.000	0.000	Merged-chr6-108895381-27
NR4859--MA1107.1.KLF9	chr10	89678047	89678059	+	0.000	0.000	Merged-chr10-89678215-34
NR47548--MA0599.1.KLF5	chr9	44708510	44708519	+	0.000	0.000	Merged-chr9-44708535-22
NR6036--MA1107.1.KLF9	chr11	6000801	6000813	+	0.000	0.000	Merged-chr11-6000952-1
NR15693--MA0741.1.KLF16	chr15	38634539	38634549	+	0.000	0.000	Merged-chr15-38634612-4
NR39814--MA0599.1.KLF5	chr6	108895259	108895268	+	0.000	0.000	Merged-chr6-108895381-27
NR13068--MA0742.1.Klf12	chr13	101569566	101569580	+	0.000	0.000	Merged-chr13-101569413-14
NR3052--MA0742.1.Klf12	chr1	193146634	193146648	-	0.000	0.000	Merged-chr1-193146532-29
NR38173--MA0493.1.Klf1	chr5	149427524	149427534	-	0.000	0.000	Merged-chr5-149427432-30
NR46061--MA0657.1.KLF13	chr8	105279300	105279317	-	0.000	0.000	Merged-chr8-105279164-33
NR11217--MA0740.1.KLF14	chr12	111668573	111668586	-	0.000	0.000	Merged-chr12-111668629-40
NR22082--MA1107.1.KLF9	chr18	54822920	54822932	+	0.000	0.000	Merged-chr18-54822886-30
NR12541--MA0742.1.Klf12	chr13	64432380	64432394	+	0.000	0.000	Merged-chr13-64432516-70
NR17816--MA0599.1.KLF5	chr16	30722532	30722541	-	0.000	0.000	Merged-chr16-30722513-29
NR41726--MA0599.1.KLF5	chr7	28982761	28982770	-	0.000	0.000	Merged-chr7-28982424-141
NR26442--MA1107.1.KLF9	chr2	93411637	93411649	-	0.000	0.000	Merged-chr2-93411481-30
NR20466--MA0741.1.KLF16	chr17	48001978	48001988	+	0.000	0.000	Merged-chr17-48002103-40
NR3054--MA1107.1.KLF9	chr1	193146636	193146648	-	0.000	0.000	Merged-chr1-193146532-29
NR42824--MA1107.1.KLF9	chr7	84149055	84149067	+	0.000	0.000	Merged-chr7-84149073-24
NR46057--MA0740.1.KLF14	chr8	105278939	105278952	+	0.000	0.000	Merged-chr8-105279164-33
NR2511--MA0493.1.Klf1	chr1	175671993	175672003	+	0.000	0.000	Merged-chr1-175671979-22
NR27323--MA0599.1.KLF5	chr2	135659233	135659242	+	0.000	0.000	Merged-chr2-135659291-148
NR26438--MA1107.1.KLF9	chr2	93411629	93411641	-	0.000	0.000	Merged-chr2-93411481-30
