#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR5444--MA0002.2.RUNX1	chr19	14620504	14620514	+	0.000	0.000	Merged-chr19-14620634-30
NR3515--MA0511.2.RUNX2	chr14	78688062	78688070	+	0.000	0.000	Merged-chr14-78687892-42
NR5639--MA0684.1.RUNX3	chr2	6309690	6309699	+	0.000	0.000	Merged-chr2-6309619-42
NR1465--MA0002.2.RUNX1	chr10	121382802	121382812	+	0.000	0.000	Merged-chr10-121382753-17
NR8930--MA0002.2.RUNX1	chr6	122284994	122285004	-	0.000	0.000	Merged-chr6-122284874-14
NR1673--MA0511.2.RUNX2	chr11	57911898	57911906	+	0.000	0.000	Merged-chr11-57911963-18
NR7485--MA0002.2.RUNX1	chr4	116701029	116701039	+	0.000	0.000	Merged-chr4-116701085-12
NR1180--MA0684.1.RUNX3	chr10	68036463	68036472	+	0.000	0.000	Merged-chr10-68036383-95
NR7594--MA0002.2.RUNX1	chr4	134734874	134734884	+	0.000	0.000	Merged-chr4-134734669-83
NR4017--MA0684.1.RUNX3	chr15	89131568	89131577	+	0.000	0.000	Merged-chr15-89131620-40
NR1705--MA0511.2.RUNX2	chr11	64116920	64116928	-	0.000	0.000	Merged-chr11-64116814-48
NR1064--MA0002.2.RUNX1	chr10	39479873	39479883	-	0.000	0.000	Merged-chr10-39479564-73
NR3366--MA0511.2.RUNX2	chr14	54138478	54138486	-	0.000	0.000	Merged-chr14-54138460-21
NR8880--MA0511.2.RUNX2	chr6	115594629	115594637	+	0.000	0.000	Merged-chr6-115594731-47
NR10464--MA0684.1.RUNX3	chr9	50525825	50525834	+	0.000	0.000	Merged-chr9-50525750-20
NR10858--MA0002.2.RUNX1	chr9	118519257	118519267	+	0.000	0.000	Merged-chr9-118519152-31
NR1400--MA0511.2.RUNX2	chr10	115363299	115363307	+	0.000	0.000	Merged-chr10-115363388-18
NR9144--MA0002.2.RUNX1	chr6	146434552	146434562	-	0.000	0.000	Merged-chr6-146434496-35
NR4930--MA0002.2.RUNX1	chr17	79584565	79584575	-	0.000	0.000	Merged-chr17-79584659-24
NR9667--MA0002.2.RUNX1	chr7	118113648	118113658	-	0.000	0.000	Merged-chr7-118113743-35
NR10619--MA0002.2.RUNX1	chr9	78593272	78593282	-	0.000	0.000	Merged-chr9-78593326-11
NR1605--MA0684.1.RUNX3	chr11	34034369	34034378	-	0.000	0.000	Merged-chr11-34034303-47
NR5753--MA0511.2.RUNX2	chr2	25856080	25856088	-	0.000	0.000	Merged-chr2-25856140-7
NR5531--MA0684.1.RUNX3	chr19	40300140	40300149	+	0.000	0.000	Merged-chr19-40300210-18
NR10295--MA0002.2.RUNX1	chr8	124085843	124085853	+	0.000	0.000	Merged-chr8-124085760-17
NR10509--MA0684.1.RUNX3	chr9	61630506	61630515	+	0.000	0.000	Merged-chr9-61630561-11
NR1218--MA0002.2.RUNX1	chr10	76271470	76271480	-	0.000	0.000	Merged-chr10-76271555-43
NR8935--MA0002.2.RUNX1	chr6	122293950	122293960	+	0.000	0.000	Merged-chr6-122294065-56
NR2591--MA0002.2.RUNX1	chr13	5847065	5847075	-	0.000	0.000	Merged-chr13-5847113-25
NR3639--MA0002.2.RUNX1	chr14	118124396	118124406	-	0.000	0.000	Merged-chr14-118124409-31
NR9136--MA0002.2.RUNX1	chr6	145417485	145417495	+	0.000	0.000	Merged-chr6-145417723-108
NR5190--MA0511.2.RUNX2	chr18	56547183	56547191	-	0.000	0.000	Merged-chr18-56547142-34
NR1069--MA0002.2.RUNX1	chr10	40163570	40163580	+	0.000	0.000	Merged-chr10-40163524-42
NR9615--MA0511.2.RUNX2	chr7	110824212	110824220	+	0.000	0.000	Merged-chr7-110824322-44
NR241--MA0002.2.RUNX1	chr1	74373602	74373612	-	0.000	0.000	Merged-chr1-74373535-14
NR5828--MA0684.1.RUNX3	chr2	44324034	44324043	-	0.000	0.000	Merged-chr2-44324055-19
NR3367--MA0684.1.RUNX3	chr14	54138477	54138486	-	0.000	0.000	Merged-chr14-54138460-21
NR6724--MA0002.2.RUNX1	chr3	84093124	84093134	-	0.000	0.000	Merged-chr3-84093112-19
NR1081--MA0511.2.RUNX2	chr10	41984367	41984375	+	0.000	0.000	Merged-chr10-41984389-13
NR10815--MA0684.1.RUNX3	chr9	114446464	114446473	+	0.000	0.000	Merged-chr9-114446417-16
NR10001--MA0002.2.RUNX1	chr8	68212389	68212399	-	0.000	0.000	Merged-chr8-68212337-24
NR7150--MA0684.1.RUNX3	chr4	10770174	10770183	+	0.000	0.000	Merged-chr4-10770192-53
NR842--MA0511.2.RUNX2	chr1	187228921	187228929	-	0.000	0.000	Merged-chr1-187228770-56
NR7339--MA0002.2.RUNX1	chr4	86887090	86887100	+	0.000	0.000	Merged-chr4-86887188-3
NR620--MA0684.1.RUNX3	chr1	153426974	153426983	+	0.000	0.000	Merged-chr1-153426995-33
NR1305--MA0684.1.RUNX3	chr10	89597370	89597379	-	0.000	0.000	Merged-chr10-89597404-12
NR4263--MA0002.2.RUNX1	chr16	36056512	36056522	-	0.000	0.000	Merged-chr16-36056598-16
NR872--MA0684.1.RUNX3	chr1	191124512	191124521	-	0.000	0.000	Merged-chr1-191124534-8
NR3089--MA0002.2.RUNX1	chr13	111269819	111269829	-	0.000	0.000	Merged-chr13-111269948-21
NR4520--MA0684.1.RUNX3	chr16	94068074	94068083	+	0.000	0.000	Merged-chr16-94067922-8
NR2714--MA0511.2.RUNX2	chr13	38501512	38501520	+	0.000	0.000	Merged-chr13-38501583-20
NR5006--MA0002.2.RUNX1	chr17	88484679	88484689	-	0.000	0.000	Merged-chr17-88484456-37
NR485--MA0002.2.RUNX1	chr1	131993387	131993397	-	0.000	0.000	Merged-chr1-131993308-10
NR6975--MA0684.1.RUNX3	chr3	135662560	135662569	+	0.000	0.000	Merged-chr3-135662466-47
NR5291--MA0511.2.RUNX2	chr18	73765243	73765251	-	0.000	0.000	Merged-chr18-73765273-28
NR4481--MA0002.2.RUNX1	chr16	91562219	91562229	+	0.000	0.000	Merged-chr16-91562152-19
NR9174--MA0511.2.RUNX2	chr6	146813237	146813245	-	0.000	0.000	Merged-chr6-146813295-20
NR2182--MA0002.2.RUNX1	chr12	52009310	52009320	+	0.000	0.000	Merged-chr12-52009335-9
NR1679--MA0684.1.RUNX3	chr11	59418908	59418917	+	0.000	0.000	Merged-chr11-59418690-15
NR2932--MA0511.2.RUNX2	chr13	90981482	90981490	-	0.000	0.000	Merged-chr13-90981461-11
NR9140--MA0511.2.RUNX2	chr6	146271308	146271316	+	0.000	0.000	Merged-chr6-146271470-40
NR8601--MA0002.2.RUNX1	chr6	51060086	51060096	+	0.000	0.000	Merged-chr6-51060161-45
