#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1809--MA0501.1.MAF::NFE2	chr11	88103553	88103567	+	0.000	0.000	Merged-chr11-88103479-31
NR5534--MA0089.1.MAFG::NFE2L1	chr2	79698315	79698320	+	0.000	0.000	Merged-chr2-79698404-21
NR326--MA0501.1.MAF::NFE2	chr1	127320080	127320094	+	0.000	0.000	Merged-chr1-127320105-13
NR947--MA0089.1.MAFG::NFE2L1	chr10	40688489	40688494	-	0.000	0.000	Merged-chr10-40688620-20
NR7571--MA0495.2.MAFF	chr5	92348938	92348958	-	0.000	0.000	Merged-chr5-92348973-52
NR5345--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
NR9057--MA0495.2.MAFF	chr8	33968527	33968547	-	0.000	0.000	Merged-chr8-33968508-27
NR5389--MA0659.1.MAFG	chr2	34977065	34977085	+	0.000	0.000	Merged-chr2-34977109-71
NR630--MA0089.1.MAFG::NFE2L1	chr1	179578778	179578783	-	0.000	0.000	Merged-chr1-179578897-31
NR5504--MA0501.1.MAF::NFE2	chr2	72170819	72170833	+	0.000	0.000	Merged-chr2-72170854-84
NR28--MA0089.1.MAFG::NFE2L1	chr1	20740624	20740629	+	0.000	0.000	Merged-chr1-20740658-39
NR2681--MA0496.2.MAFK	chr13	41683041	41683059	+	0.000	0.000	Merged-chr13-41683049-20
NR4863--MA0117.2.Mafb	chr18	61626449	61626460	-	0.000	0.000	Merged-chr18-61626581-16
NR1941--MA0495.2.MAFF	chr11	111055402	111055422	-	0.000	0.000	Merged-chr11-111055378-1
NR4691--MA0089.1.MAFG::NFE2L1	chr17	88213608	88213613	+	0.000	0.000	Merged-chr17-88213709-19
NR8305--MA0117.2.Mafb	chr6	134348651	134348662	-	0.000	0.000	Merged-chr6-134348726-53
NR9475--MA0089.1.MAFG::NFE2L1	chr9	14281030	14281035	-	0.000	0.000	Merged-chr9-14281018-40
NR3939--MA0501.1.MAF::NFE2	chr16	24854472	24854486	+	0.000	0.000	Merged-chr16-24854563-13
NR337--MA0496.2.MAFK	chr1	127796503	127796521	+	0.000	0.000	Merged-chr1-127796546-56
NR5769--MA0501.1.MAF::NFE2	chr2	128117913	128117927	+	0.000	0.000	Merged-chr2-128117807-36
NR6950--MA0089.1.MAFG::NFE2L1	chr4	88693552	88693557	-	0.000	0.000	Merged-chr4-88693660-22
NR147--MA0659.1.MAFG	chr1	64486460	64486480	-	0.000	0.000	Merged-chr1-64486540-36
NR2127--MA0495.2.MAFF	chr12	17726787	17726807	+	0.000	0.000	Merged-chr12-17726607-38
NR5658--MA0501.1.MAF::NFE2	chr2	114059834	114059848	+	0.000	0.000	Merged-chr2-114059851-34
NR9765--MA0495.2.MAFF	chr9	83564270	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR6939--MA0495.2.MAFF	chr4	88079188	88079208	-	0.000	0.000	Merged-chr4-88079193-33
NR5656--MA0089.1.MAFG::NFE2L1	chr2	114059831	114059836	-	0.000	0.000	Merged-chr2-114059851-34
NR6267--MA0496.2.MAFK	chr3	55419475	55419493	-	0.000	0.000	Merged-chr3-55419547-37
NR4557--MA0591.1.Bach1::Mafk	chr17	65826437	65826451	+	0.000	0.000	Merged-chr17-65826425-32
NR602--MA0501.1.MAF::NFE2	chr1	171921518	171921532	-	0.000	0.000	Merged-chr1-171921445-86
NR8317--MA0591.1.Bach1::Mafk	chr6	134903694	134903708	-	0.000	0.000	Merged-chr6-134903917-75
NR6974--MA0089.1.MAFG::NFE2L1	chr4	89369266	89369271	+	0.000	0.000	Merged-chr4-89369224-21
NR8931--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
NR2162--MA0089.1.MAFG::NFE2L1	chr12	32201910	32201915	-	0.000	0.000	Merged-chr12-32202051-6
NR622--MA0117.2.Mafb	chr1	177455720	177455731	-	0.000	0.000	Merged-chr1-177455545-12
NR7788--MA0501.1.MAF::NFE2	chr5	140265206	140265220	+	0.000	0.000	Merged-chr5-140265304-19
NR187--MA0089.1.MAFG::NFE2L1	chr1	80321552	80321557	-	0.000	0.000	Merged-chr1-80321528-19
NR9920--MA0591.1.Bach1::Mafk	chr9	118285739	118285753	-	0.000	0.000	Merged-chr9-118285683-37
NR3101--MA0089.1.MAFG::NFE2L1	chr14	20938759	20938764	-	0.000	0.000	Merged-chr14-20938813-17
NR770--MA0117.2.Mafb	chr10	5448533	5448544	+	0.000	0.000	Merged-chr10-5448562-35
NR5388--MA0591.1.Bach1::Mafk	chr2	34977068	34977082	-	0.000	0.000	Merged-chr2-34977109-71
NR773--MA0495.2.MAFF	chr10	7041181	7041201	-	0.000	0.000	Merged-chr10-7041240-23
NR4905--MA0117.2.Mafb	chr18	65479280	65479291	+	0.000	0.000	Merged-chr18-65479334-47
NR4046--MA0591.1.Bach1::Mafk	chr16	51878446	51878460	+	0.000	0.000	Merged-chr16-51878445-21
NR4047--MA0501.1.MAF::NFE2	chr16	51878449	51878463	+	0.000	0.000	Merged-chr16-51878445-21
NR7774--MA0591.1.Bach1::Mafk	chr5	137857144	137857158	+	0.000	0.000	Merged-chr5-137857044-20
NR2739--MA0117.2.Mafb	chr13	52004069	52004080	-	0.000	0.000	Merged-chr13-52004248-54
NR3623--MA0117.2.Mafb	chr15	64173598	64173609	-	0.000	0.000	Merged-chr15-64173635-34
NR1040--MA0089.1.MAFG::NFE2L1	chr10	61233192	61233197	+	0.000	0.000	Merged-chr10-61233317-40
NR8641--MA0501.1.MAF::NFE2	chr7	74351473	74351487	+	0.000	0.000	Merged-chr7-74351466-1
NR6696--MA0659.1.MAFG	chr3	148488138	148488158	-	0.000	0.000	Merged-chr3-148488399-75
NR4569--MA0501.1.MAF::NFE2	chr17	70746963	70746977	+	0.000	0.000	Merged-chr17-70746811-20
